A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
-1.5899881,0.081245355,0.11188811,0.10915038,0.043522768,0.4343297,1.5737293,-0.21660028,0.363825,-1.4719942,-0.2208785,1.3224818,-0.143084,-0.24742477,0.25960773,1.5025254,-0.3060968,0.315663,-0.49106187,0.5666301,0.7627286,-0.21170667,-0.15084153,0.19681007,-0.90624374,0.46144655,0.12775005,0.3829916,-0.72235566,0.8017155
-1.5899882,0.08123807,0.11192374,0.10915186,0.043526627,0.43430033,1.5737293,-0.21660028,0.363825,-1.4719871,-0.22086121,1.3224895,-0.14306296,-0.24742365,0.25963753,1.5025269,-0.30609265,0.3156575,-0.49106187,0.5666301,0.7627286,-0.21170667,-0.15084153,0.19681007,-0.9063331,0.46144885,0.12771729,0.3829916,-0.72235566,0.8017155
-1.5899885,0.08124639,0.11189039,0.10915186,0.043526627,0.43430033,1.5737293,-0.21660028,0.363825,-1.4719871,-0.22086121,1.3224895,-0.14306617,-0.24742998,0.259604,1.5025269,-0.30609265,0.3156575,-0.49106187,0.5666301,0.7627286,-0.21170667,-0.15084153,0.19681007,-0.9063331,0.46144885,0.12771729,0.3829916,-0.72235566,0.8017155
-1.5899882,0.08123807,0.11192374,0.10916081,0.043549724,0.43429047,1.5737293,-0.21660028,0.363825,-1.4719871,-0.22086121,1.3224895,-0.14306296,-0.24742365,0.25963753,1.5025269,-0.30609265,0.3156575,-0.49107617,0.56662774,0.7627107,-0.21170667,-0.15084153,0.19681007,-0.9063331,0.46144885,0.12771729,0.38299745,-0.7223808,0.8016932
-1.5899786,0.08127363,0.11193069,0.10916081,0.043549724,0.43429047,1.5737293,-0.21660028,0.363825,-1.4719871,-0.22086121,1.3224895,-0.14306617,-0.24742998,0.259604,1.5025269,-0.30609265,0.3156575,-0.49107617,0.56662774,0.7627107,-0.21170667,-0.15084153,0.19681007,-0.9063331,0.46144885,0.12771729,0.38299745,-0.7223808,0.8016932
-1.5900183,0.08128425,0.11189629,0.10916081,0.043549724,0.43429047,1.5737287,-0.21663769,0.36382484,-1.4719942,-0.22087795,1.3224745,-0.14306617,-0.24742998,0.259604,1.5025966,-0.3060612,0.31565553,-0.49106318,0.56663895,0.76272684,-0.21170667,-0.15084153,0.19681007,-0.9063331,0.46144885,0.12771729,0.38299745,-0.7223808,0.8016932
-1.5900279,0.081248686,0.11188933,0.10916081,0.043549724,0.43429047,1.5736879,-0.21663131,0.36382785,-1.4719942,-0.22087795,1.3224745,-0.14304514,-0.24742883,0.25963384,1.5025966,-0.3060612,0.31565553,-0.49107072,0.56664366,0.76271695,-0.21170667,-0.15084153,0.19681007,-0.9063331,0.46144885,0.12771729,0.3829999,-0.72237015,0.8017005
-1.5900183,0.08128425,0.11189629,0.10916081,0.043549724,0.43429047,1.5736879,-0.21663131,0.36382785,-1.4719942,-0.22087795,1.3224745,-0.14304514,-0.24742883,0.25963384,1.5025663,-0.30605522,0.31566027,-0.49106318,0.56663895,0.76272684,-0.21170667,-0.15084153,0.19681007,-0.9063331,0.46144885,0.12771729,0.3829916,-0.72235566,0.8017155
-1.590018,0.081275925,0.111929625,0.10916081,0.043549724,0.43429047,1.5737293,-0.21660028,0.363825,-1.4719942,-0.22087795,1.3224745,-0.14304514,-0.24742883,0.25963384,1.5025663,-0.30605522,0.31566027,-0.4910775,0.56663656,0.7627089,-0.21170667,-0.15084153,0.19681007,-0.9063331,0.46144885,0.12771729,0.3829916,-0.72235566,0.8017155
-1.590018,0.081275925,0.111929625,0.10916081,0.043549724,0.43429047,1.5736879,-0.21663131,0.36382785,-1.4719942,-0.22087795,1.3224745,-0.14306296,-0.24742365,0.25963753,1.5025663,-0.30605522,0.31566027,-0.4910775,0.56663656,0.7627089,-0.21170667,-0.15084153,0.19681007,-0.9063331,0.46144885,0.12771729,0.3829916,-0.72235566,0.8017155
-1.590018,0.081275925,0.111929625,0.10916081,0.043549724,0.43429047,1.5736879,-0.21663131,0.36382785,-1.4719942,-0.22087795,1.3224745,-0.14306617,-0.24742998,0.259604,1.5025966,-0.3060612,0.31565553,-0.49108344,0.56665206,0.76269394,-0.21170667,-0.15084153,0.19681007,-0.9063331,0.46144885,0.12771729,0.3829916,-0.72235566,0.8017155
-1.590018,0.081275925,0.111929625,0.10914892,0.043526992,0.43428728,1.5737293,-0.21660028,0.363825,-1.4719942,-0.22087795,1.3224745,-0.14307053,-0.24740016,0.25960493,1.5025246,-0.30608743,0.3156893,-0.49107617,0.56662774,0.7627107,-0.21170527,-0.15087384,0.19681656,-0.9063331,0.46144885,0.12771729,0.3829916,-0.72235566,0.8017155
-1.5899885,0.08124639,0.11189039,0.10916412,0.043520443,0.4342872,1.5736879,-0.21663131,0.36382785,-1.4719871,-0.22086121,1.3224895,-0.14306617,-0.24742998,0.259604,1.5025269,-0.30609265,0.3156575,-0.49107617,0.56662774,0.7627107,-0.21170667,-0.15084153,0.19681007,-0.9063194,0.46145633,0.12771954,0.3829916,-0.72235566,0.8017155
-1.5900183,0.08128425,0.11189629,0.10916081,0.043549724,0.43429047,1.57377,-0.21660669,0.363822,-1.4719871,-0.22086121,1.3224895,-0.14306182,-0.24745978,0.25960314,1.5026041,-0.306022,0.31566852,-0.49107617,0.56662774,0.7627107,-0.21170527,-0.15087384,0.19681656,-0.9063194,0.46145633,0.12771954,0.3829916,-0.72235566,0.8017155
-1.5899786,0.08127363,0.11193069,0.10914892,0.043526992,0.43428728,1.5737287,-0.21663769,0.36382484,-1.4719871,-0.22086121,1.3224895,-0.1430852,-0.24746427,0.25957832,1.502564,-0.30605003,0.3156921,-0.49107617,0.56662774,0.7627107,-0.21172595,-0.15084524,0.19677939,-0.9063194,0.46145633,0.12771954,0.3829999,-0.72237015,0.8017005
