A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3,G0,G1,G2,G3,H0,H1,H2,H3,I0,I1,I2,I3,J0,J1,J2,J3
0.65582275,0.17059326,0.15734863,3.2816772,0.85217285,3.9094238,0.47717285,0.19458008,0.5045166,0.49102783,3.6696167,0.6286011,0.92163086,0.02722168,3.6177368,3.9395752,3.4558105,0.39001465,0.5091553,0.5408325,0.6405029,0.41015625,3.6192627,0.5258789,3.975891,3.1340332,0.21386719,3.548523,3.5438232,0.29351807,0.34643555,0.7652588,0.12841797,0.8372803,0.20678711,3.510437,3.888733,3.1724854,3.703003,0.46331787
0.65582275,0.17059326,0.15740967,3.2816772,0.8521118,3.9094238,0.47717285,0.19458008,0.5045166,0.49102783,3.6696167,0.6286011,0.92163086,0.027282715,3.6176758,3.9395752,3.4558105,0.39007568,0.5091553,0.5407715,0.6405029,0.41015625,3.6193237,0.5258789,3.975891,3.1340332,0.21386719,3.548523,3.5438232,0.29351807,0.34643555,0.7652588,0.12841797,0.8372803,0.20672607,3.510437,3.888733,3.1724854,3.703003,0.46331787
0.65582275,0.17059326,0.15734863,3.2816162,0.8521118,3.9094238,0.47717285,0.19458008,0.5045166,0.49102783,3.6696167,0.6286011,0.92163086,0.027282715,3.6176758,3.9395752,3.4558105,0.39001465,0.5091553,0.5407715,0.6405029,0.41015625,3.6193237,0.5258789,3.975891,3.1340332,0.21386719,3.548523,3.5438232,0.29351807,0.34643555,0.7652588,0.12841797,0.8372803,0.20672607,3.510437,3.888733,3.1724854,3.703003,0.46331787
0.65582275,0.17059326,0.15740967,3.2816772,0.8521118,3.909546,0.4772339,0.19464111,0.5045166,0.49102783,3.6696167,0.6286011,0.92163086,0.027282715,3.6176758,3.9395752,3.4558105,0.39007568,0.5091553,0.5407715,0.6405029,0.41015625,3.6193237,0.5258789,3.975891,3.1339722,0.21386719,3.548584,3.5438232,0.29351807,0.34643555,0.7652588,0.12841797,0.8372803,0.20672607,3.510437,3.888733,3.1724243,3.703003,0.46325684
0.65582275,0.1706543,0.15740967,3.2816772,0.8521118,3.909546,0.4772339,0.19464111,0.5045166,0.49102783,3.6696167,0.6286011,0.92163086,0.027282715,3.6176758,3.9395752,3.4558105,0.39001465,0.5091553,0.5407715,0.6405029,0.41015625,3.6193237,0.5258789,3.975891,3.1339722,0.21386719,3.548584,3.5438232,0.29351807,0.34643555,0.7652588,0.12841797,0.8372803,0.20672607,3.510437,3.888733,3.1724243,3.703003,0.46325684
0.6557617,0.1706543,0.15734863,3.2816162,0.8521118,3.909546,0.4772339,0.19464111,0.50457764,0.4909668,3.6696167,0.6286011,0.92163086,0.02722168,3.6176758,3.9395752,3.4558105,0.39001465,0.5091553,0.5407715,0.6404419,0.41015625,3.6193237,0.5258789,3.97583,3.1340332,0.21386719,3.548523,3.5438232,0.29351807,0.34643555,0.7652588,0.12841797,0.8372803,0.20672607,3.510437,3.888733,3.1724243,3.703003,0.46325684
0.6557617,0.17059326,0.15734863,3.2816162,0.8521118,3.909546,0.4772339,0.19464111,0.50457764,0.49102783,3.6696167,0.6286011,0.92163086,0.02722168,3.6176758,3.9395752,3.4558105,0.39007568,0.5091553,0.54071045,0.6404419,0.41015625,3.6193237,0.5258789,3.97583,3.1340332,0.21386719,3.548584,3.5438232,0.29351807,0.34643555,0.7652588,0.12841797,0.8372803,0.20672607,3.510437,3.888733,3.1724854,3.703003,0.46325684
0.6557617,0.1706543,0.15734863,3.2816162,0.8521118,3.909546,0.4772339,0.19464111,0.50457764,0.49102783,3.6696167,0.6286011,0.92163086,0.02722168,3.6176758,3.9395752,3.4558105,0.39007568,0.5091553,0.54071045,0.6404419,0.4102173,3.6193237,0.5258789,3.97583,3.1340332,0.21386719,3.548523,3.5438232,0.29351807,0.34643555,0.7652588,0.12841797,0.8372803,0.20672607,3.510437,3.888733,3.1724854,3.703003,0.46331787
0.6557617,0.1706543,0.15740967,3.2816772,0.8521118,3.909546,0.4772339,0.19464111,0.5045166,0.49102783,3.6696167,0.6286011,0.92163086,0.02722168,3.6176758,3.9395752,3.4558105,0.39007568,0.5091553,0.54071045,0.6404419,0.4102173,3.6193237,0.5258789,3.97583,3.1339722,0.21386719,3.548584,3.5438232,0.29351807,0.34643555,0.7652588,0.12841797,0.8372803,0.20672607,3.510437,3.888733,3.1724854,3.703003,0.46331787
0.6557617,0.1706543,0.15740967,3.2816772,0.8521118,3.909546,0.4772339,0.19464111,0.50457764,0.49102783,3.6696167,0.6286011,0.92163086,0.02722168,3.6176758,3.9395752,3.4558105,0.39007568,0.5091553,0.5407715,0.6404419,0.4102173,3.6193237,0.5258789,3.97583,3.1339722,0.21386719,3.548584,3.5438232,0.29351807,0.34643555,0.7652588,0.12841797,0.8372803,0.20672607,3.510437,3.888733,3.1724854,3.703003,0.46331787
