millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
2221,-39.751396,-78.37163,-1.4852337,-42.84192,-26.679111,-61.14342,-46.03103,57.336536,-5.3324614,-113.98934,-7.2847857,0.6247859
2223,-133.3072,-61.594414,-18.47469,-42.836998,-26.675795,-61.14521,-46.362724,57.409023,-5.721959,-113.90959,-7.290868,0.9229931
2601,-136.67953,-59.00972,-18.336426,-42.8172,-26.683163,-61.146446,-46.436028,57.42445,-5.8201475,-113.9375,-7.280301,0.972871
2603,-139.98666,-56.542118,-17.833086,-42.8172,-26.683163,-61.146446,-46.52173,57.437004,-5.980739,-113.85694,-7.229085,0.9264527
2624,-173.3394,-30.861912,0.5824063,-42.847164,-26.682133,-61.1393,-47.555626,57.450455,-7.4965696,-113.97251,-7.2874813,1.0117427
2781,-171.19939,-33.891598,3.7920578,-42.847164,-26.682133,-61.1393,-47.54083,57.392467,-7.413756,-113.98319,-7.250734,0.99448055
2782,-170.08682,-35.23505,4.873846,-42.847164,-26.682133,-61.1393,-47.528645,57.36412,-7.3904805,-113.991776,-7.2567863,0.9910828
2801,-129.81313,-61.7174,-2.4478648,-42.87712,-26.6811,-61.132153,-47.471092,57.24152,-7.155772,-113.66638,-7.259457,0.97055405
3279,-126.609436,-62.718315,-4.244888,-42.877605,-26.683104,-61.130917,-47.42701,57.225357,-7.074168,-113.615005,-7.2716184,0.95972353
3280,-123.19392,-63.288017,-6.4377627,-42.87188,-26.678078,-61.13627,-47.322193,57.26279,-6.8397975,-113.62035,-7.3086743,0.95270723
3302,-8.822421,-60.703224,-26.704424,-42.913277,-26.68709,-61.1184,-46.843533,57.494114,-5.9999657,-113.19787,-7.19091,0.9964058
3321,-25.11445,-60.855534,-28.204765,-42.913277,-26.68709,-61.1184,-46.7924,57.51518,-5.933407,-113.21364,-7.172854,1.108998
3361,-89.77663,-60.627804,-28.811672,-42.913277,-26.68709,-61.1184,-46.861755,57.445732,-6.046113,-113.080574,-7.0188375,1.0437621
3366,-107.52911,-61.509228,-26.968454,-42.931496,-26.689934,-61.110348,-46.91619,57.45262,-6.0729303,-113.10182,-7.0249066,0.9659527
3381,-117.68013,-61.567772,-25.762331,-42.931496,-26.689934,-61.110348,-46.93241,57.52467,-6.030092,-113.21038,-7.1004314,0.89779586
3405,-134.20224,-61.26748,-22.339113,-42.931496,-26.689934,-61.110348,-47.24109,57.478527,-6.507266,-113.35102,-7.3544827,0.79909235
3415,-136.41092,-61.62433,-21.542622,-42.943703,-26.688053,-61.109993,-47.381203,57.508846,-6.6584873,-113.3532,-7.431978,0.81550103
3522,-139.70027,-62.684673,-20.258446,-42.93643,-26.693254,-61.108574,-47.635197,57.500202,-7.107167,-113.56452,-6.923153,1.0742574
3543,-136.2883,-62.444183,-12.000375,-42.913277,-26.68709,-61.1184,-47.64271,57.424282,-7.1240077,-113.390236,-6.92025,1.1082907
3549,-136.67645,-62.899273,-10.204039,-42.918507,-26.690111,-61.11428,-47.653828,57.421673,-7.114008,-113.46726,-7.018683,1.1234552
3559,-135.45903,-63.14543,-8.861123,-42.92346,-26.693426,-61.11251,-47.647083,57.40575,-7.1135287,-113.41941,-7.0816355,1.0882756
3956,-94.34744,-77.15038,-11.697974,-42.905235,-26.690577,-61.120552,-47.17111,57.335373,-6.3114605,-112.958244,-7.4744754,1.0140098
4046,-150.35841,-62.316086,-12.067953,-42.948933,-26.691069,-61.105873,-47.10359,57.533897,-5.993354,-113.16746,-7.457606,0.05479766
4047,-156.56795,-58.543407,-11.611636,-42.948933,-26.691069,-61.105873,-47.277084,57.57316,-6.2560387,-113.28699,-7.4743767,0.15153135
4079,159.08264,-13.966576,-12.41185,-42.95388,-26.69439,-61.104103,-48.220493,57.95178,-8.039818,-113.596,-6.9419365,1.4877692
4317,132.02203,-15.06242,-18.526457,-42.95388,-26.69439,-61.104103,-48.20974,57.853657,-7.9985795,-113.11571,-7.110407,2.0192733
4329,160.60332,-35.103382,-41.14109,-42.88002,-26.692633,-61.12482,-48.067513,57.427135,-7.554603,-112.78545,-7.1522303,0.8312628
4353,162.0731,-34.284103,-43.767704,-42.892235,-26.690754,-61.124474,-48.074978,57.428917,-7.535439,-112.77747,-7.301788,0.9162712
4363,162.44061,-33.90059,-43.700485,-42.892235,-26.690754,-61.124474,-48.074978,57.428917,-7.535439,-112.74176,-7.377853,0.98944104
4373,162.73657,-33.453346,-43.227013,-42.892235,-26.690754,-61.124474,-48.084476,57.44726,-7.529959,-112.68863,-7.445791,1.075271
4386,162.89151,-32.96895,-42.493153,-42.91047,-26.693598,-61.116432,-48.100895,57.45143,-7.541579,-112.63923,-7.496759,1.1724453
4400,162.81406,-32.514423,-41.63327,-42.93363,-26.69976,-61.106613,-48.11717,57.47529,-7.574092,-112.545815,-7.524984,1.3572413
4443,158.42386,-31.51788,-37.4597,-42.959118,-26.697403,-61.099987,-48.144596,57.542286,-7.643093,-116.97621,-7.061374,-5.585901
4452,156.9023,-31.491516,-36.564785,-42.959118,-26.697403,-61.099987,-48.15194,57.563744,-7.644799,-117.72254,-6.60864,-6.780496
4467,155.48647,-31.388447,-35.69899,-42.97133,-26.69552,-61.09963,-48.12915,57.531357,-7.6466193,-117.605225,-5.929278,-7.4777994
4472,154.2588,-31.021881,-34.783226,-42.96712,-26.693918,-61.097816,-48.10895,57.519375,-7.6297903,-116.59322,-4.6883245,-7.7958198
4584,146.22775,-24.71208,-27.908089,-43.05625,-26.705,-61.067005,-48.063038,57.316124,-7.563106,-115.68261,4.2356925,-11.912429
4592,146.84819,-23.950825,-27.596064,-43.05625,-26.705,-61.067005,-48.029404,57.252613,-7.5242777,-115.817,4.847837,-12.179624
4601,147.45528,-23.114307,-27.1798,-43.05625,-26.705,-61.067005,-47.986595,57.1528,-7.5034795,-115.17206,5.2325177,-11.869491
4702,148.18146,-22.281878,-26.716581,-43.051025,-26.701986,-61.071133,-47.94566,57.033916,-7.511619,-114.27948,5.7647676,-11.125384
4854,159.11609,-19.006561,-17.695183,-43.621872,-26.73394,-60.876347,-48.69788,58.013428,-6.038651,-105.249954,38.493774,12.557963
4862,157.59557,-19.123003,-17.84308,-43.64483,-26.740067,-60.86643,-48.636333,58.0053,-5.935324,-105.125725,37.259594,14.235734
4872,156.22328,-18.801577,-17.965183,-43.645298,-26.741789,-60.86278,-48.70003,58.039234,-5.9754095,-106.39854,36.29485,14.852681
5357,153.62408,-19.201674,-18.464314,-43.68236,-26.737476,-60.855408,-48.944912,58.11764,-6.178731,-108.866295,33.33872,16.229065
5498,145.93317,-25.641586,-25.666342,-43.077854,-26.721384,-61.050407,-49.903057,58.15355,-7.7248073,-103.86752,-0.3145248,-28.271067
5502,145.61649,-24.556818,-24.035841,-43.260796,-26.728151,-60.991272,-49.843323,58.12174,-7.6715455,-90.10667,35.748955,-9.433209
5511,146.60512,-22.208511,-20.839447,-43.273655,-26.727974,-60.987274,-49.256664,57.61477,-7.2640076,-89.3781,37.815407,-7.3043227
5522,146.7691,-21.844,-20.5483,-43.278847,-26.730978,-60.98316,-49.242523,57.604576,-7.227893,-89.06163,39.436115,-5.643967
5762,146.07655,-21.59293,-17.088661,-43.894703,-26.733284,-60.960022,-51.05483,59.10833,-7.188623,-114.02848,18.319294,17.965786
5777,145.92926,-21.702192,-17.255177,-43.783947,-26.79541,-60.937016,-51.065285,59.18456,-7.156083,-114.373856,16.02875,17.266836
5781,145.83287,-21.894247,-17.513367,-43.64016,-26.880827,-60.90363,-51.134903,59.21052,-7.244847,-114.135315,13.916865,16.275154
5921,145.66844,-22.017855,-17.799494,-43.503662,-26.940598,-60.882145,-51.317516,59.24102,-7.4302583,-113.95022,11.924313,14.901018
5923,145.48508,-22.09973,-18.086948,-43.37965,-26.996273,-60.861465,-51.458504,59.28972,-7.5613093,-113.43316,10.238428,13.487303
5942,143.28958,-24.938627,-24.501774,-42.9506,-26.775,-61.095562,-50.518185,58.511623,-7.637304,-104.26745,-7.0459785,-12.688073
5992,143.08484,-25.950829,-26.096502,-42.851505,-26.67671,-61.20505,-50.655052,58.598194,-7.663793,-108.62761,-12.130249,-17.127596
6002,142.924,-26.093777,-26.243692,-42.826405,-26.680794,-61.207954,-50.69496,58.623383,-7.671385,-109.40238,-13.834513,-16.52678
6012,142.7221,-26.17895,-26.3025,-42.775978,-26.702868,-61.202076,-50.68994,58.63632,-7.670688,-110.017845,-15.881282,-15.411324
6021,142.51335,-26.248861,-26.310495,-42.64781,-26.77311,-61.175766,-50.67497,58.61282,-7.687915,-110.4568,-18.251816,-13.7894945
6032,142.21794,-26.342709,-26.246103,-42.636158,-26.862438,-61.115364,-50.652813,58.59831,-7.6867833,-110.645256,-20.75336,-11.75889
6042,141.8577,-26.431421,-26.108398,-42.661858,-26.675234,-61.23927,-50.635914,58.59441,-7.675074,-110.92414,-23.238821,-9.3757305
6055,141.52968,-26.436583,-25.90691,-42.61111,-26.507904,-61.358337,-50.600216,58.58954,-7.6588635,-111.08862,-25.78807,-6.699444
6411,141.2773,-26.359512,-25.683884,-42.604267,-26.61248,-61.286503,-50.57997,58.57207,-7.65053,-111.08903,-28.363924,-3.8524473
