millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2
4752,-164.40701,-37.174534,-1.3898141,148.87292,-23.926733,2.4011226,54.060417,-15.444208,9.2886505,154.65656,-66.81789,0.65822107,9.930151,31.143923,-9.485342,-149.02606,0.1150456,-0.99142694,-98.14229,12.704132,-4.7086368,-13.975112,26.451591,4.3011317,-64.87706,-4.607706,30.531729,124.828995,1.1802193,9.162976,-58.624493,-10.954415,28.15553
4782,-164.39844,-37.159626,-1.3837178,148.87495,-23.912167,2.397297,54.060417,-15.444208,9.2886505,154.6616,-66.82417,0.6549011,9.930945,31.15063,-9.484674,-149.02606,0.1150456,-0.99142694,-98.14134,12.713926,-4.7092156,-13.975112,26.451591,4.3011317,-64.87706,-4.607706,30.531729,124.82889,1.1769814,9.156814,-58.627335,-10.958277,28.158415
4794,-164.40012,-37.153046,-1.3830228,148.87808,-23.903776,2.4022677,54.060417,-15.444208,9.2886505,154.6616,-66.82417,0.6549011,9.930945,31.15063,-9.484674,-149.02603,0.1217853,-0.98955935,-98.14134,12.713926,-4.7092156,-13.976556,26.452152,4.307886,-64.87706,-4.607706,30.531729,124.82889,1.1769814,9.156814,-58.623814,-10.960088,28.158573
4809,-164.4087,-37.167953,-1.3891197,148.87314,-23.91877,2.3989606,54.060417,-15.444208,9.2886505,154.64934,-66.827515,0.65911984,9.930945,31.15063,-9.484674,-149.02603,0.1217853,-0.98955935,-98.14134,12.713926,-4.7092156,-13.976094,26.445372,4.3086977,-64.87637,-4.61324,30.535309,124.82889,1.1769814,9.156814,-58.623814,-10.960088,28.158573
4829,-164.41202,-37.188053,-1.3889936,148.86176,-23.934603,2.3975222,54.060417,-15.444208,9.2886505,154.66278,-66.827995,0.65528697,9.930945,31.15063,-9.484674,-149.01833,0.121841505,-0.989536,-98.14045,12.719202,-4.7046022,-13.976094,26.445372,4.3086977,-64.87637,-4.61324,30.535309,124.82889,1.1769814,9.156814,-58.623814,-10.960088,28.158573
4849,-164.40366,-37.18769,-1.3912024,148.86176,-23.934603,2.3975222,54.060417,-15.444208,9.2886505,154.6616,-66.82417,0.6549011,9.930151,31.143923,-9.485342,-149.01833,0.121841505,-0.989536,-98.14045,12.719202,-4.7046022,-13.976094,26.445372,4.3086977,-64.87637,-4.61324,30.535309,124.82889,1.1769814,9.156814,-58.623814,-10.960088,28.158573
4870,-164.40604,-37.16877,-1.3825271,148.87474,-23.92013,2.3994584,54.06856,-15.445302,9.288709,154.6616,-66.82417,0.6549011,9.930945,31.15063,-9.484674,-149.01833,0.121841505,-0.989536,-98.14016,12.729771,-4.704881,-13.976094,26.445372,4.3086977,-64.87706,-4.607706,30.531729,124.82889,1.1769814,9.156814,-58.627335,-10.958277,28.158415
4892,-164.40181,-37.14647,-1.3823279,148.87808,-23.903776,2.4022677,54.06856,-15.445302,9.288709,154.6616,-66.82417,0.6549011,9.930945,31.15063,-9.484674,-149.01833,0.121841505,-0.989536,-98.14016,12.729771,-4.704881,-13.976094,26.445372,4.3086977,-64.87637,-4.61324,30.535309,124.82892,1.1831551,9.153555,-58.620686,-10.956435,28.164597
4912,-164.40012,-37.153046,-1.3830228,148.87808,-23.903776,2.4022677,54.06856,-15.445302,9.288709,154.65656,-66.81789,0.65822107,9.930945,31.15063,-9.484674,-149.02603,0.1217853,-0.98955935,-98.14016,12.729771,-4.704881,-13.976094,26.445372,4.3086977,-64.87637,-4.61324,30.535309,124.82892,1.1831551,9.153555,-58.623814,-10.960088,28.158573
4932,-164.40701,-37.174534,-1.3898141,148.8667,-23.919605,2.4008284,54.072178,-15.445412,9.287608,154.6647,-66.81722,0.6640368,9.930945,31.15063,-9.484674,-149.02603,0.1217853,-0.98955935,-98.13863,12.734269,-4.7005663,-13.975632,26.438595,4.3095098,-64.87637,-4.61324,30.535309,124.82892,1.1831551,9.153555,-58.623814,-10.960088,28.158573
