millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
5159,5.665552,-23.424742,-17.582691,119.258514,-72.17101,-15.61773,80.66963,47.088993,-3.1120791,95.14545,-8.069906,1.3666376
5221,5.4413586,-23.420347,-17.579254,119.43127,-72.15985,-15.618457,80.6539,47.08194,-3.1127813,95.18225,-8.070697,1.3736882
5225,5.402391,-23.417875,-17.577692,119.44069,-72.16312,-15.618032,80.653404,47.08857,-3.1108813,95.19208,-8.071091,1.3733803
5257,5.2737784,-23.425652,-17.587456,119.52408,-72.15943,-15.616085,80.643394,47.087738,-3.1148,95.210884,-8.071265,1.3719779
5267,5.2281847,-23.425734,-17.585571,119.544,-72.1597,-15.615686,80.643394,47.087738,-3.1148,95.22029,-8.071353,1.3712769
5275,5.1828933,-23.417871,-17.582527,119.58014,-72.15847,-15.616766,80.643394,47.087738,-3.1148,95.22034,-8.066647,1.3764434
5287,5.142894,-23.415672,-17.588835,119.60012,-72.15874,-15.616366,80.6334,47.086906,-3.1187186,95.22887,-8.071885,1.3804299
5295,5.096541,-23.41449,-17.585854,119.63176,-72.15154,-15.6228,80.6334,47.086906,-3.1187186,95.22887,-8.071885,1.3804299
5307,5.0509586,-23.41457,-17.583979,119.66342,-72.14434,-15.629234,80.6334,47.086906,-3.1187186,95.23827,-8.071973,1.3797288
5316,5.0120945,-23.41209,-17.582428,119.68414,-72.14721,-15.628429,80.63258,47.08843,-3.120979,95.2481,-8.072368,1.3794209
5329,4.9710264,-23.416588,-17.588787,119.71264,-72.14714,-15.625358,80.62718,47.087315,-3.1136017,95.24767,-8.072061,1.3790276
5335,4.9254513,-23.416668,-17.58691,119.72943,-72.14663,-15.629504,80.62718,47.087315,-3.1136017,95.25708,-8.072148,1.3783264
5347,4.8836617,-23.419909,-17.592163,119.74958,-72.14689,-15.629102,80.62637,47.088837,-3.1158636,95.2669,-8.072543,1.3780184
5355,4.8380938,-23.419987,-17.590286,119.77817,-72.14682,-15.626025,80.62637,47.088837,-3.1158636,95.266464,-8.072236,1.3776251
5368,4.799286,-23.417507,-17.588737,119.78777,-72.15006,-15.625627,80.61717,47.086487,-3.11752,95.27626,-8.0773325,1.372148
5375,4.754817,-23.410896,-17.586824,119.819664,-72.142876,-15.632052,80.616356,47.088,-3.119782,95.275826,-8.077025,1.3717552
5390,4.7160316,-23.408415,-17.585281,119.84054,-72.14572,-15.631258,80.616356,47.088,-3.119782,95.28565,-8.077419,1.3714465
5401,4.670478,-23.408487,-17.583412,119.87251,-72.13853,-15.637681,80.60716,47.08565,-3.1214383,95.286095,-8.0719595,1.3663689
5406,4.6298637,-23.40505,-17.588627,119.90006,-72.135025,-15.6418295,80.60982,47.083305,-3.1188238,95.29591,-8.072352,1.3660603
5415,4.5843177,-23.40512,-17.586758,119.9368,-72.1338,-15.642908,80.60982,47.083305,-3.1188238,95.29549,-8.072045,1.3656677
5425,4.546236,-23.403906,-17.586315,119.94989,-72.13781,-15.63795,80.60982,47.083305,-3.1188238,95.30445,-8.077594,1.3700432
5435,4.4981966,-23.401758,-17.590105,119.97537,-72.13697,-15.63943,80.60013,47.087578,-3.1185849,95.31384,-8.077679,1.3693414
5448,4.452658,-23.40183,-17.588238,119.998985,-72.13008,-15.64854,80.60013,47.087578,-3.1185849,95.31384,-8.077679,1.3693414
5455,4.411644,-23.406359,-17.594572,120.012764,-72.13669,-15.643205,80.60013,47.087578,-3.1185849,95.32325,-8.0777645,1.3686398
5466,4.365488,-23.405159,-17.591604,120.03769,-72.133255,-15.645065,80.603615,47.083717,-3.113708,95.33312,-8.07346,1.373502
5475,4.328521,-23.397257,-17.591154,120.0588,-72.13609,-15.644289,80.59359,47.082882,-3.1176264,95.33268,-8.073151,1.373109
5486,4.28129,-23.402744,-17.588203,120.08248,-72.12919,-15.653399,80.59359,47.082882,-3.1176264,95.342064,-8.073237,1.3724077
5495,4.233933,-23.401876,-17.593088,120.11956,-72.12795,-15.654481,80.59391,47.08799,-3.1134694,95.3519,-8.073632,1.372099
5506,4.187828,-23.40067,-17.590124,120.13279,-72.13198,-15.649527,80.593094,47.08951,-3.115731,95.35059,-8.078481,1.3763883
5515,4.1479487,-23.398525,-17.596447,120.16932,-72.128174,-15.650971,80.58707,47.07818,-3.1166663,95.360016,-8.073868,1.3808585
5526,4.1024365,-23.398594,-17.59458,120.19857,-72.12814,-15.647858,80.5839,47.087162,-3.1173856,95.36986,-8.074263,1.38055
5536,4.06383,-23.396103,-17.593056,120.219864,-72.130974,-15.64709,80.58656,47.084816,-3.114771,95.37028,-8.068798,1.3754762
5553,4.0154,-23.40194,-17.597939,120.25239,-72.12377,-15.653491,80.57736,47.08246,-3.1164255,95.380104,-8.069192,1.3751677
5555,3.9773612,-23.400724,-17.59751,120.28177,-72.12375,-15.650374,80.57736,47.08246,-3.1164255,95.38949,-8.069278,1.3744667
5566,3.9313269,-23.399515,-17.59455,120.3112,-72.12373,-15.647247,80.57736,47.08246,-3.1164255,95.38949,-8.069278,1.3744667
5575,3.8932958,-23.398298,-17.594118,120.32782,-72.12059,-15.651806,80.57654,47.083973,-3.1186893,95.39884,-8.074061,1.3685917
5585,3.8541603,-23.40378,-17.593674,120.36469,-72.116806,-15.653226,80.56735,47.081623,-3.1203454,95.39884,-8.074061,1.3685917
5595,3.8063438,-23.401655,-17.597471,120.40164,-72.113014,-15.654648,80.56735,47.081623,-3.1203454,95.408226,-8.074148,1.3678905
5606,3.7683227,-23.400438,-17.597042,120.43864,-72.109215,-15.656067,80.566536,47.083145,-3.1226075,95.40779,-8.07384,1.3674979
5615,3.7223492,-23.399221,-17.594086,120.476326,-72.107994,-15.65713,80.566536,47.083145,-3.1226075,95.41761,-8.074235,1.3671889
5625,3.6843362,-23.398008,-17.593658,120.48992,-72.11204,-15.652158,80.55733,47.080788,-3.1242616,95.426994,-8.074319,1.3664874
5636,3.6463234,-23.39679,-17.593231,120.527084,-72.10825,-15.653569,80.56081,47.076923,-3.119383,95.426994,-8.074319,1.3664874
5645,3.59858,-23.394669,-17.597033,120.55329,-72.107414,-15.655048,80.55999,47.07844,-3.1216457,95.43638,-8.074406,1.3657858
5657,3.5594692,-23.40015,-17.596577,120.57438,-72.10768,-15.654628,80.5603,47.08355,-3.1174898,95.43638,-8.074406,1.3657858
5666,3.5140047,-23.400208,-17.59471,120.61168,-72.1039,-15.656028,80.5603,47.08355,-3.1174898,95.44576,-8.074491,1.3650844
5675,3.4742048,-23.398098,-17.601042,120.63737,-72.1005,-15.657844,80.5511,47.0812,-3.1191444,95.44576,-8.074491,1.3650844
5687,3.4346642,-23.402302,-17.599495,120.675415,-72.09927,-15.658899,80.550285,47.08272,-3.121408,95.45601,-8.069414,1.3597058
5695,3.3892117,-23.402357,-17.597628,120.69665,-72.09955,-15.658479,80.550285,47.08272,-3.121408,95.464966,-8.074967,1.3640734
5710,3.3415544,-23.400242,-17.601427,120.73421,-72.09578,-15.6598625,80.550285,47.08272,-3.121408,95.46453,-8.074659,1.3636814
5715,3.296113,-23.400303,-17.599564,120.767494,-72.088585,-15.666226,80.54946,47.08424,-3.1236715,95.473915,-8.074745,1.3629799
5726,3.2581325,-23.399086,-17.599138,120.79769,-72.08861,-15.663053,80.54058,47.086994,-3.1211703,95.48374,-8.075137,1.3626703
5735,3.2123053,-23.39786,-17.596186,120.81971,-72.09144,-15.662296,80.54058,47.086994,-3.1211703,95.48333,-8.070137,1.3674556
5747,3.1743343,-23.39664,-17.595766,120.853134,-72.08425,-15.668655,80.539764,47.08851,-3.1234338,95.49315,-8.070529,1.3671463
5756,3.1260097,-23.40252,-17.600601,120.86772,-72.090866,-15.663347,80.543236,47.084656,-3.1185555,95.50253,-8.070614,1.3664451
5766,3.088042,-23.4013,-17.60018,120.90559,-72.0871,-15.66472,80.53404,47.082294,-3.1202097,95.50208,-8.070306,1.3660531
5776,3.0404851,-23.3992,-17.603983,120.92338,-72.086494,-15.668954,80.53322,47.083813,-3.122473,95.5119,-8.0707,1.3657438
5785,3.0025287,-23.397985,-17.603567,120.95384,-72.086525,-15.665767,80.53322,47.083813,-3.122473,95.51146,-8.070391,1.365352
5795,2.9571142,-23.398037,-17.6017,120.97164,-72.08592,-15.670002,80.53322,47.083813,-3.122473,95.521286,-8.070785,1.3650426
5805,2.9177158,-23.402233,-17.600134,121.00972,-72.08215,-15.671368,80.52319,47.082973,-3.1263893,95.5307,-8.066177,1.3695205
5819,2.8723118,-23.402285,-17.598265,121.02758,-72.081535,-15.675612,80.526665,47.07912,-3.1215096,95.5307,-8.066177,1.3695205
5827,2.8343675,-23.401066,-17.597849,121.06574,-72.07778,-15.676976,80.526985,47.084232,-3.1173553,95.54008,-8.066262,1.3688197
5836,2.788663,-23.399822,-17.5949,121.08809,-72.08059,-15.676237,80.526985,47.084232,-3.1173553,95.54945,-8.066346,1.3681188
5845,2.7489662,-23.39775,-17.60124,121.12194,-72.073395,-15.682581,80.51696,47.08339,-3.121273,95.54945,-8.066346,1.3681188
5858,2.7024584,-23.404501,-17.599297,121.14434,-72.076195,-15.681846,80.51696,47.08339,-3.121273,95.55882,-8.066432,1.3674178
5866,2.6642509,-23.401993,-17.597801,121.15476,-72.07936,-15.681545,80.51696,47.08339,-3.121273,95.56778,-8.071991,1.3717808
5875,2.6188734,-23.402039,-17.595932,121.1932,-72.075615,-15.682899,80.516136,47.084908,-3.1235368,95.56732,-8.071682,1.3713889
5885,2.5798335,-23.407522,-17.595434,121.20365,-72.078766,-15.682605,80.506935,47.08255,-3.1251905,95.577156,-8.072075,1.3710794
5896,2.540162,-23.405458,-17.60177,121.22617,-72.08156,-15.681878,80.507256,47.08767,-3.1210387,95.5767,-8.071766,1.3706875
5905,2.4945464,-23.404213,-17.598827,121.264755,-72.07782,-15.683231,80.50643,47.089184,-3.1233025,95.58653,-8.07216,1.370378
5916,2.449185,-23.404257,-17.596958,121.28284,-72.07715,-15.687502,80.50643,47.089184,-3.1233025,95.59677,-8.067078,1.3650055
5925,2.4112802,-23.403034,-17.596544,121.32153,-72.07341,-15.6888485,80.5007,47.082973,-3.1200747,95.595436,-8.071937,1.3692849
5936,2.3657038,-23.401787,-17.593603,121.3442,-72.07619,-15.688131,80.5007,47.082973,-3.1200747,95.60527,-8.0723295,1.368975
5945,2.3266876,-23.407269,-17.593096,121.383,-72.07245,-15.689475,80.49988,47.08449,-3.1223397,95.61467,-8.067726,1.3734562
5956,2.2813406,-23.407305,-17.591227,121.39815,-72.07905,-15.684202,80.49988,47.08449,-3.1223397,95.61467,-8.067726,1.3734562
5965,2.2415192,-23.403963,-17.59649,121.41575,-72.07587,-15.68877,80.49988,47.08449,-3.1223397,95.62405,-8.067811,1.3727552
5975,2.1950624,-23.41071,-17.59452,121.4477,-72.07845,-15.6852665,80.48985,47.08365,-3.1262558,95.63341,-8.067896,1.3720541
5986,2.1571848,-23.409485,-17.594105,121.48674,-72.074715,-15.686602,80.49364,47.084908,-3.1172214,95.63341,-8.067896,1.3720541
5995,2.1164515,-23.41415,-17.600338,121.50903,-72.07499,-15.686174,80.49364,47.084908,-3.1172214,95.64364,-8.062813,1.3666844
6006,2.071126,-23.414188,-17.598469,121.54878,-72.07377,-15.687224,80.48361,47.084064,-3.1211393,95.64364,-8.062813,1.3666844
6015,2.0331047,-23.41167,-17.596983,121.58038,-72.07385,-15.683992,80.48361,47.084064,-3.1211393,95.653,-8.062898,1.3659837
6027,1.9866645,-23.418415,-17.594997,121.61969,-72.07012,-15.685313,80.48361,47.084064,-3.1211393,95.66283,-8.063289,1.3656743
6048,1.9488058,-23.417192,-17.594584,121.65905,-72.06641,-15.686632,80.48279,47.085587,-3.1234045,95.662415,-8.058295,1.3704675
6049,1.9033711,-23.415928,-17.591642,121.69386,-72.05921,-15.692948,80.48279,47.085587,-3.1234045,95.67223,-8.058687,1.3701583
6056,1.8655244,-23.414701,-17.591227,121.73336,-72.05549,-15.69426,80.47738,47.084484,-3.1160245,95.670906,-8.063549,1.3744347
6067,1.8276796,-23.41348,-17.590818,121.75601,-72.05576,-15.693821,80.47738,47.084484,-3.1160245,95.68027,-8.063632,1.3737338
6075,1.7823862,-23.413507,-17.588947,121.788536,-72.05837,-15.6903,80.476555,47.086,-3.118289,95.690094,-8.064026,1.3734245
6086,1.7358727,-23.418947,-17.58588,121.82825,-72.05466,-15.691604,80.476555,47.086,-3.118289,95.68964,-8.063718,1.3730332
6095,1.6980424,-23.417717,-17.585466,121.86803,-72.05095,-15.692899,80.46735,47.083645,-3.1199417,95.699455,-8.06411,1.3727237
6106,1.6510557,-23.416956,-17.590353,121.88373,-72.05755,-15.687636,80.46652,47.08516,-3.122205,95.699,-8.063803,1.3723322
6115,1.6121005,-23.422438,-17.589804,121.92364,-72.05384,-15.688932,80.46652,47.08516,-3.122205,95.70882,-8.064194,1.3720227
6125,1.5667703,-23.421162,-17.586866,121.96362,-72.05013,-15.690219,80.46684,47.09028,-3.1180565,95.718185,-8.064278,1.3713219
6136,1.5215106,-23.42119,-17.584995,121.99593,-72.05026,-15.686948,80.4568,47.08944,-3.1219716,95.717705,-8.063969,1.3709304
6146,1.4837016,-23.419962,-17.584583,122.03188,-72.04556,-15.692984,80.4568,47.08944,-3.1219716,95.72758,-8.059679,1.3758084
6156,1.4384139,-23.418682,-17.581652,122.05498,-72.04585,-15.692537,80.4568,47.08944,-3.1219716,95.73693,-8.059764,1.3751076
6165,1.4006175,-23.41745,-17.581242,122.09523,-72.04216,-15.693812,80.45944,47.087097,-3.119355,95.73693,-8.059764,1.3751076
6176,1.3536841,-23.416698,-17.586128,122.13612,-72.04094,-15.694839,80.45024,47.08474,-3.1210058,95.74629,-8.059848,1.3744072
6185,1.3084491,-23.416718,-17.584257,122.15158,-72.04507,-15.689827,80.45056,47.089855,-3.1168566,95.75612,-8.060241,1.3740981
6196,1.2706629,-23.414185,-17.582788,122.1878,-72.040375,-15.695866,80.44974,47.091377,-3.1191232,95.75565,-8.059932,1.3737069
6206,1.2254425,-23.414204,-17.580923,122.211685,-72.043144,-15.695173,80.44974,47.091377,-3.1191232,95.76501,-8.060017,1.3730062
6216,1.1790898,-23.420933,-17.57889,122.24445,-72.04328,-15.691881,80.44053,47.089016,-3.120774,95.774826,-8.060409,1.3726966
6267,0.97209096,-23.414444,-17.586386,122.38059,-72.04107,-15.697813,80.43429,47.08944,-3.115661,95.80284,-8.065339,1.3654047
6277,0.93441373,-23.411905,-17.584929,122.422134,-72.039856,-15.698838,80.43345,47.090958,-3.1179254,95.802414,-8.060352,1.3702041
6286,0.8892404,-23.41192,-17.583063,122.441444,-72.03911,-15.703178,80.43345,47.090958,-3.1179254,95.81223,-8.060743,1.3698944
6335,0.68306124,-23.412907,-17.583645,122.579124,-72.03684,-15.709146,80.42605,47.087772,-3.119222,95.84028,-8.060993,1.3677926
6405,0.38652304,-23.405155,-17.586397,122.79463,-72.03594,-15.712634,80.40976,47.087353,-3.1180234,95.87771,-8.056649,1.3701832
6428,0.26448667,-23.401978,-17.590502,122.856316,-72.03147,-15.7182455,80.40976,47.087353,-3.1180234,95.89687,-8.057124,1.369173
6568,-0.19706738,-23.390644,-17.318329,123.33394,-72.03012,-15.707527,80.37632,47.088028,-3.1178908,95.97077,-8.058292,1.3734206
6578,-0.19093364,-23.391823,-17.232502,123.37761,-72.02891,-15.708544,80.37632,47.088028,-3.1178908,95.98059,-8.058685,1.3731105
6623,-0.17337248,-23.38306,-16.894917,123.52546,-72.0246,-15.706911,80.35625,47.086334,-3.1257246,96.00859,-8.058932,1.371009
6668,-0.15445414,-23.379557,-16.484753,123.66103,-72.02881,-15.705736,80.349976,47.08676,-3.1206086,96.03708,-8.059486,1.369297
6679,-0.15752044,-23.380714,-16.404207,123.64669,-72.03013,-15.713386,80.349976,47.08676,-3.1206086,96.03658,-8.059177,1.368907
6794,0.47524285,-21.54417,-14.267559,123.29521,-72.08256,-15.759908,80.25108,46.907238,-3.1058247,96.12757,-8.056029,1.2841876
6924,-0.36687627,-24.700924,-18.021143,122.86774,-72.14178,-15.820546,80.47701,47.322525,-3.09724,96.21958,-8.114373,1.2351792
7007,4.240453,-29.94422,-27.07256,122.64984,-72.15927,-15.86894,80.60139,47.416393,-3.063062,96.20131,-8.24911,1.430112
7103,15.506388,-33.084705,-38.648052,122.41727,-72.192856,-15.893611,80.55455,47.294285,-3.0510397,96.34578,-8.161495,1.5922389
7168,33.21655,-30.917715,-45.03617,122.259514,-72.2105,-15.920792,80.32482,47.13747,-3.1115499,96.4786,-8.239315,1.3520045
7177,36.148663,-30.569086,-45.62261,122.26272,-72.20506,-15.930216,80.31687,47.158436,-3.1175957,96.44574,-8.253973,1.274526
7207,44.692513,-29.911469,-46.313393,122.18234,-72.21397,-15.942523,80.326065,47.160797,-3.1159453,96.37881,-8.250845,1.0633528
