millis,A0,A1,A2,B0,B1,B2
2008,45.028244,41.51054,-43.958202,44.42954,57.15538,-30.034992
2011,45.21895,41.46112,-43.755054,44.92191,57.4117,-29.929264
2020,45.530785,41.49805,-43.427288,45.674572,57.79591,-29.75188
2030,45.77657,41.573143,-43.108185,46.246662,58.026917,-29.664341
2041,45.85954,41.62178,-42.926712,46.20542,57.898254,-29.782047
2057,45.988506,41.577816,-42.72938,46.31591,57.86608,-29.861395
2062,46.160866,41.53984,-42.473164,46.92961,58.10679,-29.796303
2073,46.264088,41.467003,-42.269012,47.622486,58.35286,-29.743597
2080,46.314293,41.406425,-42.095062,47.988586,58.39533,-29.808683
2090,46.254826,41.310566,-42.01645,47.967705,58.21332,-30.019146
2104,46.138866,41.167717,-42.003822,47.850525,57.975315,-30.269917
2110,46.03021,40.967777,-42.012516,47.77096,57.764664,-30.508802
2121,45.966393,40.695904,-42.00838,47.84217,57.651634,-30.680048
2131,45.891445,40.31458,-42.038918,48.07167,57.64042,-30.788317
2140,45.847775,39.84581,-42.071648,48.57118,57.7762,-30.80148
2153,45.88802,39.341797,-42.060017,49.309204,58.051395,-30.712496
2163,45.94521,38.795677,-42.0357,50.22999,58.379204,-30.595732
2170,46.070538,38.314495,-41.928917,51.27232,58.694965,-30.495646
2181,46.207294,38.06355,-41.72783,51.960735,58.81797,-30.510403
2194,46.120674,37.78606,-41.720207,52.280777,58.7964,-30.603426
2201,46.03685,37.526463,-41.73531,52.281918,58.65709,-30.772367
2210,45.945175,37.22078,-41.794136,52.212475,58.48432,-30.969187
2224,45.82583,36.87765,-41.911865,52.23363,58.35877,-31.132673
2231,45.66089,36.50747,-42.119198,52.236774,58.240196,-31.286098
2241,45.43508,36.104176,-42.445595,52.05445,58.091373,-31.446436
2251,45.186203,35.717163,-42.86831,51.703426,57.929516,-31.598568
2262,44.937016,35.454525,-43.355007,51.02165,57.699867,-31.776539
2271,44.524826,35.33112,-44.027546,49.503513,57.235817,-32.078793
2280,43.937695,35.28569,-44.945335,47.171856,56.575424,-32.427685
2291,43.318386,35.325333,-46.034782,44.376873,55.929123,-32.605698
2301,42.867558,35.66104,-47.060085,41.378044,55.463333,-32.412117
2311,42.51344,36.435448,-47.92423,37.73205,54.84085,-31.967556
2321,41.94269,37.328243,-48.827587,33.117294,53.5665,-31.493736
2334,41.135025,38.028633,-49.780205,27.898624,51.517956,-31.026886
2341,40.184425,38.4193,-50.658268,22.782278,49.02015,-30.359774
2351,39.203335,38.54568,-51.280895,17.97221,46.265545,-29.41118
2361,38.050472,38.24024,-51.7403,13.519309,43.451794,-28.135998
2370,36.614548,37.44207,-52.06408,9.514235,40.588512,-26.575579
2382,35.200665,36.474957,-51.93467,5.5732,37.535583,-24.794395
2391,33.605267,35.234688,-51.498707,1.9463995,34.729816,-22.709896
2401,31.99167,33.933674,-50.618523,-1.3285773,32.228207,-20.34976
2411,30.344809,32.53099,-49.375298,-4.369611,29.680918,-17.901127
2424,28.668179,31.043644,-47.839478,-7.2060156,27.040356,-15.418415
2436,27.049843,29.563202,-46.022762,-9.599308,24.537024,-12.923085
2444,25.49635,27.913912,-44.035934,-11.4125,22.052063,-10.463971
2451,24.127613,25.961376,-41.888557,-12.55794,19.157242,-8.21085
2461,23.012136,23.730507,-39.64519,-13.344634,15.447714,-6.345462
2471,22.094917,21.052046,-37.53711,-13.942294,11.213001,-4.9220185
2482,21.254623,17.932816,-35.695553,-14.366635,7.0082893,-3.8746262
2491,20.615242,14.910402,-34.084274,-14.568847,3.351497,-3.0530264
2502,20.25368,12.319851,-32.63129,-14.402711,0.5507609,-2.3329608
2514,20.26477,10.440836,-31.250978,-13.802283,-1.2805724,-1.6769278
2521,20.84681,9.477444,-29.88914,-13.002151,-2.5106988,-1.0307362
2532,21.836823,9.078988,-28.686993,-12.009098,-3.5338209,-0.69830424
2543,23.05021,8.643224,-27.78681,-11.028839,-4.710469,-0.7488613
2551,24.332933,7.921899,-27.301977,-10.131218,-6.0452642,-1.2521831
2561,25.61573,7.12336,-27.243063,-9.275026,-7.1521125,-2.1927145
2571,26.77607,6.6512136,-27.604227,-8.47861,-7.6138005,-3.4653707
2582,27.680845,6.746011,-28.40785,-7.8684487,-7.24132,-4.9261847
2591,28.2786,7.365817,-29.68531,-7.426578,-6.1116185,-6.5736566
2602,28.594969,8.549069,-31.434378,-7.067144,-4.1483216,-8.407078
2611,28.67288,10.4032545,-33.58227,-6.6283402,-1.0694243,-10.432444
2621,28.731712,12.9140625,-36.106384,-5.7951217,3.503425,-12.689802
2633,28.70922,15.599903,-38.93471,-4.454354,9.33016,-14.89225
2641,28.513031,18.278152,-41.9646,-3.1306262,15.2751255,-17.031725
2651,28.759102,21.136295,-44.990246,-2.1509483,20.33908,-19.245035
2662,29.29963,23.738787,-47.794186,-0.8717583,24.451813,-21.669228
2671,29.802238,25.853678,-50.376602,0.64196193,27.98627,-24.040457
2681,30.382153,27.837742,-52.540627,2.3302386,31.565962,-26.182985
2692,31.052238,29.801765,-54.19179,4.45366,35.530262,-27.99441
2701,31.801695,31.56256,-55.312977,6.934653,39.623325,-29.45318
2711,32.58997,32.901756,-55.91543,9.847792,43.599598,-30.5361
2721,33.563313,33.889904,-55.907608,13.233336,47.090935,-31.224464
2731,34.704384,34.611076,-55.382042,17.33046,49.8843,-31.49165
2741,35.7234,35.08391,-54.684357,20.629002,51.360325,-31.810171
2751,36.345257,35.213863,-54.193836,22.602995,51.86562,-32.327976
2762,36.85366,35.19618,-53.78431,24.51853,52.589905,-32.512337
2772,37.53664,35.24539,-53.278706,27.078386,53.95724,-32.08731
2782,38.349186,35.629055,-52.653446,29.316153,55.27154,-31.281166
2792,38.68774,36.194378,-52.337475,28.928547,55.38577,-30.673033
2801,38.52652,36.955147,-52.25802,25.681112,53.75475,-30.413485
2811,37.743973,37.21267,-52.62937,20.970959,50.32147,-30.562761
2825,36.493603,36.632618,-53.342728,16.172565,45.886337,-30.803934
2832,35.08808,35.472885,-54.02138,12.033686,41.662094,-30.623362
2842,33.5615,33.989777,-54.44825,8.606482,38.181656,-29.765686
2852,32.486305,32.814823,-54.04214,5.81005,35.0791,-28.300707
2861,31.655214,31.731585,-52.92265,3.3612933,31.7926,-26.365953
2873,31.06032,30.620106,-51.082596,1.2941273,28.14453,-23.98993
2882,30.635244,29.276356,-48.608646,-0.43040287,24.190924,-21.185354
2891,30.365238,27.655235,-45.56279,-1.5522016,20.105621,-18.110697
2902,30.304996,25.611013,-42.073627,-2.2129364,15.339201,-15.089347
2912,30.310244,22.72118,-38.443573,-2.7970207,9.48828,-12.338797
2922,30.248543,19.038977,-34.838634,-3.3130777,3.29749,-9.734906
2936,30.337296,15.207896,-31.151625,-3.366182,-2.297848,-7.1728263
2942,30.766586,11.71942,-27.306932,-2.9916065,-7.236165,-4.60074
2956,31.324205,8.524908,-23.40202,-2.5155663,-11.908976,-1.97266
2961,31.762766,5.3407955,-19.585129,-2.1449082,-16.554377,0.63844776
2972,32.038452,2.0443184,-15.972926,-1.8983358,-20.928358,3.2167368
2983,32.140194,-0.8207454,-12.553293,-1.5725895,-24.341694,5.760408
2993,32.03908,-2.7462752,-9.339518,-1.0327004,-26.213957,8.260182
3002,31.841234,-3.4581845,-6.364846,-0.20530361,-26.524998,10.6197195
3012,31.769522,-3.3191326,-3.7095032,0.79310495,-26.131763,12.638408
3022,31.80034,-3.2593563,-1.4000368,1.4903114,-26.327454,14.412532
3034,31.687326,-4.047946,0.5839405,1.5765349,-27.547327,15.9396305
3044,31.275757,-5.3128295,2.2282646,1.3116698,-29.004103,17.11406
3052,30.900307,-6.2393613,3.461271,1.3127897,-29.754807,17.762522
3061,30.697096,-6.251095,4.39402,1.6831992,-29.252422,18.158745
3073,30.676962,-5.3083544,5.13588,2.3585563,-27.78156,18.46413
3082,30.797468,-3.9613116,5.8431125,3.198717,-26.2129,18.852736
3092,30.971577,-2.4197357,6.609836,3.9839978,-24.821663,19.486462
3102,31.325558,-0.8717459,7.454788,4.9252744,-23.599834,20.053972
3114,31.929075,0.5231236,8.275955,5.954942,-22.809668,20.401623
3121,32.76977,1.6059967,8.944822,6.891225,-22.56067,20.420795
3132,33.514225,2.6492102,9.278523,7.727015,-22.234278,20.04901
3142,34.379665,4.2715197,9.076216,8.621012,-20.7974,19.35902
3152,35.63104,7.2136407,8.388313,9.652544,-17.276243,18.55266
3162,37.456852,11.990408,7.4281116,10.748007,-11.731085,17.919579
3172,39.627758,18.153511,6.4081173,11.70037,-5.1489906,17.743048
3182,41.977932,25.176666,5.3524075,12.3263,1.729454,17.939133
3191,44.71195,32.14747,4.2269015,12.81054,8.196112,18.039387
3202,47.56072,38.729866,2.8681245,12.80783,14.312443,17.938972
3212,50.400772,44.79199,1.1425745,12.561201,20.437874,17.46443
3222,52.900566,50.43211,-1.0615464,12.196084,26.82895,16.703495
3232,55.327934,55.98626,-3.6215754,11.939216,33.670704,15.780427
3241,58.29965,61.7288,-6.1481905,12.026326,40.68649,14.799518
3256,61.586197,66.96569,-8.527273,12.260242,47.26181,13.686497
3262,64.321465,70.68691,-11.065674,12.073867,53.263943,12.128928
3273,66.42534,72.498566,-13.812198,11.472773,58.886322,10.04138
3282,68.33404,72.478836,-16.54236,10.899505,64.4247,7.646983
3292,70.26696,70.741745,-19.250023,10.739686,70.169754,5.0814915
3303,72.27977,67.61335,-21.844442,10.980956,75.97672,2.2461207
3315,74.02663,63.67009,-24.257118,13.2459545,81.241234,-0.8309843
3322,75.33017,59.411346,-26.448214,23.33663,84.27377,-4.288532
3332,76.40686,55.026752,-28.311052,122.2273,82.01626,-7.8644743
3342,76.928665,50.687016,-29.880823,156.70752,76.925156,-11.38174
3352,76.38202,46.45821,-31.369549,158.73605,71.48176,-15.010924
3363,74.768196,42.22831,-32.964954,156.69629,66.24385,-18.929007
3373,73.25235,38.10424,-34.169727,153.92296,61.40057,-22.611294
3383,72.11706,34.037434,-35.005238,152.03236,56.872875,-25.828987
3392,71.449394,30.185411,-35.4079,150.94496,52.693516,-28.453182
3402,70.24457,26.802732,-35.74519,149.29228,49.173454,-30.624712
3412,68.277534,24.338226,-36.0485,145.98369,46.437675,-32.854862
3425,65.57116,22.58234,-36.439346,141.42088,44.26094,-35.2983
3432,62.558853,21.146603,-37.11147,137.43874,42.301025,-37.76263
3442,59.7264,19.723007,-38.17362,134.52046,40.841682,-39.646454
3453,57.064083,19.046383,-39.271435,130.62901,39.95357,-41.40622
3462,53.93935,18.964064,-40.704594,124.47676,39.30867,-43.520027
3472,50.388737,19.14138,-42.537663,116.47781,38.53486,-45.957695
3482,46.90321,19.358896,-44.561806,106.685295,37.641514,-48.368626
3492,43.635807,19.703297,-46.621983,93.92338,36.633846,-50.731293
3503,40.445713,20.027151,-48.824993,77.64793,35.487907,-53.03654
3513,37.33125,20.279652,-51.225945,59.346115,34.26717,-55.13069
3522,34.38899,20.359941,-53.801903,41.584866,32.900066,-57.0062
3532,31.66003,20.420582,-56.435013,26.515657,31.35093,-58.608353
3542,28.958376,20.34309,-59.23194,14.738051,29.565598,-59.87828
3555,26.157303,20.041903,-62.2474,6.064271,27.573502,-60.668015
3563,23.367899,19.484491,-65.39515,-0.34810725,25.024542,-61.149097
3573,20.720179,18.640617,-68.4481,-5.3963947,21.738274,-61.33767
3582,17.852987,17.020226,-71.74378,-9.063232,18.377573,-60.873516
3593,15.481777,15.317979,-74.454544,-11.940164,15.276514,-59.77159
3602,13.460097,13.466483,-76.4902,-14.413963,12.387629,-58.253147
3612,11.397357,11.188404,-77.91251,-16.496895,9.595859,-56.496323
3622,9.540745,8.736832,-78.27021,-18.23586,6.723745,-54.62899
3635,7.7728724,6.0177407,-77.503,-19.762762,3.6902072,-52.570683
3643,6.4037576,3.4562235,-75.66037,-21.157911,0.6352042,-50.35987
3652,5.873765,1.5126563,-73.28991,-22.169304,-2.367112,-48.258266
3665,5.9722505,-0.122614175,-70.84662,-22.650585,-5.4218054,-46.295185
3672,6.6353955,-1.6842314,-68.323395,-22.857151,-8.725459,-44.342052
3683,7.834853,-3.29752,-65.75862,-22.923862,-12.280746,-42.354584
3693,9.545384,-5.007506,-63.150536,-22.910355,-15.873583,-40.42487
3702,11.725914,-6.87188,-60.68217,-22.868172,-19.43512,-38.63866
3713,13.967389,-9.17058,-58.180466,-23.011194,-23.311121,-37.03848
3724,16.432459,-11.821587,-55.70911,-23.493309,-27.468014,-35.301277
3733,19.252499,-14.627818,-53.192303,-24.575754,-31.912327,-33.175728
3744,22.080004,-17.469303,-50.580536,-25.825264,-36.08272,-30.999794
