millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2
3005,112.16941,-21.194807,5.7946243,22.493986,-22.304642,5.6315007,-89.461525,-73.58122,-5.700526,-81.00798,-73.71615,-2.1107004,42.74194,-1.4462546,-3.4966924,-175.54048,-10.32101,-0.26292542
3015,112.16941,-21.194807,5.7946243,22.493986,-22.304642,5.6315007,-89.461525,-73.58122,-5.700526,-81.00388,-73.723656,-2.1122243,42.74194,-1.4462546,-3.4966924,-175.54048,-10.32101,-0.26292542
3024,112.168915,-21.198647,5.7887874,22.494759,-22.305702,5.6382213,-89.461494,-73.576744,-5.705147,-81.00388,-73.723656,-2.1122243,42.74194,-1.4462546,-3.4966924,-175.54048,-10.32101,-0.26292542
3032,112.168915,-21.198647,5.7887874,22.494759,-22.305702,5.6382213,-89.461494,-73.576744,-5.705147,-81.00388,-73.723656,-2.1122243,42.74194,-1.4462546,-3.4966924,-175.54759,-10.32105,-0.26229733
3042,112.168915,-21.198647,5.7887874,22.494759,-22.305702,5.6382213,-89.461494,-73.576744,-5.705147,-81.00838,-73.721146,-2.1075828,42.74194,-1.4462546,-3.4966924,-175.54759,-10.32105,-0.26229733
3054,112.168915,-21.198647,5.7887874,22.494759,-22.305702,5.6382213,-89.461494,-73.576744,-5.705147,-81.00349,-73.71865,-2.1153421,42.74194,-1.4462546,-3.4966924,-175.54048,-10.32101,-0.26292542
3063,112.168915,-21.198647,5.7887874,22.494759,-22.305702,5.6382213,-89.461494,-73.576744,-5.705147,-81.00798,-73.71615,-2.1107004,42.74194,-1.4462546,-3.4966924,-175.54048,-10.32101,-0.26292542
3073,112.168915,-21.198647,5.7887874,22.494759,-22.305702,5.6382213,-89.461494,-73.576744,-5.705147,-81.00798,-73.71615,-2.1107004,42.74194,-1.4462546,-3.4966924,-175.54048,-10.32101,-0.26292542
3084,112.168915,-21.198647,5.7887874,22.494759,-22.305702,5.6382213,-89.46904,-73.57345,-5.7020526,-81.00798,-73.71615,-2.1107004,42.74194,-1.4462546,-3.4966924,-175.54048,-10.32101,-0.26292542
3095,112.168915,-21.198647,5.7887874,22.494759,-22.305702,5.6382213,-89.46904,-73.57345,-5.7020526,-81.00798,-73.71615,-2.1107004,42.74194,-1.4462546,-3.4966924,-175.54048,-10.32101,-0.26292542
3106,112.168915,-21.198647,5.7887874,22.494759,-22.305702,5.6382213,-89.46904,-73.57345,-5.7020526,-81.00798,-73.71615,-2.1107004,42.74194,-1.4462546,-3.4966924,-175.54048,-10.32101,-0.26292542
