millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
2006,82.63758,-24.617254,-3.6408944,-67.013596,-51.86497,5.881523,-94.51143,-84.03649,4.595465,-61.972305,-45.30397,-3.9660904,-128.67159,5.560346,0.32789302,57.631195,-0.92571807,-2.1619215,92.6408,8.271419,15.629478,31.361158,-19.016193,-0.95818305,-164.27617,54.185486,9.216286,-107.20628,54.04957,3.9043055
2081,82.63758,-24.617254,-3.6408944,-67.013596,-51.86497,5.881523,-94.504776,-84.04159,4.591689,-61.972305,-45.30397,-3.9660904,-128.67159,5.560346,0.32789302,57.639698,-0.9318293,-2.1654341,92.641396,8.281186,15.629397,31.355215,-19.016554,-0.9570815,-164.27617,54.185486,9.216286,-107.1996,54.05476,3.9072297
2103,82.63758,-24.617254,-3.6408944,-67.013596,-51.86497,5.881523,-94.504776,-84.04159,4.591689,-61.972305,-45.30397,-3.9660904,-128.67159,5.560346,0.32789302,57.639698,-0.9318293,-2.1654341,92.631134,8.276807,15.623514,31.355427,-19.023212,-0.95884955,-164.27617,54.185486,9.216286,-107.19864,54.05819,3.901738
2166,82.636055,-24.61665,-3.6312773,-67.014496,-51.861702,5.8872604,-94.504776,-84.04159,4.591689,-61.970135,-45.31072,-3.9654982,-128.67159,5.560346,0.32789302,57.631195,-0.92571807,-2.1619215,92.631134,8.276807,15.623514,31.356174,-19.025019,-0.952182,-164.27742,54.18842,9.2170315,-107.19864,54.05819,3.901738
2231,82.637474,-24.612135,-3.636528,-67.013596,-51.86497,5.881523,-94.51143,-84.03649,4.595465,-61.967796,-45.307533,-3.9742453,-128.67178,5.5573273,0.334194,57.631145,-0.9318432,-2.1652908,92.641396,8.281186,15.629397,31.355215,-19.016554,-0.9570815,-164.26352,54.19294,9.220436,-107.20151,54.067863,3.9037108
2318,82.63758,-24.617254,-3.6408944,-67.013596,-51.86497,5.881523,-94.51143,-84.03649,4.595465,-61.958385,-45.304974,-3.9753041,-128.6699,5.55703,0.33402917,57.631145,-0.9318432,-2.1652908,92.641396,8.281186,15.629397,31.355215,-19.016554,-0.9570815,-164.26624,54.186974,9.220216,-107.193,54.065887,3.906394
2391,82.636154,-24.62177,-3.6356447,-67.014496,-51.861702,5.8872604,-94.51143,-84.03649,4.595465,-61.958385,-45.304974,-3.9753041,-128.67047,5.550731,0.33101335,57.63135,-0.93521595,-2.1591635,92.64082,8.276144,15.634323,31.361158,-19.016193,-0.95818305,-164.27182,54.185368,9.226394,-107.20151,54.067863,3.9037108
2471,82.63691,-24.618412,-3.639893,-67.014496,-51.861702,5.8872604,-94.511406,-84.03198,4.5952907,-61.95999,-45.30229,-3.9696426,-128.67178,5.5573273,0.334194,57.63135,-0.93521595,-2.1591635,92.631134,8.276807,15.623514,31.355215,-19.016554,-0.9570815,-164.27182,54.185368,9.226394,-107.19204,54.06931,3.900903
2552,82.63549,-24.62293,-3.6346424,-67.014496,-51.861702,5.8872604,-94.511406,-84.03198,4.5952907,-61.958385,-45.304974,-3.9753041,-128.67178,5.5573273,0.334194,57.63135,-0.93521595,-2.1591635,92.631134,8.276807,15.623514,31.355215,-19.016554,-0.9570815,-164.27182,54.185368,9.226394,-107.19864,54.05819,3.901738
2632,82.637375,-24.60701,-3.6321604,-67.014496,-51.861702,5.8872604,-94.504395,-84.03732,4.588534,-61.95999,-45.30229,-3.9696426,-128.6699,5.55703,0.33402917,57.631145,-0.9318432,-2.1652908,92.631134,8.276807,15.623514,31.360943,-19.009539,-0.95641476,-164.28029,54.19278,9.223431,-107.19864,54.05819,3.901738
2711,82.637474,-24.612135,-3.636528,-67.014496,-51.861702,5.8872604,-94.51077,-84.02747,4.595576,-61.958385,-45.304974,-3.9753041,-128.67857,5.5571947,0.33373225,57.631145,-0.9318432,-2.1652908,92.641396,8.281186,15.629397,31.360943,-19.009539,-0.95641476,-164.28029,54.19278,9.223431,-107.199684,54.060696,3.903469
2791,82.637474,-24.612135,-3.636528,-67.014496,-51.861702,5.8872604,-94.511406,-84.03198,4.5952907,-61.968536,-45.313396,-3.97116,-128.6699,5.55703,0.33402917,57.631145,-0.9318432,-2.1652908,92.64082,8.276144,15.634323,31.355291,-19.00844,-0.9560614,-164.28172,54.18388,9.222465,-107.19864,54.05819,3.901738
2871,82.636055,-24.61665,-3.6312773,-67.014496,-51.861702,5.8872604,-94.50412,-84.032585,4.5917983,-61.968536,-45.313396,-3.97116,-128.6699,5.55703,0.33402917,57.639698,-0.9318293,-2.1654341,92.64082,8.276144,15.634323,31.355427,-19.023212,-0.95884955,-164.28172,54.18388,9.222465,-107.19778,54.04759,3.9069889
