millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2
1975,14.206791,6.5217714,-65.02689,105.72054,-18.749182,6.0093484,-10.530926,2.1265745,11.854143,112.686295,15.098972,-20.351397,132.01505,7.789686,4.667761
1982,10.814474,5.9598927,-59.72988,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.686295,15.098972,-20.351397,132.01526,7.7868953,4.661404
1993,8.328678,20.710608,-23.630516,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.686295,15.098972,-20.351397,132.01604,7.7805057,4.6642666
1999,-11.145538,12.919676,4.1147103,105.71821,-18.754656,6.0133324,-10.530721,2.1271865,11.861068,112.68353,15.104504,-20.354813,132.01604,7.7805057,4.6642666
2005,3.1224558,-10.17658,-14.012443,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.68353,15.104504,-20.354813,132.01526,7.7868953,4.661404
2012,2.0660036,-10.561553,-5.2561884,105.71821,-18.754656,6.0133324,-10.530721,2.1271865,11.861068,112.68353,15.104504,-20.354813,132.01526,7.7868953,4.661404
2018,-0.027472328,-25.118137,-19.036633,105.71789,-18.758839,6.007711,-10.530721,2.1271865,11.861068,112.686295,15.098972,-20.351397,132.01526,7.7868953,4.661404
2023,-5.5740013,-34.352127,0.6169346,105.71789,-18.758839,6.007711,-10.530721,2.1271865,11.861068,112.68691,15.094983,-20.357296,132.01526,7.7868953,4.661404
2043,-8.635031,-28.041113,-6.8175254,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.68691,15.094983,-20.357296,132.01526,7.7868953,4.661404
2051,2.6536007,-12.493338,-6.1253967,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.686295,15.098972,-20.351397,132.01526,7.7868953,4.661404
2061,6.060187,3.8951693,-31.795036,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.686295,15.098972,-20.351397,132.01526,7.7868953,4.661404
2069,-5.801542,14.2284355,7.1244583,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.01526,7.7868953,4.661404
2075,-21.187037,-42.684254,-37.927063,105.71586,-18.76013,6.017317,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.01526,7.7868953,4.661404
2082,0.9780499,9.910299,-33.402996,105.71586,-18.76013,6.017317,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.01526,7.7868953,4.661404
2092,2.241117,-16.196823,32.655758,105.71586,-18.76013,6.017317,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.01505,7.789686,4.667761
2099,16.325912,8.280207,36.672604,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.686295,15.098972,-20.351397,132.01505,7.789686,4.667761
2106,4.4465284,4.792689,30.96614,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.01505,7.789686,4.667761
2111,18.270657,-11.921996,30.106213,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.01526,7.7868953,4.661404
2121,-0.36822912,-3.4771824,25.746786,105.71586,-18.76013,6.017317,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.01505,7.789686,4.667761
2129,-4.145328,2.7004364,60.35433,105.71586,-18.76013,6.017317,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.01505,7.789686,4.667761
2135,-3.8206007,6.2472296,81.390495,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.01505,7.789686,4.667761
2139,-0.5147497,1.317076,87.36146,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.01604,7.7805057,4.6642666
2144,-4.5983286,-8.445186,-80.517876,105.71586,-18.76013,6.017317,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.0245,7.7804346,4.6648164
2149,-4.015973,7.4903545,81.69307,105.71699,-18.76081,6.01828,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.0245,7.7804346,4.6648164
2154,4.2199745,-7.733914,76.469925,105.71699,-18.76081,6.01828,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.0245,7.7804346,4.6648164
2160,-0.74524903,2.5019145,71.10834,105.71699,-18.76081,6.01828,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.0245,7.7804346,4.6648164
2171,-5.4876633,17.968102,49.430344,105.71586,-18.76013,6.017317,-10.530926,2.1265745,11.854143,112.676285,15.097413,-20.351578,132.0245,7.7804346,4.6648164
2178,-134.72954,-49.567608,3.7090158,105.71586,-18.76013,6.017317,-10.530926,2.1265745,11.854143,112.67691,15.093425,-20.35748,132.0245,7.7804346,4.6648164
2188,153.62784,-20.120945,4.4528956,105.71586,-18.76013,6.017317,-10.530926,2.1265745,11.854143,112.67691,15.093425,-20.35748,132.0245,7.7804346,4.6648164
2199,4.786821,-5.7441587,81.69497,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.67691,15.093425,-20.35748,132.02373,7.7868233,4.661955
2209,-0.021537384,3.0489466,76.30724,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.67691,15.093425,-20.35748,132.01526,7.7868953,4.661404
2218,-6.2118278,14.299708,67.18239,105.71789,-18.758839,6.007711,-10.530926,2.1265745,11.854143,112.68691,15.094983,-20.357296,132.01604,7.7805057,4.6642666
2228,-0.98917377,1.2176566,81.55719,105.71821,-18.754656,6.0133324,-10.530926,2.1265745,11.854143,112.67691,15.093425,-20.35748,132.01604,7.7805057,4.6642666
2238,11.139307,-16.6871,72.96449,105.71586,-18.76013,6.017317,-10.530926,2.1265745,11.854143,112.67691,15.093425,-20.35748,132.01604,7.7805057,4.6642666
2248,-0.84921706,2.1751935,86.14492,105.71586,-18.76013,6.017317,-10.530926,2.1265745,11.854143,112.67691,15.093425,-20.35748,132.01604,7.7805057,4.6642666
2257,-2.5880964,10.008639,69.189285,105.71789,-18.758839,6.007711,-10.530926,2.1265745,11.854143,112.67691,15.093425,-20.35748,132.01604,7.7805057,4.6642666
2268,-10.457812,20.045351,62.76916,105.71789,-18.758839,6.007711,-10.531645,2.1335034,11.853479,112.68691,15.094983,-20.357296,132.01604,7.7805057,4.6642666
