millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2
4921,1.519449,-1.143692,-44.18269,158.83595,-5.4190598,-11.693219,136.03413,9.686792,7.771207,-61.613483,17.391863,-25.301405,94.84064,1.9483912,2.398048,-101.03608,2.1068058,-4.027681,-50.72044,-23.441292,3.512756
4933,1.5324208,-1.1384286,-44.182774,158.8485,-5.4241633,-11.692174,136.0259,9.68702,7.7704782,-61.61024,17.393755,-25.301111,94.83116,1.9486053,2.3978882,-101.035225,2.1065505,-4.027573,-50.68355,-23.451967,3.5015662
4945,1.5427613,-1.139642,-44.182938,158.86325,-5.421672,-11.686279,136.02562,9.689539,7.7768993,-61.594357,17.391825,-25.304995,94.82169,1.9488189,2.3977287,-101.045006,2.106442,-4.0278287,-50.65492,-23.467173,3.5001297
4958,1.5531018,-1.1408554,-44.1831,158.87784,-5.420382,-11.687207,136.02461,9.696018,7.77423,-61.58105,17.393702,-25.302826,94.82169,1.9488189,2.3977287,-101.05393,2.1060789,-4.0279775,-50.622128,-23.480377,3.4991407
4978,1.5634422,-1.1420686,-44.183273,158.89124,-5.4186425,-11.687497,136.01637,9.696247,7.7734995,-61.577816,17.395596,-25.302528,94.81221,1.9490328,2.397569,-101.05393,2.1060789,-4.0279775,-50.593456,-23.49558,3.4976866
4984,1.5737826,-1.1432819,-44.183434,158.89766,-5.424843,-11.6866255,136.01637,9.696247,7.7734995,-61.56236,17.388115,-25.303469,94.802734,1.949247,2.3974094,-101.06286,2.1057148,-4.028126,-50.560646,-23.508787,3.4966812
4996,1.5841227,-1.1444951,-44.1836,158.91225,-5.423553,-11.687552,136.009,9.703683,7.770314,-61.545815,17.391884,-25.301003,94.79326,1.9494605,2.39725,-101.071785,2.1053512,-4.028274,-50.531944,-23.523989,3.495209
5007,1.5944629,-1.1457084,-44.183773,158.92563,-5.421813,-11.687843,136.009,9.703683,7.770314,-61.53998,17.389973,-25.306763,94.783394,1.9494879,2.3970628,-101.08156,2.105243,-4.0285296,-50.499123,-23.537191,3.494189
5019,1.6074337,-1.140445,-44.183846,158.94022,-5.420522,-11.688769,136.009,9.703683,7.770314,-61.526676,17.391851,-25.30459,94.78378,1.9496747,2.3970902,-101.08072,2.1049876,-4.028422,-50.470387,-23.552393,3.4926984
5031,1.6177735,-1.1416581,-44.184017,158.9536,-5.418782,-11.689058,135.99976,9.71039,7.7669134,-61.513363,17.393726,-25.302422,94.7743,1.9498886,2.3969302,-101.090485,2.1048791,-4.0286775,-50.437546,-23.565592,3.4916625
