millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2
3742,-4.957411,-25.777597,0.40467337,114.59277,-42.866776,12.689379,-57.765884,5.182608,0.56374335,-137.08571,9.469338,-2.7027326,121.1358,2.3942392,-1.3497218,-8.437125,1.0374862,-3.4998348,162.1914,-42.325024,-14.776562,105.527145,17.923252,-17.022554
3756,-4.957411,-25.777597,0.40467337,114.610245,-42.86942,12.68349,-57.777718,5.18278,0.5633274,-137.06288,9.469778,-2.7008808,121.137505,2.3977633,-1.3437729,-8.444023,1.0372685,-3.4998822,162.23738,-42.340813,-14.77714,105.52758,17.91897,-17.028267
3769,-4.9649043,-25.770699,0.4059709,114.63521,-42.863094,12.681096,-57.78098,5.1826577,0.5630338,-137.04642,9.469671,-2.699685,121.12817,2.4037085,-1.347292,-8.450922,1.0370508,-3.4999297,162.27979,-42.353676,-14.783564,105.53986,17.91068,-17.028418
3782,-4.972439,-25.770605,0.40752858,114.64169,-42.861927,12.675519,-57.7928,5.182829,0.5626177,-137.03146,9.472668,-2.7049139,121.12092,2.4036522,-1.347523,-8.457819,1.0368332,-3.4999774,162.3194,-42.37545,-14.78938,105.54979,17.912186,-17.028069
3797,-4.979973,-25.770515,0.40908623,114.6653,-42.85925,12.667171,-57.792633,5.1861978,0.56873566,-137.01686,9.47316,-2.7036595,121.11188,2.4035084,-1.3476104,-8.464716,1.0366154,-3.5000248,162.3673,-42.39606,-14.797901,105.55214,17.90239,-17.028566
3813,-4.987466,-25.76361,0.41038224,114.68413,-42.858242,12.667239,-57.804462,5.186369,0.56831944,-137.00317,9.46715,-2.7049627,121.10246,2.412891,-1.3450395,-8.471614,1.0363977,-3.500072,162.41338,-42.411827,-14.798534,105.56208,17.903896,-17.02822
3825,-4.989183,-25.763895,0.4035689,114.69211,-42.858727,12.663418,-57.807728,5.186247,0.5680255,-136.98856,9.467642,-2.7037091,121.10424,2.4129791,-1.3451833,-8.478373,1.0356566,-3.5070908,162.45255,-42.431076,-14.803885,105.57129,17.900925,-17.032104
3843,-4.996716,-25.763805,0.40512612,114.71571,-42.85605,12.655071,-57.81956,5.1864185,0.5676092,-136.97395,9.468134,-2.7024558,121.0952,2.412835,-1.3452711,-8.478373,1.0356566,-3.5070908,162.49562,-42.44638,-14.810881,105.57479,17.891327,-17.034086
3853,-5.0042496,-25.763718,0.40668333,114.733185,-42.858673,12.649182,-57.822815,5.1862965,0.56731546,-136.94923,9.467973,-2.7006621,121.08764,2.4188662,-1.348937,-8.485062,1.0424091,-3.507654,162.53845,-42.468548,-14.810438,105.584,17.888351,-17.037973
3868,-5.011783,-25.763626,0.40824056,114.75066,-42.8613,12.643291,-57.83464,5.1864676,0.566899,-136.93462,9.468464,-2.699408,121.078606,2.418722,-1.349025,-8.492098,1.0427151,-3.5007303,162.58932,-42.480194,-14.819643,105.584,17.888351,-17.037973
