millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2
3034,158.38484,-35.570816,-4.6143355,53.1888,-63.280853,4.1417108,158.98701,3.3746336,2.3270488,-132.10286,7.910262,-1.5370288,112.97879,1.751746,-1.8388414,26.311617,-0.5463121,-3.5549164
3043,158.37675,-35.57087,-4.6121783,53.197884,-63.275345,4.1420083,158.9794,3.3816104,2.3255415,-132.0878,7.9105253,-1.5359609,112.96913,1.7574217,-1.8427255,26.305511,-0.5465309,-3.5549335
3053,158.36868,-35.57092,-4.61002,53.22016,-63.279373,4.1396384,158.97176,3.3885875,2.3240333,-132.07271,7.9107885,-1.5348928,112.96125,1.7572961,-1.8429058,26.299406,-0.5467498,-3.5549507
3064,158.36061,-35.57097,-4.607862,53.229225,-63.273865,4.1399374,158.96414,3.3955638,2.322524,-132.05737,7.913859,-1.5402005,112.96275,1.7573234,-1.8430588,26.299406,-0.5467498,-3.5549507
3075,158.35832,-35.571728,-4.6144166,53.25149,-63.277893,4.1375675,158.95769,3.4027698,2.3211155,-132.0423,7.914125,-1.5391319,112.953094,1.7629982,-1.8469441,26.293299,-0.54696864,-3.5549674
3085,158.3513,-35.573936,-4.6121845,53.25559,-63.273697,4.147116,158.95007,3.4097457,2.3196046,-132.0272,7.9143877,-1.5380633,112.94521,1.7628722,-1.8471252,26.293299,-0.54696864,-3.5549674
3096,158.34323,-35.573986,-4.6100264,53.27783,-63.277718,4.144744,158.94244,3.4167216,2.3180926,-132.00365,7.9145417,-1.5365152,112.93583,1.7627188,-1.8471527,26.28259,-0.5472044,-3.5547652
3105,158.33514,-35.574036,-4.607868,53.286858,-63.272213,4.145046,158.9351,3.4168227,2.3178618,-131.98857,7.9148035,-1.5354464,112.93733,1.7627461,-1.847306,26.276484,-0.54742324,-3.5547822
3119,158.32727,-35.568233,-4.6134048,53.30908,-63.276234,4.1426754,158.9273,3.4250631,2.3232193,-131.97348,7.9150662,-1.5343776,112.92794,1.7625927,-1.8473334,26.276484,-0.54742324,-3.5547822
3127,158.31918,-35.568287,-4.611247,53.31809,-63.27072,4.1429787,158.92085,3.43227,2.3218062,-131.95813,7.918143,-1.5396818,112.920044,1.7624665,-1.8475145,26.270376,-0.54764205,-3.5547988
3138,158.31918,-35.568287,-4.611247,53.34036,-63.275745,4.146262,158.91324,3.4392455,2.3202913,-131.94304,7.9184055,-1.5386125,112.910324,1.7720052,-1.845571,26.264269,-0.5478609,-3.5548155
3147,158.3111,-35.568336,-4.6090894,53.349354,-63.27024,4.146568,158.9056,3.4462202,2.3187757,-131.92795,7.918667,-1.5375429,112.902435,1.7718793,-1.845753,26.264269,-0.5478609,-3.5548155
3158,158.30302,-35.56838,-4.606932,53.354424,-63.270916,4.148631,158.89796,3.4531944,2.3172588,-131.91096,7.918449,-1.5365843,112.902435,1.7718793,-1.845753,26.25356,-0.54809666,-3.5546134
3172,158.29494,-35.568428,-4.6047745,53.375496,-63.26908,4.1480894,158.89034,3.4601688,2.3157415,-131.89587,7.918711,-1.5355147,112.894554,1.7717534,-1.8459343,26.247452,-0.5483154,-3.5546303
3180,158.28566,-35.5714,-4.6090946,53.38556,-63.269436,4.1465664,158.8842,3.4605029,2.3156083,-131.8808,7.9189734,-1.5344452,112.885155,1.7715999,-1.8459625,26.247452,-0.5483154,-3.5546303
3189,158.28566,-35.5714,-4.6090946,53.406666,-63.268597,4.151678,158.87656,3.467477,2.3140895,-131.8572,7.9191246,-1.5328962,112.877,1.7772993,-1.8500057,26.241524,-0.5417274,-3.5530589
3200,158.28006,-35.56484,-4.6080794,53.41671,-63.26894,4.150154,158.86893,3.4744506,2.31257,-131.84183,7.9222045,-1.5381968,112.86761,1.7771451,-1.8500338,26.235413,-0.5419462,-3.5530758
3211,158.2695,-35.571495,-4.604779,53.437744,-63.267105,4.149613,158.86111,3.482693,2.3179193,-131.82753,7.9160857,-1.5399712,112.86911,1.7771733,-1.8501879,26.235413,-0.5419462,-3.5530758
