millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2
2042,172.75322,-15.243539,-74.25118,-65.67174,48.78063,-41.08063,73.81115,15.586205,49.439114,122.9768,20.441082,-15.634203,164.81107,14.933369,75.05064,71.50622,19.965601,15.371833,115.23519,51.12983,24.770727,90.905754,52.26669,23.624823,-23.454441,27.205328,61.53455,-107.701675,46.778595,1.0175465,-91.91194,35.595573,-35.69034
2105,169.90733,-12.721663,-77.21039,-49.218674,58.14973,31.29931,70.97635,9.92647,43.259655,122.78809,13.421751,-23.299168,170.2595,13.743126,73.109055,73.489136,15.701613,7.8247485,120.27714,50.75718,32.5247,89.2934,49.280746,18.854845,-30.00921,28.782003,61.03127,-111.98442,39.712097,-7.721363,-94.25455,34.274067,-38.432808
2119,168.25134,-12.30676,-77.69014,-23.904055,35.0355,35.535805,70.14849,8.566277,41.527622,122.537735,12.416081,-24.943438,171.40654,13.338912,72.15283,73.56392,14.794328,6.160833,121.639366,50.42608,33.919613,88.387955,48.589077,17.506056,-31.179277,29.321146,60.22201,-112.56597,38.465153,-9.36963,-94.92549,34.002842,-39.02889
2133,166.83252,-11.660525,-78.315575,-81.36512,31.192701,-49.62758,69.71275,7.710323,39.901115,122.39203,11.892462,-26.257505,172.31941,12.959884,71.293594,73.525635,14.139803,4.7874656,122.679665,50.210148,34.895454,87.38385,48.11576,16.220871,-32.268158,29.887817,59.337387,-113.40046,37.24839,-10.8366785,-95.654366,33.780247,-39.567413
2214,161.95999,-10.57582,-78.82961,-27.122944,39.46819,34.69862,70.746414,8.103673,36.125195,122.996254,11.8694105,-28.950802,172.8585,13.086295,69.2285,74.262276,13.27581,1.647993,122.51225,50.984818,34.108845,85.02154,48.162334,13.952109,-34.584614,30.934097,57.841347,-116.36581,35.878323,-12.343227,-98.896355,33.272835,-42.33902
2234,161.48843,-10.699835,-78.69835,-33.658417,46.403378,34.782322,70.679504,8.375016,35.248985,123.20773,11.826196,-29.604677,172.65883,13.242685,69.04263,74.49485,13.3640585,1.1900327,122.11746,51.122196,33.54333,84.66917,48.604614,13.81326,-34.46638,30.987888,58.0045,-116.27942,36.252796,-11.75639,-99.318726,33.092728,-42.960934
2254,160.85832,-10.868014,-78.49952,-51.732655,23.892164,-59.58526,70.91072,8.057503,34.894012,123.41765,11.60555,-29.648073,172.66618,13.195983,69.19231,74.90522,13.375778,1.3191087,122.022934,50.86106,33.39213,84.85396,48.659885,14.17563,-33.98513,30.720846,58.40245,-116.035225,36.45059,-11.239997,-99.28969,32.907795,-43.152344
2273,160.77754,-11.241662,-78.1917,-83.46827,69.20957,2.2228644,71.10863,7.999078,35.104023,123.44596,11.695853,-29.137493,172.50923,13.217547,69.54792,75.196335,13.612294,1.7799629,121.8889,50.644714,33.189476,85.14152,48.8468,14.643505,-33.601498,30.688932,58.60632,-115.65418,36.947876,-10.7823,-99.01651,32.996635,-42.89356
2354,164.26535,-12.3228245,-77.577644,-27.764658,40.11451,35.203743,71.52187,9.451705,36.59727,123.78902,12.902682,-27.267498,171.45074,13.76175,70.43984,76.5328,14.761719,3.2286637,120.9653,50.466343,32.034424,86.32391,49.752213,16.1608,-33.029564,31.283213,58.45571,-114.46648,38.884975,-9.662981,-98.21238,33.64318,-42.08585
2374,164.98735,-12.513455,-77.43407,-33.24643,45.852535,35.215195,71.51123,9.691354,36.915173,123.762314,13.159581,-26.864985,171.11324,13.972658,70.55924,76.84012,15.098205,3.523985,120.79298,50.45047,31.791471,86.51106,49.97845,16.415003,-32.94535,31.378685,58.41011,-114.30631,39.180035,-9.515709,-98.005005,33.836502,-41.82345
2394,165.78015,-12.709348,-77.27177,11.782279,-3.0853736,-71.47837,71.56239,9.930902,37.192127,123.823814,13.383145,-26.55252,170.85722,14.1511545,70.61943,77.18196,15.374637,3.740951,120.6634,50.406162,31.61551,86.71892,50.137386,16.644573,-32.90999,31.51139,58.318703,-114.11843,39.484646,-9.410454,-97.85077,34.013226,-41.62518
2424,166.33823,-12.869014,-77.12587,10.140394,-9.906631,-44.66423,71.64905,10.162322,37.37689,123.87527,13.592131,-26.356302,170.62312,14.338071,70.60336,77.52749,15.618487,3.856186,120.53684,50.4222,31.44715,86.88765,50.32181,16.805513,-32.975132,31.696104,58.161396,-114.00779,39.719368,-9.387781,-97.807945,34.169422,-41.521633
2439,166.82649,-12.977505,-77.02219,10.30512,-9.772397,-46.168446,71.763626,10.380025,37.434597,123.92856,13.776754,-26.242933,170.40254,14.527011,70.551926,77.87776,15.86686,3.9236758,120.42068,50.408546,31.288992,87.04219,50.48737,16.942265,-33.01448,31.859917,58.02317,-113.87553,39.956715,-9.349839,-97.7365,34.329414,-41.40024
2516,170.05632,-12.942069,-76.984055,10.855832,-8.918247,-53.739014,71.66717,11.198725,37.811226,123.96738,14.652713,-25.572563,169.4425,15.2738285,70.428535,79.13538,16.83355,4.2837906,120.05984,50.339466,30.717953,87.58503,51.117935,17.441494,-33.13916,32.34606,57.598186,-113.60526,40.62487,-9.308926,-97.392105,34.97862,-40.807808
