millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2,L0,L1,L2
3061,95.44883,9.6002865,-67.601974,-40.26306,11.167214,-78.34171,37.386913,-8.880693,-68.23953,37.248455,-6.787648,-74.49365,-174.60901,5.3875585,-12.012389,-7.5017624,-2.650636,-73.74583,63.23635,14.440662,6.53888,5.6712103,3.5706513,-48.536274,-45.069763,-13.081826,2.178989,126.147484,-10.21342,44.098644,-41.345192,46.33945,-20.423819,-56.678967,-51.537365,15.9142275
3083,87.869545,10.501838,-67.59301,-48.312798,11.366748,-78.20964,36.111862,-8.891319,-68.136246,61.04118,60.48626,29.282677,-175.34232,5.0538597,-12.486588,-7.7111197,-2.794934,-73.985565,62.6208,13.941459,6.203186,5.1486897,3.302344,-48.78909,-45.585625,-12.801811,2.3571324,125.38943,-9.893543,44.254467,-40.52313,46.18427,-20.681786,-55.816357,-51.28266,15.934658
3098,85.99644,10.943466,-67.47838,-58.848972,11.645215,-78.01331,35.232647,-8.884552,-68.138794,47.52699,-57.55796,19.579073,-175.97891,4.806562,-12.873432,-7.9505587,-2.970533,-74.23437,62.066406,13.566036,5.9340477,4.63915,3.0475788,-49.030746,-46.10374,-12.506856,2.5280306,124.63208,-9.572675,44.36146,-39.81641,45.993397,-20.875229,-54.933094,-51.02433,15.992291
3112,84.18626,11.3817,-67.30771,-70.60433,12.003165,-77.70576,34.403557,-8.940128,-68.1671,37.896637,-62.19899,21.707533,-176.53586,4.6175566,-13.154265,-8.193901,-3.1531458,-74.461365,61.52769,13.289634,5.7021503,4.0929604,2.764001,-49.281395,-46.649,-12.173089,2.76738,123.81205,-9.231592,44.48486,-39.140133,45.824253,-20.986647,-54.075134,-50.757286,16.064785
3131,82.288414,11.786005,-67.241325,-84.22971,12.380496,-77.371185,33.46013,-9.066077,-68.26594,-6.573377,51.828655,-30.78759,-177.09645,4.404768,-13.40614,-8.45341,-3.3606193,-74.66948,60.972584,13.002385,5.4733906,3.519954,2.441501,-49.56208,-47.176807,-11.808004,3.019127,123.01591,-8.831195,44.628963,-38.39627,45.67358,-21.105042,-53.242134,-50.481262,16.12442
3149,80.34602,12.172027,-67.18727,-99.980515,12.714298,-77.08285,32.481815,-9.239268,-68.41711,53.643394,-2.7195477,-1.0774208,-177.67366,4.1607137,-13.685759,-8.732084,-3.5869546,-74.85035,60.417057,12.674112,5.176782,2.9703596,2.1217484,-49.809013,-47.68041,-11.447236,3.2151463,122.25217,-8.448784,44.730206,-37.635494,45.53833,-21.218866,-52.420246,-50.180668,16.219
3170,78.79214,12.544965,-67.062706,-116.86959,13.008303,-76.838104,31.494467,-9.417391,-68.563896,-11.679798,-32.29826,13.183359,-178.23856,3.9087439,-13.948645,-9.012056,-3.8144028,-75.00432,59.898937,12.3263445,4.8861227,2.408705,1.7939208,-50.02999,-48.186363,-11.084372,3.3766408,121.4628,-8.081476,44.77362,-36.88463,45.388855,-21.32926,-51.622295,-49.88805,16.340425
3230,77.28401,12.916746,-66.95552,-128.57425,13.283726,-76.597145,30.364786,-9.609983,-68.72093,-94.78244,-22.949177,67.04548,-178.7905,3.6561403,-14.187723,-9.308539,-4.0565977,-75.139595,59.379086,11.980127,4.6324935,1.8535316,1.4768479,-50.223785,-48.686714,-10.738931,3.527115,120.69181,-7.741977,44.80313,-36.154583,45.24196,-21.438566,-50.812607,-49.606655,16.474682
3246,75.744484,13.247331,-66.930916,-138.17677,13.574443,-76.33973,29.206564,-9.792615,-68.85849,44.244225,28.043522,22.570133,-179.33803,3.38852,-14.410363,-9.620477,-4.303653,-75.23128,58.842186,11.621196,4.4137974,1.3079371,1.1772211,-50.39978,-49.20048,-10.392199,3.6913881,119.91226,-7.418075,44.81618,-35.447765,45.10714,-21.556005,-49.998318,-49.317757,16.630808
3259,74.032845,13.568653,-66.99722,-146.0735,13.823847,-76.11895,28.025768,-9.994039,-68.96724,-33.649918,-17.030941,72.24722,-179.88005,3.1132004,-14.62417,-9.953571,-4.561559,-75.280876,58.322483,11.277471,4.1840534,0.7515593,0.83155656,-50.56566,-49.70877,-10.063926,3.8289208,119.14617,-7.083896,44.822025,-34.79249,44.96006,-21.69676,-49.193623,-49.042706,16.80799
3284,72.05825,13.888798,-67.09766,-153.00076,14.019184,-75.95006,26.872896,-10.19262,-69.03307,20.924759,41.971214,-47.950954,179.57062,2.8351562,-14.835483,-10.250608,-4.7868476,-75.331024,57.805145,10.913496,3.932045,0.20083906,0.50705093,-50.669987,-50.210762,-9.763667,3.8996217,118.363716,-6.8072147,44.75198,-34.149525,44.799522,-21.858385,-48.43124,-48.79072,16.973461
