millis,A0,A1,A2,B0,B1,B2
2104,-164.46263,3.0017745,5.745605,2.446048,26.930983,0.23449038
2105,-164.46245,2.99486,5.744668,2.8785837,27.511118,-0.2534508
2114,-164.46245,2.99486,5.744668,2.958477,27.072866,-0.66774505
2125,-164.46245,2.99486,5.744668,2.0122104,25.652788,-1.0072044
2137,-164.44911,3.0090497,5.7402635,1.0536621,24.450947,-0.36467463
2152,-164.4926,2.982636,5.7916336,0.4295695,24.166971,0.54168874
2156,-164.47264,3.017187,5.7901692,0.06088237,24.618475,1.6157565
2170,-164.32228,3.1220613,5.8452935,0.15778732,25.545368,2.7220886
2176,-164.14331,3.3082216,5.8633647,0.5935792,26.320415,3.5232942
2185,-164.02673,3.4492552,5.8734326,0.96506184,26.618681,4.569961
2196,-164.0274,3.4996245,5.866326,1.0352677,26.363369,5.4880476
2205,-164.09297,3.5572028,5.879044,0.9076725,25.52269,6.4680905
2215,-164.15187,3.5859377,5.895357,0.6082137,24.403477,7.558269
2225,-164.15984,3.6060581,5.9049606,-0.525284,23.027546,7.302849
2234,-164.15964,3.6218717,5.893033,-1.0208663,20.625137,8.443354
2246,-164.15256,3.5681293,5.921115,0.13037921,19.218603,8.359636
2260,-164.20776,3.5353673,5.921176,0.9984544,18.937267,8.13251
2265,-164.20808,3.5946217,5.901104,1.32977,18.678146,7.795938
2275,-164.1967,3.7292771,5.892204,2.2459748,18.080843,7.911109
2285,-164.23303,3.7302258,5.898235,2.4507315,18.310217,7.985313
2295,-164.24782,3.7221081,5.9107685,2.5428617,18.522524,8.113198
2305,-164.248,3.7290182,5.9117146,2.9464345,18.446201,8.131871
2315,-164.24773,3.7300105,5.9047976,3.2366302,18.491837,7.6664295
2325,-164.24745,3.7310033,5.897881,3.195332,18.42875,6.8674855
2337,-164.24652,3.730829,5.8974934,3.1059153,18.334917,5.9542556
2345,-164.24652,3.730829,5.8974934,3.0058818,18.166609,5.0099025
2357,-164.24634,3.7239192,5.896548,2.8983433,17.991478,4.0869403
2371,-164.25356,3.7243078,5.8963704,2.8649662,17.762295,3.281464
2376,-164.26077,3.7246966,5.8961935,2.829687,17.636536,2.6919005
2385,-164.26799,3.7250853,5.8960176,2.9674897,17.40863,2.2602236
2396,-164.26784,3.7181752,5.8950725,5.206899,16.049707,3.004983
2406,-164.21915,3.764991,5.896411,6.818058,16.216167,3.4335754
2415,-164.15063,3.8749933,5.893453,7.027654,15.921587,3.4383335
2426,-164.17438,4.0400567,5.880154,7.1083155,15.306667,3.802355
2435,-164.22693,4.0950713,5.9070973,7.2565155,14.85516,4.4032874
2445,-164.23915,3.9811385,5.9188523,7.3579803,14.332943,4.730392
2455,-164.18858,3.9746666,5.898891,7.4155912,14.036931,4.7964964
2465,-164.18854,4.0566506,5.8678274,7.4145174,13.983377,5.0194077
2475,-164.18204,4.046356,5.8878226,7.470969,14.442483,5.509794
2488,-164.19768,3.9907951,5.9361215,7.712022,15.879377,6.1697702
2501,-164.19728,4.0145144,5.918218,8.584682,18.381685,6.6755214
2505,-164.18936,4.0092096,5.9036326,10.465331,21.977598,6.9243355
2515,-164.19698,4.000697,5.916322,13.034249,26.74331,7.003687
2525,-164.20474,3.9990947,5.9299607,16.134626,32.22534,7.123142
2536,-164.20493,4.0060034,5.930908,19.510254,37.583412,7.764576
2546,-164.20422,4.015905,5.9111085,22.519812,42.241104,8.952665
2555,-164.16956,4.064493,5.905283,24.818548,45.563343,10.609501
2565,-164.14763,4.0643167,5.8989587,24.646338,45.91769,12.369212
2575,-164.1544,4.058801,5.8908963,22.532005,42.59265,13.600218
2585,-164.16147,4.0374675,5.894766,23.337984,39.74369,14.635325
2596,-164.16147,4.0374675,5.894766,29.190056,40.035603,16.333557
2605,-164.15454,4.0360756,5.901877,37.786102,43.351425,17.784077
2615,-164.14,4.0728354,5.8862762,41.827557,43.678127,17.599716
2625,-164.13191,4.07545,5.8657293,40.977856,40.654938,17.200577
