millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
9839,-129.31201,-22.823431,-18.244446,-80.37264,-70.56285,-17.55287,-90.51468,49.074913,-3.1823413,-88.76159,-8.691794,0.74930173
9850,-129.35118,-22.839558,-18.232819,-80.3702,-70.57827,-17.537481,-90.51843,49.063667,-3.1846678,-88.751724,-8.691447,0.74889886
9858,-129.39436,-22.846504,-18.22513,-80.374275,-70.59823,-17.518288,-90.52219,49.052418,-3.186996,-88.7424,-8.681643,0.7482723
9869,-129.44368,-22.857656,-18.208637,-80.39004,-70.612656,-17.500156,-90.52219,49.052418,-3.186996,-88.7424,-8.681643,0.7482723
9879,-129.48558,-22.867825,-18.194609,-80.38755,-70.62807,-17.48478,-90.52595,49.041176,-3.189324,-88.73242,-8.676716,0.74265456
9888,-129.52597,-22.880693,-18.189276,-80.39157,-70.64804,-17.465591,-90.529686,49.034313,-3.1959727,-88.73242,-8.676716,0.74265456
9898,-129.56578,-22.890148,-18.173681,-80.39453,-70.66281,-17.451479,-90.533485,49.02532,-3.1963148,-88.722435,-8.671788,0.7370375
9911,-129.61708,-22.901953,-18.158714,-80.39918,-70.68337,-17.42975,-90.53724,49.014072,-3.1986392,-88.71257,-8.671442,0.7366361
9918,-129.65817,-22.908163,-18.14944,-80.39559,-70.6936,-17.41945,-90.54098,49.0072,-3.205286,-88.71245,-8.666861,0.73142123
9928,-129.69724,-22.924229,-18.137747,-80.400215,-70.71417,-17.397722,-90.54472,48.99596,-3.2076097,-88.70258,-8.666513,0.7310204
9938,-129.74979,-22.932795,-18.129087,-80.40314,-70.72895,-17.383621,-90.539345,48.985123,-3.2058194,-88.70247,-8.66193,0.72580576
9953,-129.78955,-22.9422,-18.113468,-80.41975,-70.748604,-17.360415,-90.54309,48.97388,-3.2081416,-88.69247,-8.657001,0.72019124
9959,-129.82857,-22.958248,-18.101751,-80.416115,-70.75884,-17.350126,-90.54683,48.967014,-3.2147875,-88.6826,-8.656653,0.7197912
9969,-129.87166,-22.965134,-18.093998,-80.42004,-70.778824,-17.330963,-90.55062,48.95802,-3.2151272,-88.68247,-8.652069,0.7145773
9978,-129.91267,-22.971302,-18.084702,-80.42353,-70.794205,-17.31431,-90.554375,48.94677,-3.217447,-88.672615,-8.651722,0.71417785
9989,-129.95442,-22.981382,-18.070608,-80.41988,-70.80445,-17.304024,-90.5581,48.9399,-3.2240927,-88.672485,-8.647135,0.7089642
9998,-129.99619,-22.991451,-18.056507,-80.424385,-70.825035,-17.282312,-90.558075,48.933277,-3.2217462,-88.6625,-8.647189,0.70821774
10028,-130.03922,-22.998312,-18.048742,-80.432686,-70.83436,-17.270535,-90.561844,48.928654,-3.2264109,-88.65263,-8.641855,0.7029534
10030,-130.0802,-23.004454,-18.039425,-80.436134,-70.84975,-17.25389,-90.56559,48.91741,-3.2287292,-88.652504,-8.637266,0.69774044
10039,-130.17433,-23.023003,-18.016594,-80.448814,-70.87967,-17.220398,-90.5731,48.901546,-3.2357109,-88.64251,-8.632332,0.6921297
10051,-130.21527,-23.029121,-18.007265,-80.45158,-70.89448,-17.206314,-90.57684,48.890297,-3.2380276,-88.632645,-8.631985,0.69173217
10058,-130.25824,-23.035954,-17.99948,-80.45537,-70.91449,-17.187174,-90.58975,48.885258,-3.2467973,-88.63252,-8.627395,0.68651974
10069,-130.29991,-23.04597,-17.985344,-80.45224,-70.92534,-17.174337,-90.58976,48.880882,-3.242471,-88.62266,-8.627048,0.6861227
10080,-130.34082,-23.052069,-17.976007,-80.45499,-70.940155,-17.160263,-90.59348,48.874012,-3.2491138,-88.622536,-8.627445,0.68577504
10088,-130.39317,-23.06054,-17.96726,-80.458725,-70.96016,-17.141134,-90.59723,48.862755,-3.251425,-88.61332,-8.617236,0.6855116
10099,-130.43611,-23.067348,-17.959454,-80.455574,-70.97102,-17.128298,-90.60099,48.85814,-3.256091,-88.603325,-8.617287,0.6847678
10108,-130.47699,-23.073435,-17.950108,-80.470146,-70.984924,-17.112713,-90.60473,48.84689,-3.2584035,-88.60321,-8.617683,0.68442047
10121,-130.51991,-23.080235,-17.942293,-80.46797,-71.00099,-17.094822,-90.6047,48.840267,-3.25605,-88.59333,-8.612349,0.6791608
10129,-130.57352,-23.085505,-17.939875,-80.464165,-71.01126,-17.08456,-90.60847,48.83564,-3.2607145,-88.5932,-8.612745,0.6788134
10138,-130.61436,-23.091568,-17.930515,-80.46683,-71.02609,-17.070496,-90.6122,48.82439,-3.2630239,-88.583336,-8.612397,0.6784173
10148,-130.65724,-23.098356,-17.92269,-80.46299,-71.03636,-17.06024,-90.615906,48.817513,-3.2696636,-88.57335,-8.612448,0.677674
10160,-130.71083,-23.103624,-17.920258,-80.46664,-71.0564,-17.041128,-90.6197,48.808517,-3.2700012,-88.57335,-8.607457,0.6728116
10171,-130.75165,-23.10967,-17.910889,-80.46278,-71.06668,-17.030876,-90.61967,48.801895,-3.2676432,-88.563354,-8.607506,0.6720686
10178,-130.79852,-23.10731,-17.907095,-80.46541,-71.08151,-17.016825,-90.62343,48.797268,-3.2723098,-88.563225,-8.607902,0.6717209
10188,-130.83931,-23.113344,-17.897726,-80.46254,-71.09699,-17.001526,-90.62717,48.786022,-3.2746158,-88.554016,-8.597693,0.671464
10198,-130.89285,-23.118603,-17.895279,-80.46514,-71.11183,-16.987482,-90.62714,48.7794,-3.272258,-88.54402,-8.597743,0.67072195
10209,-130.93567,-23.12536,-17.887434,-80.46124,-71.122116,-16.977234,-90.6309,48.774773,-3.2769244,-88.54402,-8.597743,0.67072195
10219,-130.98045,-23.12225,-17.882107,-80.452065,-71.13785,-16.964739,-90.63463,48.763527,-3.2792299,-88.534035,-8.597792,0.66997975
10229,-131.03395,-23.127499,-17.879652,-80.44917,-71.153336,-16.949453,-90.63463,48.763527,-3.2792299,-88.5339,-8.593194,0.6647716
10238,-131.07738,-23.12753,-17.867975,-80.44464,-71.16303,-16.9418,-90.63836,48.75227,-3.281533,-88.52402,-8.592847,0.6643772
10248,-131.12148,-23.131124,-17.866476,-80.448204,-71.183075,-16.922726,-90.64209,48.741024,-3.283838,-88.51403,-8.592895,0.66363543
10258,-131.17764,-23.130379,-17.86172,-80.44004,-71.20401,-16.905207,-90.64209,48.741024,-3.283838,-88.514015,-8.587902,0.65877545
10268,-131.21967,-23.13323,-17.85869,-80.43612,-71.214294,-16.894985,-90.64582,48.729774,-3.2861397,-88.50402,-8.587948,0.65803415
10282,-131.2758,-23.132483,-17.853937,-80.432556,-71.229195,-16.882305,-90.64952,48.7229,-3.2927747,-88.504005,-8.582955,0.65317446
10288,-131.31781,-23.135328,-17.850903,-80.43508,-71.24404,-16.86829,-90.649536,48.71853,-3.288443,-88.49402,-8.583002,0.6524337
10298,-131.37123,-23.140556,-17.848433,-80.419815,-71.25981,-16.85718,-90.65325,48.71165,-3.2950757,-88.49401,-8.578009,0.64757437
10308,-131.4159,-23.137411,-17.843115,-80.416885,-71.275314,-16.841934,-90.65702,48.70264,-3.29541,-88.48402,-8.578053,0.64683384
10318,-131.46928,-23.142637,-17.840641,-80.40709,-71.29043,-16.832083,-90.6699,48.69759,-3.304168,-88.48399,-8.573059,0.6419749
10340,-131.5133,-23.146225,-17.839127,-80.403496,-71.30532,-16.819435,-90.66988,48.690964,-3.3017998,-88.474,-8.573106,0.64123493
10341,-131.55794,-23.143064,-17.833817,-80.38891,-71.32167,-16.80577,-90.67363,48.686337,-3.3064675,-88.474,-8.573106,0.64123493
10348,-131.6113,-23.148289,-17.83133,-80.39177,-71.34112,-16.78934,-90.6736,48.679714,-3.3040993,-88.464,-8.568156,0.6356368
10359,-131.65665,-23.148748,-17.836174,-80.37655,-71.35686,-16.778282,-90.67736,48.675083,-3.3087652,-88.464,-8.568156,0.6356368
10368,-131.71059,-23.147223,-17.8299,-80.380035,-71.37691,-16.759275,-90.6773,48.672836,-3.310728,-88.45399,-8.568203,0.63489723
10379,-131.75456,-23.150803,-17.828379,-80.37541,-71.3866,-16.751688,-90.68107,48.663837,-3.311061,-88.444115,-8.562859,0.6296481
10388,-131.79912,-23.147629,-17.823074,-80.36083,-71.40293,-16.738066,-90.68479,48.65258,-3.3133588,-88.44398,-8.56325,0.62930024
