millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2
4066,-27.662142,-3.7611382,-40.75058,-162.9541,-16.885143,-21.960995,-4.0724654,2.053193,11.359978,-170.84113,12.492147,-18.747229,100.62379,1.6666062,1.3615373,-18.717062,1.4880855,-3.8551092,-5.0587764,-12.305558,8.132645
4077,-27.648357,-3.761998,-40.74828,-162.93251,-16.88776,-21.96589,-4.0717707,2.0462382,11.360242,-170.83342,12.493458,-18.753164,100.61476,1.6721182,1.3569359,-18.7236,1.4878386,-3.8551614,-5.0299654,-12.314671,8.129955
4089,-27.6339,-3.7591813,-40.75651,-162.91608,-16.892836,-21.961708,-4.078709,2.046926,11.360089,-170.82085,12.488856,-18.752096,100.60498,1.6765822,1.3621829,-18.730139,1.4875915,-3.8552122,-5.0077677,-12.330154,8.128243
4102,-27.625957,-3.7623243,-40.7532,-162.90184,-16.890417,-21.964941,-4.0856485,2.0476143,11.359938,-170.81386,12.489981,-18.751211,100.595955,1.6820935,1.35758,-18.736675,1.4873445,-3.8552637,-4.9860387,-12.3387165,8.12628
4113,-27.61652,-3.764071,-40.753117,-162.87766,-16.893938,-21.96164,-4.0856485,2.0476143,11.359938,-170.79985,12.492231,-18.749441,100.58693,1.6876044,1.3529762,-18.743471,1.4882461,-3.8484187,-4.9647164,-12.354659,8.117625
4126,-27.602745,-3.7649317,-40.75082,-162.86378,-16.89811,-21.96566,-4.092587,2.0483024,11.359786,-170.78726,12.487629,-18.748373,100.57799,1.6877341,1.3528417,-18.753363,1.4880505,-3.8487167,-4.935898,-12.363767,8.114917
4139,-27.59106,-3.7603645,-40.752846,-162.8396,-16.90163,-21.962364,-4.10028,2.0491376,11.36032,-170.78026,12.488752,-18.74749,100.577896,1.6975814,1.3537484,-18.753363,1.4880505,-3.8487167,-4.913694,-12.379247,8.113181
4150,-27.583128,-3.7635095,-40.749527,-162.82278,-16.90012,-21.957397,-4.107221,2.0500426,11.367124,-170.76628,12.491003,-18.745718,100.56886,1.7030913,1.3491422,-18.759897,1.4878038,-3.8487685,-4.8928375,-12.388261,8.104272
4164,-27.568663,-3.7606862,-40.75776,-162.8076,-16.905897,-21.95468,-4.107221,2.0500426,11.367124,-170.75856,12.492318,-18.751654,100.55983,1.7086004,1.344535,-18.76664,1.4806633,-3.847682,-4.870631,-12.403739,8.102525
4175,-27.557667,-3.7598035,-40.74925,-162.78471,-16.90781,-21.958126,-4.11416,2.0507314,11.366972,-170.74597,12.487714,-18.75059,100.55006,1.708597,1.3444023,-18.772966,1.4873106,-3.8488712,-4.8488936,-12.412295,8.100539
4186,-27.55129,-3.7655787,-40.754368,-162.7695,-16.913591,-21.955412,-4.1210995,2.05142,11.366818,-170.73244,12.490767,-18.749876,100.54102,1.7141049,1.3397938,-18.779503,1.4870639,-3.8489225,-4.8204756,-12.428768,8.091109
