millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2
2007,-173.12585,4.7355075,-77.98064,-174.6068,8.77935,-78.076294,-46.75771,-1.7551959,34.66476,100.67834,2.905191,27.040604,116.145325,-15.528314,3.926596,48.135136,-39.393192,12.305351
2047,-170.89088,8.184269,-79.592606,-169.7219,10.763968,-79.13125,-48.872707,-1.6783752,34.368713,119.42997,3.0492477,26.906225,116.623405,-15.708942,3.5039306,54.577274,-39.699524,12.483892
2057,-170.90375,8.157744,-79.58409,-169.73747,10.755584,-79.13484,-48.871548,-1.6634392,34.368755,119.481316,3.037459,26.907393,116.623405,-15.708942,3.5039306,54.594482,-39.704144,12.481662
2092,-170.9488,8.076041,-79.60659,-169.7755,10.743598,-79.13008,-48.870327,-1.6346852,34.351994,120.939926,2.964442,26.930555,116.621994,-15.711208,3.513418,54.624756,-39.65517,12.4811325
2111,-170.95901,8.057013,-79.610275,-169.7834,10.739531,-79.13078,-48.867832,-1.6256726,34.355,121.00304,2.9616122,26.936012,116.621994,-15.711208,3.513418,54.6341,-39.63455,12.477563
2129,-170.96848,8.037548,-79.619675,-169.79091,10.7349,-79.133385,-48.87167,-1.6287621,34.34902,121.05399,2.9532387,26.94275,116.62059,-15.713474,3.5229046,54.65103,-39.62472,12.476035
2139,-170.99097,8.010631,-79.63444,-169.80348,10.725658,-79.139854,-48.869167,-1.6197494,34.352028,121.10374,2.9321249,26.941513,116.62059,-15.713474,3.5229046,54.676575,-39.63186,12.473347
2146,-171.02257,7.9819074,-79.64463,-169.82607,10.7079115,-79.15457,-48.877686,-1.6139174,34.359077,121.165955,2.9199808,26.94475,116.62059,-15.713474,3.5229046,54.69777,-39.647274,12.475633
2153,-171.05565,7.9546432,-79.660324,-169.85391,10.686265,-79.17351,-48.872513,-1.6167505,34.36803,121.21535,2.9189312,26.937233,116.63183,-15.701666,3.514462,54.710354,-39.645714,12.479082
2159,-171.08725,7.926333,-79.68184,-169.88101,10.6634035,-79.19411,-48.87774,-1.6277324,34.375885,121.285736,2.9338548,26.93615,116.64489,-15.683958,3.5024917,54.718895,-39.63336,12.4780245
2168,-171.11565,7.9048653,-79.710686,-169.89491,10.647336,-79.21127,-48.882004,-1.6467092,34.377995,121.35166,2.8964202,26.927588,116.65837,-15.662622,3.4964833,54.7358,-39.623528,12.476505
2174,-171.13232,7.90098,-79.73048,-169.91278,10.626162,-79.234665,-48.891087,-1.6607829,34.37986,121.397606,2.829801,26.930307,116.67002,-15.647178,3.494006,54.746166,-39.609066,12.469772
2188,-171.15582,7.8934264,-79.74508,-169.92638,10.6113405,-79.2507,-48.89419,-1.6648223,34.382004,121.458405,2.800017,26.944155,116.67184,-15.641279,3.4904776,54.770638,-39.610027,12.47028
2195,-171.17317,7.889568,-79.74752,-169.94093,10.59772,-79.26489,-48.89692,-1.6667885,34.39286,121.51937,2.8221414,26.938469,116.67002,-15.647178,3.494006,54.783195,-39.60847,12.473737
