millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
1997,-38.89072,-2.1993587,-3.562108,130.3085,-1.1289322,-3.2849982,-17.275106,-0.6975682,1.0894006,-13.415752,9.276703,-0.23872569,180.0,0.0,90.0,-82.89142,-33.469078,56.50453,18.064867,6.452276,-2.9336205,129.05716,-3.7498138,1.3492385,-115.9362,1.8209903,-2.9609807,164.1756,6.202022,3.2118797
2015,-38.89072,-2.1993587,-3.562108,130.3085,-1.1289322,-3.2849982,-17.272001,-0.697536,1.0893285,-13.415752,9.276703,-0.23872569,180.0,0.0,90.0,-82.92229,-33.171474,56.037594,18.064867,6.452276,-2.9336205,129.05716,-3.7498138,1.3492385,-115.936104,1.8269185,-2.9572651,164.17593,6.201095,3.2049663
2030,-38.890526,-2.1927655,-3.564444,130.3085,-1.1289322,-3.2849982,-17.271946,-0.7044503,1.0903782,-13.415752,9.276703,-0.23872569,180.0,0.0,90.0,-82.916695,-32.40381,54.44268,18.064867,6.452276,-2.9336205,129.04851,-3.7496412,1.3494099,-115.936104,1.8269185,-2.9572651,164.17593,6.201095,3.2049663
2081,-38.890797,-2.1904457,-3.5578563,130.3085,-1.1289322,-3.2849982,-17.272001,-0.697536,1.0893285,-13.415752,9.276703,-0.23872569,180.0,0.0,90.0,-82.89599,-32.893425,54.926697,18.06464,6.445377,-2.9347231,129.04851,-3.7496412,1.3494099,-115.936104,1.8306245,-2.963187,164.17552,6.2080145,3.2039974
2096,-38.890797,-2.1904457,-3.5578563,130.3085,-1.1289322,-3.2849982,-17.271946,-0.7044503,1.0903782,-13.415703,9.269779,-0.23792294,180.0,0.0,90.0,-82.93529,-33.440666,56.462826,18.06464,6.445377,-2.9347231,129.04851,-3.7496412,1.3494099,-115.936104,1.8306245,-2.963187,164.17552,6.2080145,3.2039974
2114,-38.890797,-2.1904457,-3.5578563,130.3085,-1.1289322,-3.2849982,-17.271946,-0.7044503,1.0903782,-13.415703,9.269779,-0.23792294,180.0,0.0,90.0,-82.95448,-33.432396,56.56107,18.064867,6.452276,-2.9336205,129.04889,-3.7433312,1.3464116,-115.936104,1.8269185,-2.9572651,164.17552,6.2080145,3.2039974
2126,-38.890987,-2.197039,-3.55552,130.30861,-1.122588,-3.2879415,-17.271946,-0.7044503,1.0903782,-13.415703,9.269779,-0.23792294,-3.1355588,-60.270325,24.791056,-82.92157,-33.08928,55.84727,18.061378,6.44496,-2.9346082,129.04904,-3.7403233,1.3527257,-115.93457,1.8208002,-2.960887,164.17552,6.2080145,3.2039974
2184,-38.890797,-2.1904457,-3.5578563,130.30861,-1.122588,-3.2879415,-17.272001,-0.697536,1.0893285,-13.415703,9.269779,-0.23792294,-48.107834,72.521484,17.2845,-82.62928,31.439363,-54.44317,18.06464,6.445377,-2.9347231,129.04904,-3.7403233,1.3527257,-115.9362,1.8246965,-2.9669032,164.17552,6.2080145,3.2039974
2203,-38.890797,-2.1904457,-3.5578563,130.30861,-1.122588,-3.2879415,-17.271946,-0.7044503,1.0903782,-13.415703,9.269779,-0.23792294,-32.147175,19.769548,-53.635117,-82.63247,31.797173,-55.261166,18.06464,6.445377,-2.9347231,129.04904,-3.7403233,1.3527257,-115.93457,1.8245059,-2.9668088,164.17552,6.2080145,3.2039974
2223,-38.890797,-2.1904457,-3.5578563,130.30861,-1.122588,-3.2879415,-17.272001,-0.697536,1.0893285,-13.415703,9.269779,-0.23792294,-27.98382,13.087894,-47.1768,-82.98229,-31.753326,53.115383,18.061178,6.443898,-2.927715,129.04904,-3.7403233,1.3527257,-115.93457,1.8208002,-2.960887,164.17552,6.2080145,3.2039974
2242,-38.890797,-2.1904457,-3.5578563,130.30861,-1.122588,-3.2879415,-17.272001,-0.697536,1.0893285,-13.415703,9.269779,-0.23792294,40.10016,-54.020576,20.729565,-82.973625,-31.872736,53.32968,18.061178,6.443898,-2.927715,129.04904,-3.7403233,1.3527257,-115.93457,1.8245059,-2.9668088,164.17552,6.2080145,3.2039974
2304,-38.890797,-2.1904457,-3.5578563,130.30002,-1.125678,-3.2941358,-17.271946,-0.7044503,1.0903782,-13.415703,9.269779,-0.23792294,-5.6617074,-18.09892,-71.50605,-82.55962,31.133505,-53.677444,18.061178,6.443898,-2.927715,129.04904,-3.7403233,1.3527257,-115.93457,1.8245059,-2.9668088,164.17552,6.2080145,3.2039974
2323,-38.890797,-2.1904457,-3.5578563,130.30002,-1.125678,-3.2941358,-17.272001,-0.697536,1.0893285,-13.415703,9.269779,-0.23792294,51.69879,68.94764,12.902536,-82.92673,-31.930702,53.36608,18.061178,6.443898,-2.927715,129.04889,-3.7433312,1.3464116,-115.93449,1.8304338,-2.9630935,164.17593,6.201095,3.2049663
2342,-38.890797,-2.1904457,-3.5578563,130.30002,-1.125678,-3.2941358,-17.272001,-0.697536,1.0893285,-13.415703,9.269779,-0.23792294,50.079746,-40.969933,-29.025663,-82.92912,-32.78728,55.126537,18.061178,6.443898,-2.927715,129.04889,-3.7433312,1.3464116,-115.93457,1.8245059,-2.9668088,164.17593,6.201095,3.2049663
2362,-38.890987,-2.197039,-3.55552,130.30861,-1.1255243,-3.2942824,-17.272089,-0.6985873,1.0824139,-13.415703,9.269779,-0.23792294,73.00868,-12.170066,-55.083805,-82.871185,-32.4266,54.35233,18.061178,6.443898,-2.927715,129.04889,-3.7433312,1.3464116,-115.93457,1.8245059,-2.9668088,164.17552,6.2080145,3.2039974
2423,-38.890987,-2.197039,-3.55552,130.30002,-1.125678,-3.2941358,-17.272089,-0.6985873,1.0824139,-13.415752,9.276703,-0.23872569,67.41999,-58.83075,-29.004925,-82.91472,-31.642025,52.767143,18.054594,6.4437804,-2.9281318,129.04851,-3.7496412,1.3494099,-115.93449,1.8304338,-2.9630935,164.17552,6.2080145,3.2039974
2449,-38.890987,-2.197039,-3.55552,130.29991,-1.1320219,-3.2911916,-17.272089,-0.6985873,1.0824139,-13.425035,9.277183,-0.23936556,3.7885072,-48.420944,17.899183,-82.900665,-32.408413,54.355576,18.054594,6.4437804,-2.9281318,129.04851,-3.7496412,1.3494099,-115.93457,1.8245059,-2.9668088,164.17552,6.2080145,3.2039974
2462,-38.890987,-2.197039,-3.55552,130.29991,-1.1320219,-3.2911916,-17.272089,-0.6985873,1.0824139,-13.424505,9.276376,-0.24629071,37.83109,-48.71933,18.689684,-82.60054,32.015266,-55.807476,18.054594,6.4437804,-2.9281318,129.03986,-3.7494678,1.3495811,-115.93457,1.8245059,-2.9668088,164.17593,6.201095,3.2049663
2523,-38.902584,-2.1973977,-3.555481,130.29991,-1.1320219,-3.2911916,-17.275192,-0.69861966,1.0824857,-13.417733,9.28338,-0.2465334,50.964115,-5.9478793,47.07386,-82.684204,32.549484,-57.42575,18.054594,6.4437804,-2.9281318,129.03986,-3.7494678,1.3495811,-115.93457,1.8208002,-2.960887,164.17552,6.2080145,3.2039974
2545,-38.902584,-2.1973977,-3.555481,130.29991,-1.1320219,-3.2911916,-17.272089,-0.6985873,1.0824139,-13.418265,9.284188,-0.23960823,19.181429,54.496845,-35.318233,-82.68431,32.04438,-56.34105,18.054821,6.45068,-2.9270296,129.04851,-3.7496412,1.3494099,-115.93457,1.8208002,-2.960887,164.17593,6.201095,3.2049663
2562,-38.90239,-2.1908042,-3.5578175,130.29991,-1.1320219,-3.2911916,-17.275192,-0.69861966,1.0824857,-13.418214,9.277263,-0.23880535,61.587658,-63.62019,-26.337694,-82.66135,28.831871,-49.62935,18.054821,6.45068,-2.9270296,129.04851,-3.7496412,1.3494099,-115.93457,1.8208002,-2.960887,164.17593,6.201095,3.2049663
2581,-38.90239,-2.1908042,-3.5578175,130.29991,-1.1320219,-3.2911916,-17.275192,-0.69861966,1.0824857,-13.418214,9.277263,-0.23880535,50.743332,62.454193,24.487356,-82.66737,24.901115,-42.10404,18.054594,6.4437804,-2.9281318,129.04851,-3.7496412,1.3494099,-115.93457,1.8208002,-2.960887,164.17593,6.201095,3.2049663
2644,-38.90239,-2.1908042,-3.5578175,130.30002,-1.125678,-3.2941358,-17.275137,-0.70553434,1.0835357,-13.424505,9.276376,-0.24629071,65.99032,67.3329,22.317099,-82.71028,25.145325,-42.647064,18.055021,6.4517417,-2.9339225,129.04851,-3.7496412,1.3494099,-115.94384,1.8244113,-2.9669995,164.17593,6.201095,3.2049663
2663,-38.902584,-2.1973977,-3.555481,130.30002,-1.125678,-3.2941358,-17.275192,-0.69861966,1.0824857,-13.424505,9.276376,-0.24629071,50.58154,-8.784657,-33.44636,-82.67204,25.351532,-43.02917,18.055021,6.4517417,-2.9339225,129.03986,-3.7494678,1.3495811,-115.94384,1.8244113,-2.9669995,164.17593,6.201095,3.2049663
2683,-38.902584,-2.1973977,-3.555481,130.30002,-1.125678,-3.2941358,-17.272089,-0.6985873,1.0824139,-13.425035,9.277183,-0.23936556,76.080956,-49.639668,-40.007137,-82.707085,22.560528,-38.01555,18.055021,6.4517417,-2.9339225,129.04851,-3.7496412,1.3494099,-115.94384,1.8244113,-2.9669995,164.1756,6.202022,3.2118797
2702,-38.902584,-2.1973977,-3.555481,130.30002,-1.125678,-3.2941358,-17.272089,-0.6985873,1.0824139,-13.424505,9.276376,-0.24629071,25.297417,13.105556,70.89707,-82.73206,15.419684,-25.95426,18.055021,6.4517417,-2.9339225,129.04889,-3.7433312,1.3464116,-115.94384,1.8244113,-2.9669995,164.1747,6.201621,3.2117379
2763,-38.902584,-2.1973977,-3.555481,130.30002,-1.125678,-3.2941358,-17.275137,-0.70553434,1.0835357,-13.424505,9.276376,-0.24629071,-45.353954,82.71428,1.7091506,-82.80859,-10.022012,13.818535,18.054821,6.45068,-2.9270296,129.04851,-3.7496412,1.3494099,-115.94384,1.820706,-2.961077,164.1756,6.202022,3.2118797
2782,-38.902584,-2.1973977,-3.555481,130.30003,-1.1286144,-3.300476,-17.27505,-0.70448285,1.0904505,-13.424555,9.2833,-0.24709393,-18.624908,47.604176,10.386684,-82.79994,-21.291689,32.14492,18.054821,6.45068,-2.9270296,129.04851,-3.7496412,1.3494099,-115.94384,1.8244113,-2.9669995,164.1756,6.202022,3.2118797
2802,-38.902584,-2.1973977,-3.555481,130.30002,-1.125678,-3.2941358,-17.27505,-0.70448285,1.0904505,-13.424555,9.2833,-0.24709393,-42.740032,54.608757,-23.648094,-82.8035,-24.27859,37.405872,18.05505,6.45758,-2.9259276,129.04889,-3.7433312,1.3464116,-115.94384,1.8244113,-2.9669995,164.1756,6.202022,3.2118797
2863,-38.902584,-2.1973977,-3.555481,130.30013,-1.1222706,-3.30342,-17.275106,-0.6975682,1.0894006,-13.424555,9.2833,-0.24709393,-110.574,-17.25631,58.109882,-82.87106,-27.429243,43.292683,18.054821,6.45068,-2.9270296,129.04889,-3.7433312,1.3464116,-115.94384,1.8244113,-2.9669995,164.1756,6.202022,3.2118797
2882,-38.902775,-2.203991,-3.5531445,130.30013,-1.1222706,-3.30342,-17.275106,-0.6975682,1.0894006,-13.424555,9.2833,-0.24709393,2.1601722,43.836613,46.155434,-82.811325,-30.620916,49.64225,18.054821,6.45068,-2.9270296,129.04025,-3.7431588,1.3465827,-115.94384,1.8244113,-2.9669995,164.1756,6.202022,3.2118797
2902,-38.902584,-2.1973977,-3.555481,130.30013,-1.1222706,-3.30342,-17.275106,-0.6975682,1.0894006,-13.424505,9.276376,-0.24629071,5.853098,-10.564311,78.45331,-82.855804,-31.37088,51.35112,18.054821,6.45068,-2.9270296,129.04025,-3.7431588,1.3465827,-115.94384,1.8244113,-2.9669995,164.1756,6.202022,3.2118797
2922,-38.902775,-2.203991,-3.5531445,130.30013,-1.1222706,-3.30342,-17.275106,-0.6975682,1.0894006,-13.424555,9.2833,-0.24709393,14.758758,-30.180292,-56.002274,-82.88838,-33.41085,56.23783,18.054821,6.45068,-2.9270296,129.04025,-3.7431588,1.3465827,-115.94384,1.8244113,-2.9669995,164.1756,6.202022,3.2118797
2983,-38.902584,-2.1973977,-3.555481,130.30003,-1.1286144,-3.300476,-17.275192,-0.69861966,1.0824857,-13.424505,9.276376,-0.24629071,48.90766,69.44673,15.022595,-82.788826,-33.101025,55.26445,18.054821,6.45068,-2.9270296,129.04889,-3.7433312,1.3464116,-115.94394,1.818483,-2.9707148,164.17528,6.2029495,3.2187934
3002,-38.902775,-2.203991,-3.5531445,130.30003,-1.1286144,-3.300476,-17.275192,-0.69861966,1.0824857,-13.424505,9.276376,-0.24629071,-118.0224,9.941519,5.690173,-82.84229,-33.511017,56.48792,18.054821,6.45068,-2.9270296,129.04889,-3.7433312,1.3464116,-115.94394,1.818483,-2.9707148,164.17528,6.2029495,3.2187934
3022,-38.902775,-2.203991,-3.5531445,130.30003,-1.1286144,-3.300476,-17.275106,-0.6975682,1.0894006,-13.424505,9.276376,-0.24629071,-80.305626,-42.019775,47.27547,-82.8994,-32.741035,55.0489,18.054821,6.45068,-2.9270296,129.04889,-3.7433312,1.3464116,-115.94394,1.818483,-2.9707148,164.17528,6.2029495,3.2187934
3041,-38.902504,-2.2063117,-3.5597324,130.30003,-1.1286144,-3.300476,-17.275106,-0.6975682,1.0894006,-13.424505,9.276376,-0.24629071,19.338833,-25.20882,-64.67348,-82.91509,-32.8763,55.363323,18.054821,6.45068,-2.9270296,129.04889,-3.7433312,1.3464116,-115.94394,1.8147774,-2.9647923,164.17528,6.2029495,3.2187934
3104,-38.902584,-2.1973977,-3.555481,130.30194,-1.1287615,-3.3006299,-17.275106,-0.6975682,1.0894006,-13.424505,9.276376,-0.24629071,16.939842,27.583178,59.080383,-82.600395,31.202085,-53.83266,18.054821,6.45068,-2.9270296,129.04025,-3.7431588,1.3465827,-115.94384,1.820706,-2.961077,164.1756,6.202022,3.2118797
3123,-38.902775,-2.203991,-3.5531445,130.29347,-1.1255088,-3.3097675,-17.275106,-0.6975682,1.0894006,-13.431376,9.283218,-0.2476544,-77.36839,-2.897176,46.592964,-82.582756,31.06765,-53.564667,18.054821,6.45068,-2.9270296,129.04025,-3.7431588,1.3465827,-115.94394,1.8147774,-2.9647923,164.1756,6.202022,3.2118797
3142,-38.902775,-2.203991,-3.5531445,130.29333,-1.1289155,-3.3004825,-17.275192,-0.69861966,1.0824857,-13.424505,9.276376,-0.24629071,48.700172,-42.366478,-29.607628,-82.584305,31.927935,-55.646523,18.054821,6.45068,-2.9270296,129.04025,-3.7431588,1.3465827,-115.94384,1.820706,-2.961077,164.1756,6.202022,3.2118797
3161,-38.891186,-2.203632,-3.5531847,130.29333,-1.1289155,-3.3004825,-17.275192,-0.69861966,1.0824857,-13.431327,9.276294,-0.24685079,-16.888422,-38.538002,24.811504,-82.623116,32.3976,-57.15589,18.054821,6.45068,-2.9270296,129.04025,-3.7431588,1.3465827,-115.94394,1.8147774,-2.9647923,164.1756,6.202022,3.2118797
