millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2
3148,2.1188962,0.7215359,-57.514904,128.06168,-22.308332,-0.8143704,-123.1198,3.8086772,11.836891,-87.93449,14.773027,-22.520035,81.71222,3.5100164,3.584417,-41.76265,1.9557076,-6.325278
3157,2.1188962,0.7215359,-57.514904,128.06091,-22.311201,-0.8205863,-123.128914,3.8094223,11.837026,-87.93449,14.773027,-22.520035,81.71222,3.5100164,3.584417,-41.76203,1.9531971,-6.3318024
3175,2.1250243,0.7248991,-57.514713,128.06326,-22.304966,-0.82349324,-123.12011,3.8053064,11.843019,-87.93449,14.773027,-22.520035,81.71222,3.5100164,3.584417,-41.76203,1.9531971,-6.3318024
3182,2.1188962,0.7215359,-57.514904,128.06326,-22.304966,-0.82349324,-123.120415,3.8019357,11.849145,-87.934494,14.768269,-22.515734,81.71222,3.5152967,3.5889728,-41.76142,1.950686,-6.338327
3191,2.1188962,0.7215359,-57.514904,128.06403,-22.302095,-0.81727713,-123.120415,3.8019357,11.849145,-87.934494,14.768269,-22.515734,81.71222,3.5152967,3.5889728,-41.76142,1.950686,-6.338327
3199,2.1188962,0.7215359,-57.514904,128.06326,-22.304966,-0.82349324,-123.120415,3.8019357,11.849145,-87.934494,14.768269,-22.515734,81.71222,3.5152967,3.5889728,-41.760807,1.9481754,-6.3448515
3211,2.1250243,0.7248991,-57.514713,128.06326,-22.304966,-0.82349324,-123.120735,3.7985654,11.855271,-87.934494,14.768269,-22.515734,81.71221,3.5205772,3.5935287,-41.760563,1.9546907,-6.347338
3221,2.1250243,0.7248991,-57.514713,128.06326,-22.304966,-0.82349324,-123.12259,3.7984183,11.856019,-87.934494,14.768269,-22.515734,81.71221,3.5205772,3.5935287,-41.760563,1.9546907,-6.347338
3231,2.1250243,0.7248991,-57.514713,128.06558,-22.298735,-0.8264002,-123.12259,3.7984183,11.856019,-87.93357,14.763416,-22.520996,81.71221,3.5205772,3.5935287,-41.759953,1.9521799,-6.353863
3243,2.1250243,0.7248991,-57.514713,128.06377,-22.297483,-0.8269269,-123.12259,3.7984183,11.856019,-87.93357,14.763416,-22.520996,81.71221,3.5258574,3.5980844,-41.759953,1.9521799,-6.353863
3253,2.1250243,0.7248991,-57.514713,128.06377,-22.297483,-0.8269269,-123.12289,3.7950473,11.862146,-87.93357,14.763416,-22.520996,81.71221,3.5258574,3.5980844,-41.759335,1.9496691,-6.360387
3263,2.1250243,0.7248991,-57.514713,128.06377,-22.297483,-0.8269269,-123.12289,3.7950473,11.862146,-87.93357,14.763416,-22.520996,81.71221,3.5258574,3.5980844,-41.754208,1.9565896,-6.3629
3273,2.1253183,0.7247696,-57.508587,128.06377,-22.297483,-0.8269269,-123.12289,3.7950473,11.862146,-87.93357,14.763416,-22.520996,81.71221,3.5258574,3.5980844,-41.754448,1.9500742,-6.3604136
3285,2.1253183,0.7247696,-57.508587,128.06612,-22.29125,-0.82983285,-123.1232,3.7916763,11.868273,-87.93358,14.758659,-22.516693,81.71221,3.5258574,3.5980844,-41.753838,1.9475634,-6.366938
3296,2.1250243,0.7248991,-57.514713,128.06612,-22.29125,-0.82983285,-123.12386,3.785596,11.864985,-87.93358,14.758659,-22.516693,81.7122,3.5311375,3.60264,-41.758724,1.9471583,-6.3669114
3306,2.1283891,0.7310289,-57.51446,128.06612,-22.29125,-0.82983285,-123.12386,3.785596,11.864985,-87.93358,14.758659,-22.516693,81.7122,3.5311375,3.60264,-41.758106,1.9446478,-6.3734355
3316,2.1283891,0.7310289,-57.51446,128.06612,-22.29125,-0.82983285,-123.12416,3.7822254,11.871114,-87.93358,14.758659,-22.516693,81.7122,3.5311375,3.60264,-41.753216,1.9450535,-6.373463
3326,2.1253183,0.7247696,-57.508587,128.06612,-22.29125,-0.82983285,-123.12416,3.7822254,11.871114,-87.93358,14.758659,-22.516693,81.7122,3.5311375,3.60264,-41.753216,1.9450535,-6.373463
3337,2.1250358,0.7246481,-57.505226,128.06845,-22.285019,-0.8327388,-123.12447,3.7788537,11.877239,-87.93358,14.758659,-22.516693,81.7122,3.5364177,3.6071959,-41.752598,1.9425429,-6.3799877
3347,2.1250358,0.7246481,-57.505226,128.06767,-22.287886,-0.8389544,-123.12447,3.7788537,11.877239,-87.93358,14.758659,-22.516693,81.7122,3.5364177,3.6071959,-41.752598,1.9425429,-6.3799877
3358,2.1250358,0.7246481,-57.505226,128.06767,-22.287886,-0.8389544,-123.12447,3.7788537,11.877239,-87.93358,14.758659,-22.516693,81.7122,3.5364177,3.6071959,-41.751987,1.9400327,-6.3865123
3370,2.1283996,0.7307781,-57.50498,128.06767,-22.287886,-0.8389544,-123.12447,3.7788537,11.877239,-87.93265,14.753805,-22.521952,81.7122,3.5364177,3.6071959,-41.751743,1.946548,-6.388998
3379,2.1283996,0.7307781,-57.50498,128.06767,-22.287886,-0.8389544,-123.12447,3.7788537,11.877239,-87.93265,14.753805,-22.521952,81.71219,3.5416977,3.6117513,-41.751743,1.946548,-6.388998
3391,2.1283996,0.7307781,-57.50498,128.06767,-22.287886,-0.8389544,-123.12477,3.7754836,11.883366,-87.93265,14.753805,-22.521952,81.71219,3.5416977,3.6117513,-41.75112,1.9440373,-6.3955226
3400,2.1283996,0.7307781,-57.50498,128.06767,-22.287886,-0.8389544,-123.12477,3.7754836,11.883366,-87.93266,14.74905,-22.517649,81.71219,3.5416977,3.6117513,-41.75112,1.9440373,-6.3955226
3411,2.1345274,0.73414063,-57.50479,128.06767,-22.287886,-0.8389544,-123.115974,3.7713664,11.889355,-87.93266,14.74905,-22.517649,81.71219,3.5469782,3.6163068,-41.75112,1.9440373,-6.3955226
3422,2.131447,0.7281326,-57.508404,128.06767,-22.287886,-0.8389544,-123.115974,3.7713664,11.889355,-87.93266,14.74905,-22.517649,81.71219,3.5469782,3.6163068,-41.75112,1.9440373,-6.3955226
3433,2.1345172,0.7343921,-57.514275,128.06767,-22.287886,-0.8389544,-123.115974,3.7713664,11.889355,-87.93266,14.74905,-22.517649,81.71219,3.5469782,3.6163068,-41.750744,1.9350121,-6.399562
3444,2.1348119,0.73426276,-57.50814,128.06767,-22.287886,-0.8389544,-123.118126,3.7678456,11.89623,-87.93266,14.74905,-22.517649,81.71209,3.5424016,3.6216044,-41.750744,1.9350121,-6.399562
3455,2.1345274,0.73414063,-57.50479,128.06767,-22.287886,-0.8389544,-123.118126,3.7678456,11.89623,-87.93266,14.74905,-22.517649,81.71209,3.5424016,3.6216044,-41.750744,1.9350121,-6.399562
3465,2.1345274,0.73414063,-57.50479,128.06693,-22.290754,-0.84516984,-123.11845,3.7644744,11.902355,-87.93266,14.74905,-22.517649,81.71208,3.547682,3.6261606,-41.74989,1.939017,-6.4085712
3474,2.1345274,0.73414063,-57.50479,128.06693,-22.290754,-0.84516984,-123.11845,3.7644744,11.902355,-87.93266,14.74905,-22.517649,81.71208,3.547682,3.6261606,-41.74989,1.939017,-6.4085712
3486,2.1345274,0.73414063,-57.50479,128.06693,-22.290754,-0.84516984,-123.11845,3.7644744,11.902355,-87.92096,14.744541,-22.521261,81.71208,3.547682,3.6261606,-41.74989,1.939017,-6.4085712
