millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2,L0,L1,L2
3205,-71.10163,57.353508,-32.272438,-59.8726,44.221565,-33.07409,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-89.555885,-24.746859,-57.266674,-64.91381,-25.99559,-50.15209,-148.81331,-6.7116323,-13.180882,159.6598,-27.995249,-61.960648,-97.21668,26.338333,32.91906,-73.82225,33.591305,44.201237,0.0,0.0,0.0,179.94907,-0.014153366,-4.4872746
3504,175.49194,60.47815,-26.469645,-44.49672,47.341427,-29.782364,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-87.17364,-29.878256,-51.96736,-69.33302,-30.936401,-45.619442,-148.18494,-20.385773,-19.088932,128.45367,-34.725693,-55.149876,-104.386345,34.65736,45.766926,-80.74789,44.530922,35.466366,0.0,0.0,0.0,-179.96124,1.7739172,-33.61709
3803,145.77643,55.817413,-24.3018,-57.78231,30.605425,-18.547447,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-86.356155,-30.608786,-38.5194,-63.26497,-31.189285,-54.604412,-150.57335,-20.393885,-22.553446,-124.7838,-34.345512,-53.73043,-99.9299,34.71748,41.65707,-78.94114,36.31395,38.196644,0.0,0.0,0.0,179.98419,0.5036582,-18.728247
4027,-108.93876,57.67548,-32.203556,-52.443966,40.943016,-26.27189,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-83.63751,-33.148163,-41.96564,-66.187126,-33.685566,-49.37607,-160.58,-25.971666,-40.291103,-167.26714,-36.546535,-52.75675,-92.25488,40.042458,23.069838,-79.95701,38.428593,35.64604,0.0,0.0,0.0,-179.96944,0.026971743,-13.639356
4128,-162.14981,57.911697,-30.440426,-54.135483,46.516575,-30.63479,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-83.47263,-36.058968,-47.958515,-74.84317,-37.694424,-38.538784,-146.31003,-28.987452,-21.160397,89.96948,-43.783745,-45.05613,-102.78213,34.547333,34.308033,-86.0053,46.309265,29.86696,0.0,0.0,0.0,-179.98071,0.12042362,-16.70571
4408,178.14026,53.986244,-34.39345,-54.61845,37.23978,-33.750423,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-89.733086,-25.760185,-30.069006,-53.840874,-29.746403,-57.664177,-151.6068,-21.475887,-20.698818,-145.84393,-30.96024,-56.69828,-96.54121,29.020603,22.916416,-79.490166,35.02134,38.636482,0.0,0.0,0.0,-179.9848,0.26473582,-43.14032
4444,172.7492,51.898697,-35.417114,-56.250324,38.415478,-32.9337,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-88.71215,-27.397993,-29.947601,-53.037674,-30.992174,-57.008797,-150.39328,-20.692917,-19.238792,-138.91812,-31.444685,-55.740616,-101.8398,29.491505,31.345266,-79.30934,34.496395,38.43511,0.0,0.0,0.0,-179.98749,0.15743953,-45.479626
4768,-161.96068,47.477955,-42.29832,-54.078793,36.139095,-40.66757,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-88.31348,-24.420841,-28.181692,-52.847084,-29.332918,-58.589375,179.42052,-28.697,-47.64141,121.08405,-32.017086,-57.563515,-96.210144,25.51372,16.508778,-74.05371,41.82561,42.111454,0.0,0.0,0.0,179.96542,-0.53764844,-54.031204
4803,-160.65831,47.898434,-41.846424,-55.42932,35.467693,-41.931118,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-89.102356,-23.35903,-23.893276,-44.318264,-29.78623,-59.43159,179.8162,-28.413385,-47.8433,-152.57451,-30.615116,-58.470844,-96.0524,25.300377,14.77134,-75.68071,36.92022,41.577282,0.0,0.0,0.0,179.9512,-0.8385837,-64.146324
5086,136.96121,61.31471,-20.906282,-57.418926,30.242268,-20.839972,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-90.89277,-23.211721,-29.577454,-45.781136,-29.86488,-58.941326,-144.63017,-21.795742,-8.533359,-136.58496,-31.710762,-52.7926,-106.747894,32.0826,29.96348,-79.6142,29.859964,37.39706,0.0,0.0,0.0,-179.76323,3.9245057,-77.892166
5125,152.17792,65.95674,-23.074984,-56.856094,36.011818,-20.606735,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-96.44212,-28.116234,-42.90414,-52.876537,-30.957764,-55.788036,-144.53958,-22.159418,-8.549543,-148.0855,-31.60529,-55.3303,-107.754555,36.71101,33.149426,-78.63922,32.253647,38.299488,0.0,0.0,0.0,-179.83975,3.3014815,-49.310486
5368,-110.686386,68.653496,-2.378708,-20.382212,52.026943,6.39746,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-100.0305,-32.098904,-46.541637,-62.268642,-35.47289,-40.48535,-160.08348,-36.15309,-20.15603,126.62856,-44.803234,-44.966507,-100.77801,45.86036,38.694595,-93.4049,51.164867,28.563503,0.0,0.0,0.0,-179.91162,11.861237,-6.1418657
5402,-99.41869,68.69318,5.441404,-16.880007,53.159958,13.829757,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-103.95794,-30.73563,-52.836163,-63.547924,-32.903824,-35.44073,-160.69267,-37.603214,-18.533123,114.75981,-45.138325,-43.07589,-99.754425,47.512867,40.08614,-94.32524,56.396946,26.312756,0.0,0.0,0.0,179.45451,-13.722254,-66.20975
5688,-46.896805,-22.827835,15.516465,96.97158,7.155315,67.703384,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,35.934933,-34.064144,35.867107,-145.9368,-34.2862,55.713676,144.99689,-38.479565,-51.275337,70.44162,-45.107025,23.815569,-9.51792,4.396446,-75.01496,32.976147,62.389412,-24.573578,0.0,0.0,0.0,-178.93451,-0.7390444,83.77857
5987,-70.03827,58.499874,-7.187186,-111.210526,67.23177,-22.760456,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-94.54614,1.3949158,-13.08621,6.8874006,5.336538,-84.57099,-144.3151,19.954323,-44.92132,164.45795,-34.376255,-55.537315,-89.85142,4.704175,19.424402,-60.270203,39.402374,44.29601,0.0,0.0,0.0,-179.95912,-2.2387054,67.05641
