millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2,L0,L1,L2
3975,-167.17305,22.349054,-65.95999,-15.893052,11.167948,-61.318996,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-147.11461,-10.070557,2.8050566,-14.33786,-20.817928,-52.936073,162.6505,-3.519491,13.301685,177.3337,-15.34397,-39.31978,-147.01653,4.140642,-3.3039382,-157.50807,4.8946614,36.932327,0.0,0.0,0.0,-179.96814,0.26477695,-70.88731
4146,-169.21045,19.695755,-68.97625,-17.163954,9.86306,-63.66978,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-144.27399,-6.9782796,3.9205108,-9.922352,-18.072525,-53.0523,162.47919,-2.558861,15.497902,-179.01375,-13.053846,-38.85817,-143.67247,0.91725755,-4.204771,-154.65851,2.5875952,37.439575,0.0,0.0,0.0,-179.99005,0.05941547,-69.12203
4384,-169.75977,19.114004,-69.960754,-20.878109,8.701479,-66.08139,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-140.1043,-5.8944745,3.976535,-5.8116565,-16.508005,-53.502865,166.3511,1.2612803,17.071955,-173.01329,-10.569194,-38.750195,-140.70984,0.43635407,-3.4245048,-149.00203,-0.2781969,38.46564,0.0,0.0,0.0,179.94504,-0.6907906,-52.9385
4404,-169.0712,19.163267,-70.05241,-20.967813,8.878378,-66.114624,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-140.16705,-6.0545187,4.121648,-5.8477554,-16.622787,-53.4063,166.78668,1.3984346,17.002218,-172.82558,-10.580701,-38.918015,-140.89362,0.5999931,-3.4836884,-148.80885,-0.21580423,38.63275,0.0,0.0,0.0,179.92981,-0.9458543,-51.807327
4507,-161.9726,20.340567,-69.60479,-20.392809,9.794873,-66.387726,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-141.18129,-8.204302,-0.012613881,-7.577885,-17.387184,-54.50534,168.53537,1.7861478,16.249384,-173.22787,-10.963759,-38.653896,-151.247,1.61057,17.602238,-148.68887,-0.060825557,38.319286,0.0,0.0,0.0,179.83974,-2.4048302,-66.6214
4785,-124.932175,51.741573,-37.676888,13.67406,37.866146,-47.882164,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-157.28494,-17.330969,-11.151943,-23.295044,-23.630863,-62.55599,154.16046,2.4685576,-11.186247,169.06458,-15.528012,-47.735218,-162.83328,20.64104,8.986818,-162.04198,10.161815,38.80781,0.0,0.0,0.0,178.67133,-6.242847,-34.96409
4887,-109.64107,69.62184,-20.258749,23.547789,47.045197,-32.101055,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-173.56522,-25.254717,-31.254662,-30.252346,-30.515802,-59.16912,151.51779,-7.609379,8.449449,155.67279,-25.583494,-49.58338,153.66138,48.0896,24.260017,-176.7497,21.628336,36.794384,0.0,0.0,0.0,178.5092,-1.2351193,-42.591213
5165,-133.40971,46.742428,-43.188652,102.70332,-11.54185,-9.484775,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-175.02205,-15.696532,-5.749127,-65.087845,-45.47358,-35.34223,83.517876,-78.56577,4.3440657,14.795226,-24.424448,32.45535,-131.37164,-11.4182825,18.105251,38.802994,9.407112,-42.751415,0.0,0.0,0.0,179.90935,-0.20112745,36.550648
5288,-117.435684,31.45646,-35.36303,111.433075,27.734812,-59.804043,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-131.46017,3.23274,10.057909,13.977453,0.9139365,-63.69561,48.460667,-45.059425,43.583237,-171.48125,-6.7335215,-60.55947,-125.51511,-5.3876505,-2.3069835,-149.70238,6.099607,51.171825,0.0,0.0,0.0,179.97496,-1.9460574,-4.9284153
5506,91.40751,46.91887,-42.85647,-125.14248,34.40688,-54.91441,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-126.353294,-2.2350721,-26.239923,-5.343699,-7.9842887,-81.15815,176.07896,6.1073656,5.6163883,-177.70744,-13.620321,-56.259808,-129.50075,4.039676,21.022938,-139.52414,10.932902,43.288986,0.0,0.0,0.0,179.99161,0.43227014,-71.7532
5628,-102.574165,66.941536,-22.943716,-97.55954,52.192955,-36.909775,-15.385714,5.3104343,-45.92286,0.0,0.0,0.0,-134.24872,-13.090115,-46.42761,-27.34155,-14.246096,-67.2661,177.65332,6.8676195,-13.149003,161.87325,-25.584438,-60.286125,-149.12035,14.646531,42.227646,-161.44159,27.22532,41.55502,0.0,0.0,0.0,179.93492,1.8105448,-27.984472
