A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3,G0,G1,G2,G3,H0,H1,H2,H3,I0,I1,I2,I3,J0,J1,J2,J3,K0,K1,K2,K3
-0.8876343,0.31079102,-0.16815186,0.2954712,0.82684326,-0.43634033,0.34625244,-0.07763672,0.9401245,0.08703613,-0.3291626,0.015625,0.83917236,-0.19854736,-0.45214844,0.22784424,0.2956543,0.5553589,0.2746582,0.7270508,-0.6191406,0.24487305,0.20379639,0.7177124,-0.48602295,0.026428223,0.8475952,0.21124268,-0.50787354,-0.519104,0.30236816,-0.6174927,0.6535034,0.44470215,-0.61120605,-0.039916992,0.76904297,-0.27783203,-0.37036133,-0.44073486,0.26409912,0.36218262,-0.54644775,0.70739746
-0.88812256,0.3095703,-0.16784668,0.2952881,0.8275757,-0.4364624,0.34448242,-0.07659912,0.93969727,0.087646484,-0.33013916,0.015136719,0.8394165,-0.19763184,-0.4524536,0.22711182,0.29522705,0.5563965,0.27435303,0.7265625,-0.61724854,0.24554443,0.2041626,0.71899414,-0.48602295,0.026489258,0.84783936,0.21020508,-0.50720215,-0.5201416,0.3024292,-0.61712646,0.65283203,0.44403076,-0.61242676,-0.040039062,0.76831055,-0.2783203,-0.3711548,-0.440979,0.26483154,0.36273193,-0.54608154,0.7071533
-0.8911133,0.3048706,-0.16436768,0.2932129,0.82940674,-0.43933105,0.33740234,-0.071899414,0.9381714,0.090026855,-0.3338623,0.014953613,0.84002686,-0.19378662,-0.45385742,0.22546387,0.29315186,0.5597534,0.2732544,0.7252197,-0.61053467,0.24847412,0.20562744,0.72332764,-0.48706055,0.025817871,0.84851074,0.20507812,-0.50372314,-0.52423096,0.30249023,-0.6165161,0.65075684,0.44152832,-0.61639404,-0.040039062,0.7661743,-0.2802124,-0.37384033,-0.4411621,0.2666626,0.36584473,-0.5444336,0.7061157
-0.892334,0.30316162,-0.16296387,0.29205322,0.8296509,-0.4406128,0.3355713,-0.070251465,0.9378052,0.09094238,-0.33465576,0.01550293,0.8400879,-0.19250488,-0.45422363,0.22564697,0.2921753,0.5606079,0.2734375,0.72491455,-0.6091919,0.24908447,0.20635986,0.72406006,-0.4874878,0.02532959,0.8487549,0.20318604,-0.50231934,-0.5253906,0.3024292,-0.6166382,0.6502075,0.4413452,-0.61712646,-0.03955078,0.76586914,-0.28033447,-0.37493896,-0.44073486,0.2668457,0.36706543,-0.5438843,0.7058716
-0.89385986,0.30108643,-0.16131592,0.29052734,0.8296509,-0.44226074,0.33374023,-0.068359375,0.93743896,0.09210205,-0.33538818,0.016296387,0.8400879,-0.19110107,-0.4545288,0.22613525,0.29101562,0.5614624,0.27386475,0.72454834,-0.6080322,0.24963379,0.20727539,0.72454834,-0.48779297,0.024597168,0.8491211,0.2010498,-0.50079346,-0.52667236,0.30212402,-0.61694336,0.6496582,0.4414673,-0.6176758,-0.03894043,0.765625,-0.28015137,-0.37609863,-0.44030762,0.26690674,0.3682251,-0.5432129,0.7056885
-0.897583,0.2962036,-0.15820312,0.28570557,0.8308716,-0.44561768,0.32763672,-0.060913086,0.9364624,0.09655762,-0.33666992,0.017822266,0.84106445,-0.18664551,-0.45385742,0.22747803,0.2886963,0.56329346,0.27648926,0.72302246,-0.60339355,0.24969482,0.20898438,0.7279053,-0.48742676,0.020568848,0.850647,0.19573975,-0.49719238,-0.5307007,0.2991333,-0.6178589,0.64727783,0.4420166,-0.61968994,-0.040039062,0.76446533,-0.27868652,-0.37854004,-0.4411621,0.26794434,0.36975098,-0.54089355,0.70635986
-0.8978882,0.29559326,-0.15838623,0.28515625,0.8314209,-0.4454956,0.32659912,-0.059448242,0.93640137,0.097473145,-0.33654785,0.01776123,0.8414917,-0.18597412,-0.4533081,0.2276001,0.28857422,0.56359863,0.27722168,0.7225952,-0.6021118,0.24945068,0.20904541,0.7290039,-0.4873047,0.019348145,0.8510132,0.19451904,-0.49658203,-0.5316162,0.29821777,-0.618042,0.6467285,0.44213867,-0.6201172,-0.04046631,0.7642822,-0.27825928,-0.37908936,-0.44128418,0.26812744,0.36993408,-0.5402832,0.706604
-0.9001465,0.29327393,-0.15716553,0.28125,0.83306885,-0.4468994,0.3217163,-0.05218506,0.935791,0.101379395,-0.3369751,0.019348145,0.8423462,-0.18243408,-0.45220947,0.22943115,0.28674316,0.56451416,0.28009033,0.7214966,-0.5979004,0.24932861,0.20941162,0.7324219,-0.48779297,0.014892578,0.8521118,0.18896484,-0.4928589,-0.5350342,0.29510498,-0.61950684,0.6448364,0.442688,-0.6217041,-0.04083252,0.76379395,-0.27697754,-0.3814087,-0.44091797,0.26812744,0.3718872,-0.5378418,0.7074585
-0.90075684,0.29278564,-0.15655518,0.28009033,0.833374,-0.44750977,0.32037354,-0.05029297,0.9356079,0.10223389,-0.33721924,0.020019531,0.8424072,-0.18145752,-0.45214844,0.22998047,0.28601074,0.56463623,0.28070068,0.7213745,-0.59698486,0.24945068,0.20947266,0.7331543,-0.48809814,0.01373291,0.8522949,0.18756104,-0.4918213,-0.53582764,0.2944336,-0.6199951,0.6444702,0.44281006,-0.6220093,-0.04083252,0.76379395,-0.2767334,-0.381958,-0.44067383,0.26800537,0.3725586,-0.5372925,0.70758057
-0.90197754,0.29351807,-0.15594482,0.2756958,0.8335571,-0.45025635,0.3171997,-0.04284668,0.9349365,0.10601807,-0.33770752,0.023498535,0.8425293,-0.1774292,-0.4522705,0.23260498,0.28234863,0.5652466,0.28393555,0.7211914,-0.5936279,0.25,0.21038818,0.73535156,-0.4897461,0.008728027,0.85272217,0.18127441,-0.48675537,-0.5390625,0.29193115,-0.6223755,0.6432495,0.4434204,-0.62286377,-0.040283203,0.763916,-0.2755127,-0.38458252,-0.4389038,0.26739502,0.37548828,-0.5352783,0.7077637
-0.9024658,0.29327393,-0.15539551,0.27453613,0.83361816,-0.45098877,0.3161621,-0.041137695,0.93481445,0.10650635,-0.33795166,0.024108887,0.8424072,-0.17681885,-0.45239258,0.2331543,0.28173828,0.56500244,0.2843628,0.72143555,-0.5928345,0.25030518,0.20996094,0.73602295,-0.49017334,0.007446289,0.85284424,0.17980957,-0.48565674,-0.53967285,0.29144287,-0.6229248,0.6430054,0.44348145,-0.6230469,-0.040222168,0.7640381,-0.27514648,-0.3850708,-0.4385376,0.2670288,0.37591553,-0.53497314,0.70788574
