A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3,G0,G1,G2,G3,H0,H1,H2,H3,I0,I1,I2,I3,J0,J1,J2,J3,K0,K1,K2,K3,L0,L1,L2,L3
0.47302246,-0.42590332,-0.093811035,-0.76556396,0.75634766,0.11224365,-0.34155273,0.5465088,0.9738159,-0.2163086,-0.028625488,-0.06384277,0.9458618,-0.076538086,-0.11517334,-0.2935791,-0.98187256,0.16967773,-0.061462402,0.0579834,0.5454712,-0.06866455,0.012207031,0.83514404,-0.96691895,0.08123779,-0.03479004,-0.23937988,0.8909912,-0.1038208,0.10192871,0.4300537,-0.5091553,0.33477783,0.026184082,-0.79248047,0.17834473,0.19750977,0.123291016,-0.9560547,-0.38897705,0.101745605,-0.054626465,0.91400146,0.69348145,-0.06536865,0.081848145,0.71276855
0.47296143,-0.4263916,-0.093444824,-0.76538086,0.75634766,0.11212158,-0.34161377,0.54644775,0.9737549,-0.21643066,-0.028747559,-0.06384277,0.9458618,-0.07659912,-0.115112305,-0.2935791,-0.98187256,0.16986084,-0.061584473,0.0579834,0.5455322,-0.06842041,0.012023926,0.83514404,-0.96691895,0.08129883,-0.034606934,-0.23937988,0.8909912,-0.103881836,0.101867676,0.42999268,-0.5097046,0.33477783,0.026489258,-0.79211426,0.17822266,0.19714355,0.12335205,-0.9561157,-0.3887329,0.101989746,-0.05456543,0.9140625,0.6935425,-0.06549072,0.08203125,0.7126465
0.47314453,-0.42633057,-0.09301758,-0.76538086,0.7564697,0.11175537,-0.34124756,0.5465698,0.9738159,-0.2163086,-0.028442383,-0.0637207,0.94592285,-0.07635498,-0.114990234,-0.29351807,-0.98187256,0.1697998,-0.061523438,0.057861328,0.5455322,-0.06866455,0.012084961,0.83514404,-0.96691895,0.08135986,-0.034729004,-0.23944092,0.8909912,-0.103881836,0.101989746,0.42993164,-0.51000977,0.33520508,0.026611328,-0.79174805,0.17822266,0.19726562,0.123413086,-0.9561157,-0.38861084,0.10217285,-0.05432129,0.91412354,0.6936035,-0.06555176,0.082092285,0.71258545
0.4730835,-0.42633057,-0.09320068,-0.76538086,0.7565918,0.11199951,-0.34100342,0.5465088,0.97387695,-0.21606445,-0.028503418,-0.06359863,0.9459839,-0.076171875,-0.114990234,-0.293396,-0.98187256,0.16973877,-0.061706543,0.057800293,0.5454712,-0.06854248,0.012084961,0.83514404,-0.9668579,0.08129883,-0.034851074,-0.23956299,0.8909912,-0.103759766,0.10211182,0.42993164,-0.51000977,0.3355713,0.026550293,-0.791626,0.17822266,0.1977539,0.123413086,-0.95599365,-0.38842773,0.10217285,-0.054138184,0.9141846,0.6937256,-0.06555176,0.08203125,0.7125244
0.47296143,-0.42614746,-0.09338379,-0.7655029,0.7567749,0.11224365,-0.34051514,0.5465088,0.973938,-0.21569824,-0.028259277,-0.06347656,0.9460449,-0.075805664,-0.11480713,-0.29333496,-0.98187256,0.16955566,-0.06201172,0.057678223,0.5454712,-0.06878662,0.012390137,0.83514404,-0.9668579,0.08117676,-0.03515625,-0.23968506,0.8909302,-0.10357666,0.1026001,0.4300537,-0.50982666,0.3359375,0.026245117,-0.79156494,0.17828369,0.1984253,0.12335205,-0.9558716,-0.38824463,0.101989746,-0.054138184,0.9142456,0.6937256,-0.06530762,0.081848145,0.7125244
0.47296143,-0.42590332,-0.093566895,-0.765625,0.756897,0.11236572,-0.34020996,0.5465088,0.973999,-0.21557617,-0.028015137,-0.06341553,0.94610596,-0.075683594,-0.11462402,-0.29333496,-0.9819336,0.16949463,-0.062072754,0.057617188,0.54541016,-0.06890869,0.0126953125,0.83514404,-0.9668579,0.08117676,-0.03540039,-0.23968506,0.8909302,-0.10357666,0.1027832,0.42993164,-0.50964355,0.33636475,0.026062012,-0.7915039,0.17834473,0.19885254,0.123413086,-0.9557495,-0.38830566,0.101745605,-0.053955078,0.91430664,0.6937866,-0.06524658,0.08166504,0.7125244
0.47283936,-0.42608643,-0.093688965,-0.765625,0.756897,0.11242676,-0.34033203,0.54644775,0.973999,-0.21557617,-0.028320312,-0.06347656,0.9460449,-0.075805664,-0.1149292,-0.29333496,-0.9819336,0.1696167,-0.061523438,0.057739258,0.54541016,-0.06878662,0.012634277,0.8352051,-0.9668579,0.08117676,-0.035095215,-0.23968506,0.8909912,-0.10357666,0.10247803,0.4298706,-0.50982666,0.33618164,0.026184082,-0.7914429,0.17834473,0.19848633,0.12347412,-0.95581055,-0.38848877,0.101257324,-0.05328369,0.91430664,0.6937866,-0.06567383,0.08148193,0.7124634
0.4725952,-0.4267578,-0.093688965,-0.76538086,0.7565918,0.11260986,-0.34100342,0.5463867,0.973938,-0.21569824,-0.02923584,-0.06365967,0.94592285,-0.076171875,-0.11590576,-0.29327393,-0.9819336,0.16967773,-0.060424805,0.0579834,0.5453491,-0.06829834,0.012084961,0.8352661,-0.96691895,0.08105469,-0.034240723,-0.23956299,0.8911133,-0.103515625,0.101623535,0.4298706,-0.5101929,0.3352661,0.026550293,-0.791626,0.17834473,0.1973877,0.123413086,-0.9560547,-0.38861084,0.10095215,-0.052124023,0.9143677,0.6937866,-0.06665039,0.08105469,0.7124634
0.47216797,-0.4277954,-0.093688965,-0.7650757,0.7562866,0.11291504,-0.34197998,0.5461426,0.9738159,-0.21582031,-0.030273438,-0.06390381,0.9458008,-0.07647705,-0.11682129,-0.2932129,-0.9819946,0.16973877,-0.059448242,0.058166504,0.54541016,-0.06744385,0.011291504,0.83532715,-0.96698,0.08087158,-0.033325195,-0.23944092,0.8912964,-0.103393555,0.10076904,0.42974854,-0.5105591,0.33422852,0.026977539,-0.7918091,0.17828369,0.19628906,0.123413086,-0.9562988,-0.3887329,0.10070801,-0.05102539,0.9143677,0.6937866,-0.06762695,0.08062744,0.71240234
0.47174072,-0.42852783,-0.09387207,-0.7648926,0.7561035,0.113342285,-0.3425293,0.5459595,0.9738159,-0.21575928,-0.03100586,-0.06402588,0.94573975,-0.076538086,-0.11743164,-0.29315186,-0.98205566,0.1696167,-0.05895996,0.05822754,0.54541016,-0.066833496,0.0107421875,0.8353882,-0.967041,0.08062744,-0.032714844,-0.23950195,0.8913574,-0.103149414,0.10028076,0.42974854,-0.51068115,0.33361816,0.02709961,-0.7919922,0.17834473,0.19592285,0.12335205,-0.95635986,-0.38879395,0.10070801,-0.05029297,0.9144287,0.6937866,-0.068237305,0.08026123,0.7123413
