millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
1983,-8.983126,3.6237476,6.012214,-49.622955,-1.1741496,0.94345236,153.67813,35.86527,1.3106468,141.39482,-23.621113,1.1853958,91.09161,78.74788,8.963242,90.42668,82.07514,2.6703677,-88.653885,-34.457138,35.629116,-77.51575,-60.69221,6.505849,-115.01634,-73.435524,4.774408,-90.62666,-69.19808,2.5249023
2003,-8.982747,3.6167855,6.0127745,-49.61912,-1.2240584,0.9356168,153.65115,35.865555,1.3107864,141.41422,-23.712149,1.155358,91.08514,78.74625,8.962873,90.42239,82.07894,2.672314,-88.608086,-34.457424,35.624626,-77.5358,-60.6948,6.5023394,-115.00581,-73.43597,4.7755837,-90.594025,-69.19604,2.5222843
2025,-8.982747,3.6167855,6.0127745,-49.59123,-1.1831989,0.9240772,153.62823,35.861423,1.311885,141.46472,-23.806087,1.1344773,91.07465,78.751366,8.95899,90.4093,82.07638,2.675034,-88.57627,-34.461143,35.625465,-77.54462,-60.694878,6.4968443,-115.0085,-73.43505,4.7775645,-90.56978,-69.20341,2.523415
2058,-8.990008,3.6240973,6.0119643,-49.59484,-1.1054491,0.94217056,153.593,35.86141,1.309897,141.5344,-23.909763,1.1407301,91.0828,78.75256,8.962128,90.39617,82.0747,2.6710823,-88.53054,-34.462124,35.624523,-77.55613,-60.695995,6.4993997,-115.00589,-73.435356,4.782823,-90.537,-69.201355,2.520795
2072,-8.98963,3.6171348,6.012525,-49.594505,-1.0399964,0.95045656,153.5646,35.87037,1.308401,141.56107,-23.979097,1.1107056,91.076294,78.75093,8.961759,90.382935,82.07603,2.6701748,-88.48307,-34.461384,35.62816,-77.568596,-60.689827,6.5022707,-114.99008,-73.435616,4.7746572,-90.50414,-69.20313,2.5219893
2087,-8.990008,3.6240973,6.0119643,-49.5945,-1.005323,0.9421439,153.53946,35.867435,1.3160273,141.54448,-23.975847,1.0983125,91.06964,78.74475,8.965582,90.3696,82.07736,2.6692677,-88.45113,-34.465115,35.628983,-77.58894,-60.697155,6.501424,-114.980576,-73.44028,4.774772,-90.47968,-69.20358,2.522147
2111,-8.98963,3.6171348,6.012525,-49.590385,-1.005401,0.9421123,153.51744,35.859978,1.310942,141.54375,-23.935942,1.1317635,91.059135,78.74987,8.961698,90.356155,82.07481,2.671996,-88.4051,-34.465393,35.6245,-77.600075,-60.69354,6.501316,-114.982254,-73.43515,4.777814,-90.4467,-69.20152,2.5195327
2129,-8.996443,3.6169696,6.0053163,-49.58647,-1.0396737,0.9347595,153.48628,35.855545,1.3099179,141.5219,-23.875767,1.1559819,91.0526,78.74824,8.961331,90.34265,82.07613,2.6710865,-88.34512,-34.46292,35.618256,-77.611206,-60.68992,6.50121,-114.982254,-73.43515,4.777814,-90.413635,-69.20331,2.5207229
2155,-8.996512,3.6174848,6.012275,-49.586876,-1.114411,0.9230484,153.4579,35.86451,1.3084159,141.52565,-23.84061,1.1533939,91.046,78.748474,8.962457,90.329056,82.07748,2.6701744,-88.29744,-34.462185,35.621887,-77.62032,-60.694733,6.4983773,-114.97276,-73.439804,4.7779293,-90.389015,-69.20683,2.518017
2173,-8.996512,3.6174848,6.012275,-49.61916,-1.205016,0.926817,153.4287,35.865986,1.3150803,141.53445,-23.863293,1.1504443,91.05022,78.75268,8.959087,90.315346,82.07492,2.6729078,-88.25125,-34.462456,35.617405,-77.63143,-60.69112,6.498268,-114.96225,-73.44025,4.7791038,-90.361015,-69.204346,2.5235248
2193,-9.003395,3.6178346,6.0120254,-49.643562,-1.2579656,0.92857134,153.3948,35.868103,1.3127506,141.53499,-23.913263,1.1347256,91.04362,78.752914,8.96021,90.30159,82.07321,2.6689737,-88.20502,-34.46273,35.61293,-77.651726,-60.698444,6.497426,-114.95437,-73.44038,4.775022,-90.32774,-69.20228,2.5209155
2214,-9.003395,3.6178346,6.0120254,-49.63519,-1.2395663,0.9353075,153.3719,35.86397,1.3138568,141.52982,-23.976164,1.1015464,91.03704,78.75128,8.9598465,90.28773,82.07453,2.6680648,-88.15716,-34.46199,35.616558,-77.66282,-60.694828,6.4973135,-114.95605,-73.43526,4.778063,-90.3029,-69.20273,2.5210698
2290,-9.010277,3.6181836,6.0117755,-49.507355,-1.0979111,0.8758761,152.59082,35.861107,1.310643,141.42175,-24.002098,1.108555,90.87933,78.751564,8.960188,89.91475,82.064156,2.6677673,-87.98423,-34.466232,35.61559,-78.0478,-60.69208,6.506134,-114.797516,-73.43895,4.77114,-89.45516,-69.214455,2.5067575
2371,-9.073866,3.6215773,6.009872,-49.66024,-1.0381916,0.8040199,152.4816,35.861774,1.3093567,141.37625,-23.915165,1.1086521,90.84764,78.74718,8.959445,89.86255,82.060814,2.67197,-86.67111,-34.462864,35.604126,-78.09916,-60.689735,6.502536,-114.77142,-73.43905,4.7713885,-89.3353,-69.21385,2.5070882
2390,-9.073866,3.6215773,6.009872,-49.6927,-1.0966302,0.7775105,152.44554,35.865116,1.3135276,141.38983,-23.974834,1.0858574,90.85564,78.74842,8.962539,89.845634,82.05897,2.6681356,-86.62314,-34.467,35.60195,-78.110344,-60.690826,6.5050993,-114.76099,-73.4395,4.7725616,-89.29959,-69.2117,2.5045357
2411,-9.073797,3.6210573,6.002914,-49.76094,-1.1303569,0.770894,152.41995,35.86753,1.3133082,141.37971,-24.028593,1.0585277,90.84478,78.75164,8.957175,89.828636,82.06028,2.6672084,-86.58753,-34.46593,35.60851,-78.12989,-60.69344,6.5016055,-114.7531,-73.43961,4.7684827,-89.26874,-69.20838,2.5034685
2432,-9.080748,3.6219265,6.0096216,-49.72474,-1.058357,0.7601794,152.39581,35.86128,1.3148023,141.3522,-24.06701,1.0381258,90.8378,78.751884,8.958289,89.82065,82.06419,2.6689997,-86.53765,-34.465233,35.612125,-78.1423,-60.691975,6.507135,-114.75579,-73.438705,4.7704635,-89.24152,-69.20883,2.5036101
2453,-9.080678,3.621406,6.002663,-49.68077,-0.9799651,0.74650663,152.36195,35.863373,1.312458,141.3273,-24.091084,1.0130264,90.830826,78.75024,8.957945,89.80346,82.06233,2.6651723,-86.50415,-34.46976,35.616398,-78.150696,-60.69209,6.501633,-114.747925,-73.43882,4.7663846,-89.205605,-69.21064,2.5047407
