millis,Org_Angle,Teat_Angle
6716,179.12396,180
6726,178.96655,180
6734,179.0583,180
6746,179.3738,180
6754,179.3738,180
6765,179.34628,180
6773,179.15419,180
6785,179.14613,180
6794,179.49217,180
6805,179.29251,180
6813,179.11067,180
6824,179.0913,180
6834,178.94446,180
6845,179.05872,180
6856,179.35684,180
6867,179.3306,180
6874,179.3306,180
6885,179.32045,180
6893,179.13385,179
6906,179.00377,178
6914,179.00377,177
6926,178.98663,176
6933,179.02121,176
6944,179.1459,175
6953,179.24748,174
6964,179.69609,173
6974,179.05623,172
6985,179.03632,171
6994,177.90007,170
7004,177.70808,169
7014,176.26173,168
7025,176.24944,167
7033,174.77063,167
7044,174.84877,166
7054,173.50717,165
7066,173.49428,164
7074,172.17293,163
7085,172.17732,162
7093,170.78369,161
7107,170.80809,160
7115,169.16074,159
7124,169.14288,158
7135,167.33723,158
7146,167.35196,157
7154,165.60297,156
7165,165.60478,155
7175,164.18445,154
7185,164.18634,153
7194,162.76288,152
7205,162.75217,151
7213,161.09149,150
7225,161.12332,149
7234,159.20686,149
7246,159.18039,148
7253,157.57474,147
7265,157.57904,146
7273,156.00056,145
7285,155.99844,144
7294,154.43732,143
7305,154.4512,142
7315,152.52896,141
7325,152.52869,140
7334,150.60106,140
7345,150.60666,139
7353,148.738,138
7366,148.72192,137
7376,146.93756,136
7385,146.93884,135
7395,145.16707,134
7405,145.17111,133
7414,143.4507,132
7424,143.451,131
7434,141.63554,131
7445,141.64401,130
7454,139.96393,129
7465,139.96382,128
7475,138.38916,127
7485,138.39354,126
7495,136.5687,125
7504,136.57802,124
7513,134.72395,123
7525,134.72304,122
7534,132.69849,122
7544,132.7256,121
7554,130.86179,120
7565,130.84314,119
7573,129.12549,118
7585,129.13477,117
7594,127.4008,116
7604,127.40544,115
7616,125.4568,114
7625,125.472855,113
7634,123.60434,113
7644,123.60489,112
7654,121.91536,111
7664,121.91083,110
7673,120.21835,109
7684,120.230286,108
7694,118.40338,107
7705,118.406525,106
7715,116.54547,105
7723,116.55089,104
7733,114.61178,104
7744,114.6468,103
7755,112.917694,102
7765,112.92302,101
7773,111.47087,100
7785,111.459755,99
7794,109.686745,98
7805,109.720406,97
7814,108.03033,96
7826,108.05957,95
7835,106.37524,94
7844,106.37304,94
7853,104.75358,93
7866,104.805565,92
7873,103.08636,91
7884,103.17218,90
7894,101.46659,89
7904,101.55907,90
7914,99.884796,91
7925,99.960144,92
7934,98.501396,92
7944,98.56113,93
7954,97.501,94
7963,97.557274,95
7973,97.189285,96
7983,97.178406,97
7994,97.124146,98
8004,97.10025,99
8014,97.34649,100
8025,97.306984,101
8033,97.981155,101
8044,97.899704,102
8054,98.95887,103
8064,98.8979,104
8073,100.08421,105
8084,100.03849,106
8095,101.42281,107
8103,101.42027,108
8114,103.05463,109
8124,103.021736,110
8134,104.91826,110
8145,104.89834,111
8154,106.55921,112
8164,106.55952,113
8173,108.2601,114
8183,108.2656,115
8193,110.06788,116
8204,110.09444,117
8214,111.926544,118
8224,111.910706,119
8234,113.76069,119
8244,113.74755,120
8253,115.448,121
8264,115.44148,122
8274,117.15164,123
8284,117.156525,124
8294,119.016266,125
8303,119.00484,126
8313,120.8969,127
8324,120.88375,128
8333,122.836945,129
8344,122.8322,129
8354,124.78447,130
8363,124.78898,131
8374,126.4707,132
8383,126.47566,133
8394,128.16078,134
8404,128.16417,135
8414,129.97676,136
8424,129.97678,137
8433,132.04521,137
8444,132.05057,138
8454,134.01831,139
8464,134.02216,140
8474,135.60501,141
8483,135.61417,142
8493,137.19162,143
8504,137.20042,144
8514,138.8821,145
8523,138.86833,145
8533,140.77689,146
8544,140.77249,147
8554,142.75046,148
8564,142.75883,149
8573,144.42755,150
8584,144.42908,151
8593,146.10417,152
8603,146.09344,153
8614,147.86044,153
8623,147.86984,154
8634,149.4493,155
8648,149.43985,156
8653,150.83424,157
8664,150.86603,158
8674,152.63829,159
8684,152.60028,160
8693,154.49739,161
8704,154.54607,161
8714,156.55447,162
8724,156.52829,163
8734,158.47328,164
8743,158.50214,165
8754,160.16307,166
8763,160.14731,167
8774,161.64983,168
8783,161.65843,169
8794,163.41402,170
8804,163.41922,171
8813,165.25003,171
8823,165.2439,172
8834,166.86092,173
8844,166.87091,174
8853,168.30424,175
8862,168.31253,176
8875,169.89893,177
8884,169.91316,178
8893,171.71877,179
8904,171.70474,179
8914,173.53899,180
8923,173.54141,181
8934,175.19173,180
8943,175.19193,179
8953,176.6711,178
8964,176.63524,177
8973,177.62085,176
8982,177.72385,175
8993,177.86348,175
9003,177.8556,174
9013,177.75851,173
9023,177.7157,172
9034,177.16496,171
9043,177.16496,170
9053,176.20465,169
9064,176.18048,168
9073,174.93477,167
9083,174.94627,167
9093,173.7442,166
9103,173.73318,165
9114,172.48657,164
9124,172.47493,163
9135,171.24146,162
9143,171.25668,161
9154,169.88086,160
9162,169.86568,159
9173,168.21939,158
9183,168.21039,158
9193,166.42212,157
9202,166.40562,156
9213,164.63866,155
9223,164.6529,154
9234,163.1404,153
9243,163.12715,152
9253,161.54837,151
9263,161.57413,150
9274,159.72049,149
9283,159.71982,149
9293,158.06314,148
9303,158.05106,147
9313,156.5285,146
9322,156.50854,145
9334,154.9436,144
9343,154.93959,143
9354,153.1466,142
9363,153.15913,141
9373,151.21574,140
9385,151.20638,140
9395,149.22812,139
9403,149.22812,138
9414,147.42345,137
9423,147.4314,136
9434,145.90816,135
9443,145.91878,134
9454,144.23535,133
9463,144.22075,132
9474,142.41107,131
9483,142.41724,131
9493,140.65807,130
9502,140.65356,129
9514,139.17693,128
9523,139.19032,127
9532,137.52338,126
9542,137.52069,125
9553,135.77786,124
9562,135.76497,123
9574,134.00723,122
9583,133.99886,122
9593,132.01509,121
9604,132.02437,120
9613,130.18549,119
9623,130.18549,118
9634,128.46524,117
9643,128.46408,116
9654,126.64782,115
9663,126.6492,114
9673,124.782776,113
9682,124.78117,113
9693,122.90622,112
9702,122.91544,111
9713,121.006546,110
9722,121.006546,109
9733,119.1343,108
9743,119.13486,107
9754,117.274475,106
9762,117.274475,105
9774,115.38851,104
9782,115.38851,104
9793,113.690346,103
9803,113.69311,102
9813,112.26053,101
9822,112.25342,100
9834,110.52557,99
9843,110.50254,98
9853,108.68725,97
9862,108.69293,96
9873,106.87407,95
9882,106.90985,95
9894,105.117775,94
9902,105.167816,93
9913,103.45948,92
9923,103.502,91
9934,102.01359,90
9941,102.10244,89
9953,100.41772,90
9962,100.46805,91
9973,98.76721,92
9983,98.79138,92
9994,97.52381,93
10001,97.589645,94
10012,96.94837,95
10021,97.00331,96
10034,96.85289,97
10043,96.86664,98
10053,97.017815,99
10062,96.98648,100
10072,97.38796,101
10082,97.31723,101
10093,98.30819,102
10103,98.22606,103
10113,99.49225,104
10122,99.467476,105
10135,100.82209,106
10142,100.78993,107
10154,102.4744,108
10162,102.39598,109
10174,104.248116,110
10182,104.2219,110
10193,105.94978,111
10202,105.94638,112
10214,107.51476,113
10222,107.52083,114
10233,109.35123,115
10242,109.35957,116
10253,111.17139,117
10263,111.197586,118
10273,112.90086,119
10281,112.89587,119
10293,114.891945,120
10302,114.88976,121
10313,116.64142,122
10321,116.61398,123
10334,118.22464,124
10342,118.21546,125
10353,120.03519,126
10363,120.03363,127
10374,121.94978,128
10382,121.94502,128
10393,123.94884,129
10402,123.95332,130
10414,125.731384,131
10422,125.755646,132
10433,127.29006,133
10441,127.259,134
10453,128.82556,135
10461,128.85678,136
10474,130.75342,137
10481,130.74417,137
10493,132.74225,138
10502,132.7469,139
10513,134.61865,140
10522,134.60957,141
10533,136.1725,142
10542,136.18208,143
10553,137.72539,144
10561,137.71555,145
10573,139.41267,146
10582,139.42703,146
10593,141.46983,147
