millis,真实角度,测量角度
7434,178.25302,180
7442,178.25302,180
7452,178.2575,180
7462,178.2575,180
7473,178.26201,180
7482,178.25269,180
7491,178.42319,180
7501,178.42319,180
7511,178.41476,180
7522,178.41476,180
7532,178.41058,180
7542,178.40935,180
7552,178.24878,180
7563,178.24878,180
7574,178.2412,180
7581,178.2412,180
7592,178.4102,180
7602,178.5978,180
7611,178.41835,180
7621,178.41835,180
7631,178.40959,180
7642,178.40959,180
7651,178.41452,180
7662,178.41452,180
7673,178.41885,180
7681,178.24777,180
7693,178.41316,180
7701,178.41316,180
7712,178.41774,180
7721,178.41774,180
7731,178.42256,180
7741,178.42256,180
7752,178.24844,180
7762,178.24844,180
7772,178.42691,180
7782,178.42691,180
7792,178.25269,180
7801,178.25269,180
7812,178.25662,180
7823,178.25662,180
7832,178.43652,180
7841,178.42604,180
7851,178.41724,180
7861,178.41724,180
7872,178.25572,180
7881,178.25572,180
7892,178.25987,180
7901,178.2591,180
7912,178.42505,180
7924,178.42505,180
7932,178.26303,180
7941,178.26303,180
7951,178.26686,180
7961,178.26686,180
7973,178.25874,180
7982,178.25874,180
7993,178.27104,180
8001,178.27104,180
8012,178.43828,180
8021,178.43828,180
8031,178.27501,180
8041,178.27501,180
8052,178.27899,180
8061,178.27899,180
8077,178.27899,180
8084,178.45262,180
8092,178.65813,180
8102,178.65813,180
8112,178.47069,180
8121,178.47069,180
8131,178.4615,180
8140,178.29681,180
8152,178.30939,180
8163,178.30939,180
8172,178.30074,180
8181,178.30074,180
8191,178.305,180
8201,178.305,180
8211,178.305,180
8221,178.305,180
8231,178.31693,180
8240,178.31693,180
8251,178.31693,180
8261,178.31693,180
8272,178.32089,180
8281,178.32089,180
8291,178.32089,180
8301,178.3109,180
8312,178.3146,180
8321,178.3146,180
8339,178.3146,180
8343,178.3146,180
8351,178.32684,180
8361,178.32591,180
8372,178.32591,180
8381,178.32591,180
8392,178.33835,180
8400,178.33835,180
8412,178.32953,180
8421,178.32953,180
8431,178.34224,180
8441,178.34224,179
8451,178.33353,178
8462,178.32333,177
8472,178.332,176
8480,178.52237,175
8491,178.33083,174
8502,178.33823,173
8511,178.41551,172
8521,178.2331,172
8532,177.68752,171
8541,177.70262,170
8552,176.65163,169
8561,176.68501,168
8572,175.38124,167
8583,175.3984,166
8591,174.22725,165
8601,174.19438,164
8611,172.75418,163
8621,172.74255,163
8631,171.47159,162
8640,171.50745,161
8651,170.09761,160
8661,170.11256,159
8672,168.4396,158
8680,168.4618,157
8691,166.64726,156
8700,166.63406,155
8711,164.8016,154
8720,164.81625,154
8732,163.32239,153
8740,163.26234,152
8752,161.71288,151
8761,161.69377,150
8772,159.84149,149
8780,159.84251,148
8791,158.25177,147
8800,158.26233,146
8811,156.57924,145
8821,156.57309,145
8834,154.88678,144
8843,154.91017,143
8851,153.07935,142
8861,153.07593,141
8871,151.14496,140
8881,151.15836,139
8893,149.26102,138
8901,149.23335,137
8912,147.2944,136
8920,147.29541,136
8931,145.64777,135
8940,145.63838,134
8951,144.0747,133
8961,144.06265,132
8971,142.39507,131
8980,142.40695,130
8991,140.7397,129
9000,140.7294,128
9012,139.07713,127
9021,139.0773,127
9031,137.3031,126
9040,137.3031,125
9051,135.6452,124
9061,135.6452,123
9072,133.89357,122
9081,133.89395,121
9094,131.9726,120
9101,131.96173,119
9112,130.036,118
9121,130.04626,118
9131,128.24765,117
9140,128.23853,116
9151,126.361885,115
9161,126.37045,114
9172,124.58359,113
9181,124.57563,112
9191,122.81771,111
9200,122.81807,110
9211,120.98007,109
9220,120.97955,109
9232,119.119156,108
9240,119.11014,107
9251,117.19809,106
9261,117.17868,105
9271,115.28924,104
9280,115.28101,103
9291,113.595726,102
9299,113.60487,101
9311,111.95398,100
9320,111.97883,100
9331,110.041985,99
9343,110.069374,98
9352,108.2954,97
9361,108.29864,96
9372,106.54002,95
9380,106.54137,94
9391,104.65579,93
9399,104.66026,92
9411,102.611244,91
9420,102.66591,91
9431,100.744675,90
9440,100.888695,89
10451,93.88007,91
10459,94.132454,92
10471,94.132065,93
10479,94.132065,94
10491,94.13906,95
10498,94.13906,95
10510,94.15225,96
10518,94.14244,97
10531,94.4675,98
10539,94.43403,99
10551,95.3072,100
10558,95.218056,101
10572,96.58447,102
10578,96.52995,103
10591,98.066925,104
10600,98.08815,104
10611,99.77115,105
10619,99.762314,106
10631,101.607704,107
10639,101.537895,108
10651,103.27355,109
10658,103.25304,110
10671,105.14861,111
10678,105.156815,112
10691,106.997765,113
10698,106.976616,113
10711,109.034676,114
10718,109.05252,115
10731,110.8441,116
10738,110.87044,117
10751,112.50676,118
10759,112.46521,119
10772,114.26846,120
10779,114.227036,121
10791,116.09383,122
10798,116.09299,122
10811,117.87994,123
10819,117.88819,124
10831,119.63223,125
10838,119.649994,126
10850,121.37404,127
10860,121.3624,128
10871,123.23059,129
10878,123.21879,130
10892,125.06961,131
10899,125.048996,131
10910,126.902115,132
10918,126.89201,133
10931,128.72238,134
10938,128.72238,135
10952,130.52585,136
10958,130.52585,137
10971,132.4967,138
10978,132.48688,139
10991,134.5145,140
10999,134.51462,140
11011,136.30621,141
11018,136.30621,142
11031,137.84064,143
11038,137.85031,144
11051,139.47891,145
11058,139.47891,146
11072,141.37784,147
11078,141.37782,148
11090,143.40105,149
11099,143.40062,149
11111,145.28894,150
11117,145.28882,151
11130,146.98395,152
11139,146.97421,153
11151,148.50659,154
11157,148.51999,155
11171,150.13066,156
11178,150.12662,157
11190,151.84372,158
11198,151.84338,158
11210,153.8198,159
11217,153.82512,160
11231,155.65463,161
11238,155.65428,162
11251,157.35263,163
11258,157.33578,164
11272,158.92914,165
11278,158.94621,165
11291,160.69989,167
11299,160.68077,167
11310,162.34818,168
11319,162.36836,169
11331,164.1106,170
11339,164.1106,171
11351,165.71823,172
11358,165.7194,173
11371,167.27754,174
11378,167.2608,174
11391,168.72745,176
11398,168.71722,176
11411,170.29352,177
11418,170.30382,178
11431,172.01062,179
11438,171.99327,180
11450,173.73837,181
12470,178.3737,178
12477,178.51668,178
12490,178.3321,176
12497,178.3321,176
12510,178.3592,175
12516,178.3592,174
12530,178.3459,173
12538,178.34212,172
12550,178.31972,171
12557,178.15538,170
12570,177.32745,169
12577,177.31795,169
12590,175.86601,167
12597,175.92638,167
12610,174.45444,166
12616,174.45741,165
12631,173.10187,164
12638,173.10187,163
12651,171.79852,162
12657,171.7853,161
12670,170.29079,160
12677,170.30956,160
12691,168.56789,158
12697,168.62978,158
12710,166.85002,157
12716,166.83524,156
12731,165.04684,155
12736,165.03009,154
12750,163.4054,153
12756,163.4127,152
12770,161.8032,151
12777,161.7673,151
12791,160.31424,149
12797,159.97308,149
12810,158.11383,148
12816,158.28513,147
12830,156.5972,146
12836,156.72098,145
12851,155.11995,144
12856,155.13791,143
12870,153.30988,142
12876,153.36932,142
12891,151.34804,140
12899,151.36133,140
12910,149.29787,139
12917,149.27388,138
12931,147.48834,137
12936,147.41634,136
12951,146.01633,135
12957,145.93788,134
12970,144.20334,133
12977,144.25536,133
12991,142.42216,131
12996,142.48404,131
13010,140.67792,130
13017,140.71298,129
13030,139.20576,128
13036,139.1985,127
13050,137.59021,126
13056,137.58646,125
13071,135.94254,124
13076,135.92825,124
13091,134.14917,122
13097,134.14523,122
13110,132.29723,121
13116,132.25133,120
13131,130.41484,119
13137,130.43631,118
13150,128.7345,117
13156,128.72517,116
13170,126.98169,115
13177,126.97177,115
13190,125.14347,113
13196,125.135635,113
13211,123.23814,112
13216,123.23814,111
13231,121.258575,110
13237,121.257065,109
13250,119.350204,108
13257,119.339294,107
13270,117.33686,106
13276,117.34919,106
13290,115.317924,104
13295,115.32568,104
13310,113.556946,103
13316,113.53171,102
13330,112.159,101
13336,112.11488,100
13350,110.32904,99
13356,110.35422,98
13370,108.466156,97
13376,108.50584,97
13394,106.61523,95
13398,106.62622,95
13410,104.7621,94
13415,104.78016,93
13430,102.94728,92
13437,102.95883,91
13450,101.36464,90
13455,101.45947,90
14469,93.91039,91
14475,94.04926,91
14490,94.04846,92
14495,94.04846,93
14509,94.04846,94
14515,94.04846,95
14530,94.06157,96
14535,94.05747,96
14550,94.34598,98
14555,94.29693,98
14570,95.111374,100
14575,95.02733,100
14590,96.37531,101
14594,96.26179,102
14610,97.62973,103
14615,97.61967,104
14631,99.047775,105
14635,99.037704,105
14650,100.61016,107
14655,100.589645,107
14670,102.3598,108
14675,102.3598,109
14690,104.43598,110
14696,104.42611,111
14710,106.21701,112
14714,106.21701,112
14730,107.92047,114
14735,107.920166,114
14750,109.814,116
14754,109.804115,116
14770,111.69567,117
14775,111.69517,118
14790,113.55267,119
14795,113.55267,120
14809,115.34078,121
14814,115.34078,121
14829,117.10454,123
14834,117.10454,123
