millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2,L0,L1,L2
3589,19.750317,-18.893425,-47.3217,98.45142,-30.13296,-12.782602,-112.03651,-56.62573,-14.098832,119.31672,-55.619507,-33.63258,-136.72812,-45.874035,29.724318,-67.78207,-42.702347,-1.1282988,-178.25359,-49.40928,29.937262,35.24582,-45.16288,11.886259,80.700165,-72.541336,13.769864,31.714201,-28.591623,29.694813,-153.12286,-11.276614,-44.886837,-19.637718,11.336824,75.60795
3637,19.472284,-19.048702,-47.4258,-58.702774,7.841667,6.115049,-112.03699,-56.5667,-14.111866,119.361305,-55.611115,-33.650085,-136.74074,-45.8383,29.780888,-67.7753,-42.75195,-1.1904442,-178.07552,-49.411854,29.94767,35.20467,-45.102116,11.954593,80.59823,-72.42937,13.890478,31.689379,-28.5247,29.715483,-153.1534,-11.280613,-44.92335,-19.534088,11.29919,75.70937
3677,19.418182,-19.022236,-47.47593,15.51627,63.039406,-23.849533,-112.06938,-56.52309,-14.151228,119.37606,-55.59037,-33.66988,-136.76192,-45.82092,29.804575,-67.7664,-42.784702,-1.2415954,-178.02626,-49.415833,29.948923,35.215572,-45.091564,11.964959,80.58008,-72.35256,13.935104,31.673904,-28.501093,29.718376,-153.18126,-11.295635,-44.948692,-19.495901,11.302439,75.75644
3699,19.483786,-18.836132,-47.524307,49.109196,79.826546,-2.1214356,-112.03828,-56.491367,-14.243152,119.39408,-55.560738,-33.695248,-136.82709,-45.766933,29.835846,-67.76283,-42.767445,-1.2639853,-178.01047,-49.401623,29.9477,35.21598,-45.070236,11.958909,80.58058,-72.25861,13.975725,31.674826,-28.496277,29.68398,-153.21481,-11.304263,-44.964874,-19.495464,11.321214,75.77414
3713,19.614742,-18.463875,-47.61965,-0.004372006,-0.005769096,0.005769677,-112.08299,-56.42694,-14.320029,119.39027,-55.511036,-33.730583,-136.8895,-45.73726,29.851496,-67.774864,-42.72672,-1.2585572,-178.06174,-49.398033,29.917028,35.195286,-45.03866,11.960428,80.609566,-72.187965,13.984923,31.665401,-28.48026,29.641441,-153.25438,-11.311045,-45.00121,-19.494453,11.35448,75.78467
3732,19.750402,-18.018576,-47.755997,180.0,0.0,90.0,-112.14698,-56.367523,-14.416515,119.40118,-55.453423,-33.774364,-136.95012,-45.729534,29.875635,-67.767555,-42.622604,-1.2380921,-178.17809,-49.357723,29.900972,35.189075,-45.021507,11.936958,80.656975,-72.12079,13.978134,31.644035,-28.450874,29.621662,-153.30878,-11.3150625,-45.05269,-19.47093,11.377923,75.80231
3746,19.898386,-17.480062,-47.95527,180.0,0.0,90.0,-112.19153,-56.331673,-14.485612,119.39026,-55.388496,-33.816666,-137.01999,-45.71031,29.911434,-67.75063,-42.516235,-1.2188892,-178.28003,-49.37298,29.846146,35.180603,-45.00629,11.884353,80.70807,-72.0737,13.954263,31.607674,-28.40171,29.626331,-153.43243,-11.340392,-45.127926,-19.412373,11.392001,75.84138
3757,20.036135,-16.933475,-48.165028,180.0,0.0,90.0,-112.24419,-56.316654,-14.515199,119.38976,-55.328533,-33.858276,-137.06772,-45.713005,29.934217,-67.73431,-42.382397,-1.1708344,-178.3677,-49.396763,29.76724,35.167225,-44.99687,11.832668,80.73894,-72.03325,13.943802,31.555262,-28.308273,29.660458,-153.56502,-11.382886,-45.199284,-19.314196,11.3951435,75.90482
3768,20.156784,-16.460344,-48.33492,180.0,0.0,90.0,-112.326385,-56.309853,-14.483031,119.40587,-55.27626,-33.89635,-137.09787,-45.71815,29.960064,-67.68334,-42.27475,-1.1394819,-178.45052,-49.436554,29.703266,35.122368,-44.94699,11.825228,80.76062,-72.00963,13.928697,31.501984,-28.204664,29.709173,-153.70978,-11.433718,-45.274452,-19.1837,11.385899,75.99214
3783,20.25155,-16.12793,-48.435486,49.740425,53.95378,-20.480295,-112.40441,-56.30936,-14.411128,119.412,-55.247257,-33.915657,-137.11362,-45.729992,29.984182,-67.60599,-42.200897,-1.1324943,-178.50703,-49.44895,29.678589,35.0691,-44.856087,11.841891,80.76158,-72.00896,13.9199705,31.439346,-28.101177,29.781605,-153.82942,-11.487977,-45.352634,-18.998352,11.359444,76.11885
3796,20.38515,-16.054302,-48.345757,180.0,0.0,90.0,-112.55371,-56.27468,-14.285846,119.42327,-55.23372,-33.923485,-137.1648,-45.71199,30.087034,-67.52817,-42.161667,-1.140842,-178.56483,-49.442924,29.711727,34.98965,-44.72834,11.883069,80.758896,-72.01914,13.91293,31.398195,-28.00182,29.869562,-153.94743,-11.541989,-45.444057,-18.843607,11.355318,76.22185
3814,20.589815,-15.956365,-48.192753,180.0,0.0,90.0,-112.71449,-56.21044,-14.145692,119.424355,-55.222836,-33.92776,-137.23102,-45.665462,30.21774,-67.44156,-42.149483,-1.1568273,-178.54437,-49.42788,29.789097,34.92741,-44.608326,11.948666,80.733795,-72.02132,13.91802,31.375637,-27.917248,29.929827,-154.03917,-11.59265,-45.512844,-18.71756,11.36012,76.30652
3835,20.818079,-15.849543,-48.003826,180.0,0.0,90.0,-112.903984,-56.111958,-14.009597,119.41799,-55.21847,-33.9241,-137.31737,-45.597843,30.401304,-67.35821,-42.147392,-1.1638838,-178.50717,-49.383224,29.910719,34.883686,-44.5066,12.032214,80.73239,-72.0158,13.915076,31.365633,-27.853312,29.974266,-154.13423,-11.63452,-45.58933,-18.629604,11.373754,76.36537
