millis,A,B,C,D,E,F,G,H,I,J,K,L
4052,110.37482,114.68848,NaN,14.4100065,145.36212,127.688156,56.47601,NaN,125.70355,131.98894,91.46013,
4071,111.076775,115.16925,NaN,12.404003,146.56084,127.15116,57.278206,NaN,126.82079,132.52493,91.27657,
4094,111.72149,115.69111,NaN,10.259004,147.67229,126.37768,58.180656,NaN,127.93172,132.98709,91.14013,
4116,112.33516,116.33702,84.15826,8.462065,148.86238,125.384514,59.11332,102.22002,129.07687,133.4989,91.06721,
4160,112.98237,117.12496,84.10579,7.2194734,150.15181,124.206856,59.991558,101.811485,130.13072,134.03618,91.001335,
4177,113.63891,118.16468,84.09395,6.9307,151.58917,123.00907,60.770863,101.47496,131.25433,134.52441,90.96299,
4188,114.30659,119.31911,83.625626,8.272178,153.17276,121.78693,61.592438,101.49879,132.28915,135.08061,91.054054,
4198,114.94379,120.548965,83.082275,10.162679,154.70525,120.56087,62.439594,101.41822,132.89078,135.68979,91.30453,
4207,115.561516,121.78477,82.47366,11.635097,156.0763,119.354355,63.303177,101.65294,133.36732,136.34322,91.70381,
4223,116.1841,122.81909,82.09329,12.829414,157.32697,118.154976,64.24161,101.84963,134.00516,137.09546,92.12355,
4237,116.7305,123.66521,82.092384,13.925509,158.35349,116.96583,65.22078,101.78636,134.68053,137.92358,92.462746,
4260,117.12231,124.57107,81.588,15.181887,159.20125,115.96489,66.10814,101.53523,135.34416,138.79247,92.79843,
4281,117.5086,125.38445,81.27816,16.256147,160.2026,115.219604,66.8948,101.1417,135.9499,139.52574,93.29442,
4302,117.934944,125.90777,80.79097,16.869558,161.01468,114.708885,67.5087,100.809944,136.44691,140.08983,93.85786,
4324,118.42729,126.111374,80.88978,16.753656,161.19896,114.25957,67.966606,101.169014,136.85783,140.61966,94.385345,
4344,118.85288,126.23925,82.52689,16.274837,160.98518,113.80103,68.43836,101.2224,137.31036,141.24905,94.93358,
4367,119.189606,126.34662,82.78122,15.579292,160.66333,113.405365,68.86752,100.35939,137.8755,141.96046,95.47048,
4408,119.77871,126.43552,80.7093,14.738911,159.95131,115.37634,65.35155,99.98745,136.34297,141.37198,92.573364,
4430,120.08765,126.49386,79.45385,14.659275,159.566,115.41844,65.202034,99.717255,136.74693,141.80194,92.861916,
4451,120.36428,126.47687,78.739716,14.258866,159.51248,115.48142,65.03847,99.41305,136.90884,141.8984,93.29966,
4472,120.65383,126.392105,78.41876,13.578134,159.04274,115.54226,64.86005,99.005974,137.0801,142.03279,93.758125,
4493,121.018234,126.215645,78.71256,12.840744,158.12361,115.45391,64.63892,98.50764,137.28813,142.31729,94.02734,
4516,121.469284,126.1062,77.450874,12.307398,157.05435,115.224594,64.335526,97.95785,137.32487,142.52084,94.099464,
4537,121.868805,126.22735,78.743195,12.323314,156.5136,114.983215,64.00632,98.83848,137.37027,142.54172,94.16149,
4558,122.21635,126.47334,78.04188,12.466204,156.18263,114.784645,63.754433,98.38034,137.44624,142.71034,94.34828,
4580,122.51619,126.60869,78.32682,12.305747,156.07678,114.689476,63.442894,98.15016,137.41315,142.69237,94.56038,
4601,122.76629,126.53581,78.5523,12.222726,155.9493,114.65021,63.033833,97.934685,137.41667,142.52336,94.69896,
4623,122.98335,126.33837,78.689,12.36094,155.89645,114.49208,62.72324,97.70391,137.74127,142.38426,94.86422,
4644,123.185585,126.07343,78.85189,12.896682,155.89098,114.282326,62.64545,97.54319,138.41313,142.32614,94.99002,
4666,123.4119,125.76531,79.05153,13.903384,156.01941,114.100784,62.747536,97.394485,139.05057,142.22055,95.0841,
4686,123.527504,125.46519,78.73482,14.890103,156.19702,114.05385,62.79751,97.38631,139.4251,142.14745,95.14007,
4709,123.635574,125.10865,78.131386,15.506059,156.06676,114.09151,62.82775,97.56035,139.76024,142.08221,95.193855,
4729,123.74933,124.738304,77.67457,15.565896,155.75732,114.15281,62.89268,97.755264,139.71436,142.12317,95.25624,
4751,123.94423,124.3165,77.451065,14.600497,155.65268,114.14158,63.098415,97.94971,138.97508,142.30437,95.270134,
4773,124.215485,124.01139,76.99786,14.443835,155.51999,114.10638,63.114456,98.18836,139.77115,142.53636,95.13199,
4796,124.55299,123.92442,76.59662,14.674017,155.27533,114.04324,63.00013,98.28059,139.8843,142.79962,94.90015,
4816,124.87136,124.16535,76.24355,14.880652,155.39575,114.078224,62.776226,98.36299,140.01254,143.07005,94.67438,
4836,125.20832,124.5646,76.19562,14.910957,155.37111,114.22569,62.412155,98.899574,140.04721,143.26625,94.479256,
4858,125.64263,124.9724,75.97253,15.039642,155.24251,114.34698,61.93029,99.25076,140.142,143.41917,94.190895,
4879,126.00607,125.367744,76.10759,16.117508,155.04639,114.509445,61.27317,99.42861,140.14633,143.49661,93.85225,
4901,126.32835,125.876396,76.48685,16.834513,154.9521,114.7277,60.487213,99.46406,140.11806,143.52386,93.4782,
4922,126.66344,126.34764,77.12541,17.325903,154.6958,114.999695,59.646202,99.23099,140.14651,143.5022,93.13107,
4944,127.06344,126.62856,77.05427,17.704811,154.51773,115.26321,58.825516,99.30742,140.20195,143.43918,92.84211,
4966,127.460754,126.83186,77.47378,17.979914,154.22227,115.53677,57.993774,99.42298,140.1885,143.37401,92.53899,
4986,127.86086,127.059265,77.55682,18.241028,153.89024,115.80228,57.153873,99.570885,140.19304,143.38414,92.3378,
5011,128.23343,127.23037,77.433685,18.453499,153.60123,116.08417,56.332775,99.8615,140.2495,143.38676,92.17591,
5030,128.61742,127.20768,77.418396,18.719444,153.33374,116.369316,55.50693,100.008286,140.25313,143.28706,91.860504,
5052,128.95566,127.05083,77.16494,19.077307,153.01825,116.729324,54.615585,100.02996,140.11787,143.09221,91.334,
5073,129.2792,126.92603,77.05635,19.09739,152.84879,117.0615,53.80044,99.80086,139.6137,142.92508,90.84086,
5093,129.50943,126.85524,77.0551,18.869226,152.7964,117.36547,53.110462,99.778656,138.90828,142.8421,90.52045,
5115,129.74054,126.69524,77.34854,18.855028,152.7191,117.66866,52.56815,99.87223,138.55609,142.79654,90.27805,
5137,129.9849,126.44871,77.43597,19.16092,152.59221,117.90358,52.105106,100.25704,138.43062,142.75641,89.94562,
5158,130.17686,126.24984,77.45641,19.631863,152.43327,118.12435,51.67079,100.62507,138.38661,142.70291,89.57523,
5179,130.37857,126.170975,77.21503,20.112648,152.35103,118.4254,51.13075,100.80517,138.27275,142.61864,89.15448,
5202,130.53593,126.130104,77.5984,20.573574,152.28058,118.772316,50.58577,100.50359,138.27705,142.5083,88.76659,
5222,130.60849,126.12562,77.84709,20.735308,152.05135,119.04411,50.141514,100.36551,138.12584,142.44081,88.53191,
5244,130.47926,126.09172,78.127716,21.047106,151.78073,119.27258,49.77588,100.47195,138.17255,142.40822,88.47534,
5265,130.31102,126.036385,78.343666,21.414804,151.38628,119.50834,49.469658,100.178246,138.25613,142.40219,88.533516,
5287,130.06708,125.92443,78.26921,21.636566,150.9633,119.8551,49.02841,99.91874,138.15971,142.2922,88.54878,
5309,129.82376,125.81355,78.52157,21.598505,150.4277,120.32654,48.470524,99.503494,137.75533,142.08803,88.55266,
5350,129.44443,125.48787,78.86983,21.30295,138.24905,121.24268,47.39888,99.48433,136.56677,141.57378,88.62718,
5372,129.20862,125.20683,78.60143,21.165417,137.70638,121.54444,47.123344,99.8615,135.91496,141.40042,88.935745,
5393,128.94072,124.78177,78.362976,21.2481,137.36406,121.68355,47.057373,99.95186,135.7508,141.33086,89.39219,
5415,128.6441,124.29383,78.494736,21.395025,137.30838,121.84627,47.0231,99.743416,135.55022,141.26926,89.85206,
5436,128.36464,123.81652,79.07266,21.763695,137.33759,122.035904,47.097794,99.2203,135.50601,141.34804,90.44989,
5478,127.85862,115.65795,79.16701,23.032087,137.57173,122.42182,47.69406,98.80321,135.96524,141.78511,92.04725,
5498,127.49058,116.28023,79.041435,23.279997,137.77081,122.49098,48.11231,98.878296,135.99953,142.01614,92.8179,
5520,127.05048,116.72189,78.88913,23.789215,137.7902,122.41645,48.55933,99.085304,135.97586,142.2914,93.65606,
5561,126.16452,117.04292,78.88712,23.760626,137.59627,122.049934,49.526154,99.13428,136.85812,142.93408,95.573425,
5583,125.71674,117.05547,78.81184,23.393744,137.4455,122.06463,49.85065,99.10812,137.19995,143.0965,96.53375,
5604,125.22469,116.73868,78.62976,22.83262,137.06726,122.20791,50.01645,99.07652,137.31374,143.09424,97.3382,
5626,124.7617,116.903015,78.3736,22.284111,137.2425,122.25283,50.22727,99.12481,137.48222,143.14499,98.08162,
5647,124.43668,117.31161,78.14064,21.57127,137.63,122.117485,50.543407,99.33239,137.5466,143.23837,98.73354,
5669,124.17128,118.00814,77.82248,20.643063,138.40971,122.05477,50.849365,99.60883,137.36314,143.20503,99.17592,
5690,123.879875,119.04883,77.08241,19.493347,139.33835,121.981476,51.435143,100.1583,137.28073,143.37685,99.82566,
5713,123.589424,120.3974,77.08678,18.266878,140.57704,121.903404,52.393463,100.041695,137.49818,143.91055,100.71544,
5734,123.295525,122.30146,80.4364,17.070564,142.16591,121.79223,53.70857,100.50497,138.202,144.86113,101.88232,
5755,123.08302,125.025955,77.62984,16.191326,144.275,121.535324,55.21873,100.26205,139.216,146.00262,103.1467,
5777,122.90775,128.40073,76.9925,16.41842,147.0271,121.082306,56.857464,101.45699,140.4526,147.22534,104.37204,
5797,122.637405,131.9838,75.06479,17.724857,149.856,120.41268,58.63944,102.548195,141.95284,148.5726,105.71952,
5819,122.191605,135.62354,74.37137,19.871706,152.35358,119.58113,60.623383,102.35265,143.95718,150.09962,107.36731,
5841,121.59815,139.26724,74.16355,22.909622,154.41867,118.568886,62.82209,102.11873,146.46133,151.66594,109.205765,
5863,120.85974,142.97278,74.874596,26.449255,155.7359,117.432976,65.11474,101.36908,149.13895,153.07123,111.05703,
5883,120.0662,146.76901,75.22439,30.190832,156.54907,116.296715,67.31041,100.333145,151.54001,154.57309,112.7146,
5905,119.5533,150.594,74.73654,34.061966,157.1468,115.272,69.161674,99.18542,153.63287,155.67323,114.04851,
5927,119.18474,154.12262,73.3683,37.712982,157.5182,114.2983,70.75566,98.419914,155.40462,156.47871,115.04472,
5948,119.01267,157.13817,72.87611,40.346912,157.74709,113.30555,72.1065,98.07983,156.5644,156.97383,115.78218,
5970,118.84178,158.98051,73.45002,41.118,158.17154,112.384285,73.38159,97.70041,156.89775,157.00026,116.323105,
5991,118.60831,159.43785,74.20266,40.760838,159.27028,111.694145,74.61243,96.635574,157.09412,156.45845,116.75549,
6073,110.91795,143.35919,79.427444,24.533222,171.5806,117.61287,79.018135,91.4325,156.88364,148.25824,85.850876,
6095,108.32933,133.85118,81.42046,17.863651,163.51347,122.00031,79.70158,90.63708,156.0418,145.15016,87.57473,
6117,104.04985,122.82491,83.61901,15.207463,153.05981,126.77395,80.11647,90.55742,154.72539,141.77936,88.87216,
6137,98.843765,111.46305,85.17214,18.952597,141.85275,131.64989,80.04828,91.036545,152.54552,138.06223,89.312126,
6159,93.40558,100.8822,86.06808,25.631117,130.51361,136.41809,79.31644,91.552765,149.55305,134.04707,89.326256,
6180,87.56776,91.3159,86.357254,31.989344,119.82545,141.3401,78.01216,92.32954,145.64061,129.72064,88.93885,
6201,81.04991,81.81149,86.26359,38.336525,109.735756,146.13498,76.933105,93.26338,141.34253,125.41754,88.32852,
6223,74.3094,72.51152,86.00708,44.39214,100.69634,150.59975,76.04356,94.55299,136.69705,121.31989,87.59836,
6244,68.10314,63.836185,85.5779,48.892498,93.38772,154.05832,75.70223,96.0603,131.8695,117.66242,87.35017,
