A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3,G0,G1,G2,G3,H0,H1,H2,H3,I0,I1,I2,I3,J0,J1,J2,J3,K0,K1,K2,K3,L0,L1,L2,L3
-0.23016357,0.114746094,0.732605,-0.630188,0.2744751,-0.3067627,0.5821533,-0.7011719,0.60272217,-0.48754883,0.54803467,-0.31414795,0.3427124,-0.17102051,0.6034546,-0.69940186,-0.25482178,0.96099854,-0.10546875,-0.018188477,0.3355713,-0.65545654,-0.5429077,0.40374756,-0.24951172,0.95477295,-0.16137695,-0.008483887,-0.12554932,0.17468262,-0.9093628,0.35601807,0.30316162,0.9411621,-0.09124756,0.11779785,0.081848145,-0.33032227,-0.90515137,0.25476074,-0.536499,0.0670166,0.4196167,-0.729126,0.1630249,-0.30932617,0.42529297,0.83477783
-0.22955322,0.11968994,0.70288086,-0.6625366,0.2802124,-0.28808594,0.58447266,-0.704895,0.5791626,-0.489563,0.5644531,-0.32592773,0.32287598,-0.15167236,0.62677,-0.692749,-0.22454834,0.9671631,-0.11853027,-0.010986328,0.3234253,-0.6765137,-0.5441284,0.3764038,-0.22314453,0.9597168,-0.1706543,0.0049438477,-0.10827637,0.1687622,-0.9204712,0.3355713,0.30169678,0.9389038,-0.116760254,0.11706543,0.091918945,-0.34674072,-0.9072876,0.21960449,-0.546875,0.07849121,0.42523193,-0.71691895,0.1774292,-0.30499268,0.45037842,0.8201294
-0.22949219,0.1315918,0.6845703,-0.67926025,0.28179932,-0.27246094,0.59198,-0.70422363,0.5534668,-0.489563,0.58721924,-0.3303833,0.30438232,-0.12860107,0.6470337,-0.6871338,-0.19067383,0.97265625,-0.13232422,-0.009094238,0.3109131,-0.7005005,-0.541687,0.3453369,-0.19708252,0.96325684,-0.1821289,0.011047363,-0.09490967,0.16308594,-0.93133545,0.31152344,0.30407715,0.9359741,-0.1416626,0.10668945,0.099975586,-0.36810303,-0.90527344,0.18725586,-0.55700684,0.09234619,0.4348755,-0.7015381,0.19213867,-0.29656982,0.47576904,0.8054199
-0.22857666,0.1449585,0.6715088,-0.6897583,0.2869873,-0.25030518,0.59490967,-0.70788574,0.5344238,-0.48339844,0.6096802,-0.33013916,0.28625488,-0.103149414,0.6646118,-0.6824341,-0.15307617,0.97662354,-0.1505127,-0.0059814453,0.29888916,-0.72454834,-0.5328369,0.31915283,-0.17376709,0.96520996,-0.19488525,0.013244629,-0.082458496,0.15423584,-0.9413452,0.28857422,0.3125,0.9309082,-0.16644287,0.08947754,0.101989746,-0.3927002,-0.9000244,0.15930176,-0.56658936,0.10858154,0.44641113,-0.68408203,0.20758057,-0.28485107,0.50079346,0.79052734
-0.22625732,0.15887451,0.65185547,-0.70617676,0.2977295,-0.22442627,0.59381104,-0.7130127,0.50964355,-0.47583008,0.6362915,-0.33013916,0.2695923,-0.07476807,0.6777954,-0.67993164,-0.12097168,0.97735596,-0.17346191,-0.0059814453,0.28826904,-0.7476196,-0.51776123,0.2998047,-0.15289307,0.9660034,-0.20806885,0.013061523,-0.07141113,0.14068604,-0.94970703,0.27056885,0.331604,0.92059326,-0.19348145,0.07080078,0.10089111,-0.41796875,-0.89294434,0.13366699,-0.57489014,0.1270752,0.45928955,-0.66522217,0.2230835,-0.2713623,0.52557373,0.7747803
-0.22406006,0.1762085,0.62908936,-0.72320557,0.30303955,-0.19274902,0.59332275,-0.720459,0.47991943,-0.46661377,0.66851807,-0.32409668,0.25634766,-0.045410156,0.6859131,-0.6795044,-0.09777832,0.9749756,-0.19940186,-0.010314941,0.28125,-0.77008057,-0.49682617,0.284729,-0.13635254,0.9644165,-0.22601318,0.013183594,-0.05871582,0.12042236,-0.9581909,0.25299072,0.36273193,0.90179443,-0.22375488,0.07098389,0.09881592,-0.4451294,-0.88323975,0.109802246,-0.5817871,0.14685059,0.47198486,-0.64593506,0.23712158,-0.25720215,0.55010986,0.75823975
-0.22680664,0.19586182,0.6022339,-0.7399292,0.3059082,-0.16046143,0.59020996,-0.72961426,0.45721436,-0.45428467,0.6966553,-0.31506348,0.24517822,-0.016662598,0.6867676,-0.684021,-0.082214355,0.9700928,-0.22772217,-0.017211914,0.28295898,-0.79107666,-0.46929932,0.27197266,-0.120666504,0.96069336,-0.24951172,0.014404297,-0.046875,0.093933105,-0.96606445,0.23608398,0.3503418,0.8930054,-0.2711792,0.078552246,0.10235596,-0.47357178,-0.87042236,0.087768555,-0.58825684,0.16729736,0.48388672,-0.62597656,0.24829102,-0.24395752,0.57336426,0.7416382
-0.23120117,0.21264648,0.57507324,-0.7553711,0.30737305,-0.13085938,0.58496094,-0.7390747,0.43829346,-0.4389038,0.7225952,-0.30511475,0.23028564,0.011108398,0.68218994,-0.6939087,-0.07824707,0.9621582,-0.26019287,-0.020507812,0.2937622,-0.8095093,-0.43548584,0.26220703,-0.107299805,0.954895,-0.2765503,0.013916016,-0.03857422,0.06616211,-0.9727173,0.21917725,0.324646,0.8885498,-0.3114624,0.08972168,0.11456299,-0.4991455,-0.855896,0.072631836,-0.5942383,0.18743896,0.49468994,-0.60583496,0.25775146,-0.23223877,0.59381104,0.7258911
-0.23651123,0.22583008,0.5496826,-0.7687378,0.3071289,-0.103149414,0.5775757,-0.7493286,0.42181396,-0.42181396,0.7468262,-0.2937622,0.20965576,0.038146973,0.67529297,-0.7061157,-0.089538574,0.9507446,-0.29614258,-0.017822266,0.3145752,-0.82281494,-0.39886475,0.2548828,-0.09161377,0.9477539,-0.30529785,0.012329102,-0.03265381,0.03930664,-0.9779053,0.20269775,0.3265381,0.88012695,-0.33496094,0.080444336,0.12548828,-0.5171509,-0.8439331,0.067993164,-0.59991455,0.20666504,0.5040283,-0.5859375,0.2666626,-0.22106934,0.6119385,0.7109375
-0.24591064,0.23834229,0.524353,-0.77960205,0.3026123,-0.0736084,0.5699463,-0.760376,0.41027832,-0.4031372,0.7686157,-0.2798462,0.17956543,0.070251465,0.6705322,-0.71643066,-0.11517334,0.9359741,-0.3324585,-0.007446289,0.33929443,-0.83239746,-0.36450195,0.24310303,-0.072753906,0.93896484,-0.33599854,0.011108398,-0.02734375,0.012390137,-0.9813843,0.1897583,0.35723877,0.86517334,-0.3466797,0.059936523,0.12805176,-0.53393555,-0.8338623,0.05718994,-0.6039429,0.2244873,0.5124512,-0.567749,0.27679443,-0.20983887,0.63116455,0.69348145
